,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,612.0,0.00,0.00%,₱260.90M,425.47K,₱-137.21M,610.0,623.0,616.0,2.09K
1,2024-11-28,612.0,-7.50,-1.21%,₱169.42M,275.62K,₱-42.38M,612.0,629.0,625.0,1.82K
2,2024-11-27,619.5,-22.50,-3.50%,₱298.13M,478.30K,₱-132.86M,619.0,649.0,642.0,1.93K
3,2024-11-26,642.0,-27.50,-4.11%,₱176.06M,272.61K,₱-90.06M,641.5,669.5,661.0,2.09K
4,2024-11-25,669.5,27.50,+4.28%,₱232.80M,350.63K,₱11.50M,631.0,669.5,640.0,1.21K
5,2024-11-22,642.0,-17.50,-2.65%,₱114.65M,177.00K,₱2.38M,642.0,660.0,660.0,1.16K
6,2024-11-21,659.5,12.50,+1.93%,₱137.69M,210.99K,₱9.14M,640.0,659.5,644.0,1.32K
7,2024-11-20,647.0,-4.00,-0.61%,₱267.54M,414.68K,₱-35.94M,630.0,655.0,651.0,2.08K
8,2024-11-19,651.0,-6.00,-0.91%,₱156.54M,240.22K,₱-62.97M,638.0,668.5,653.0,1.41K
9,2024-11-18,657.0,42.00,+6.83%,₱306.37M,472.20K,₱12.15M,623.0,659.0,624.0,2.48K
10,2024-11-15,615.0,-5.00,-0.81%,₱331.71M,534.57K,₱-155.31M,613.0,640.0,620.5,2.32K
11,2024-11-14,620.0,-37.00,-5.63%,₱246.17M,391.92K,₱-140.17M,620.0,660.0,657.0,2.97K
12,2024-11-13,657.0,-1.00,-0.15%,₱96.54M,146.65K,₱-4.03M,657.0,670.5,658.0,773
13,2024-11-12,658.0,-27.00,-3.94%,₱224.19M,338.70K,₱-65.35M,657.0,695.5,685.0,1.50K
14,2024-11-11,685.0,-7.00,-1.01%,₱58.91M,86.28K,₱-18.37M,678.0,692.0,692.0,718
15,2024-11-08,692.0,-13.00,-1.84%,₱181.84M,262.28K,₱-45.44M,689.0,705.0,705.0,2.38K
16,2024-11-07,705.0,0.00,0.00%,₱193.93M,278.48K,₱-8.17M,687.0,713.5,707.5,1.95K
17,2024-11-06,705.0,-5.00,-0.70%,₱70.69M,99.19K,₱2.15M,700.0,718.0,710.0,494
18,2024-11-05,710.0,20.00,+2.90%,₱205.71M,292.11K,₱113.58M,693.0,710.0,695.0,2.38K
19,2024-11-04,690.0,0.00,0.00%,₱235.37M,341.41K,₱-9.88M,681.0,693.5,690.0,2.39K
20,2024-10-31,690.0,-17.00,-2.40%,₱173.75M,251.50K,₱-70.88M,688.0,704.0,704.0,2.69K
21,2024-10-30,707.0,0.50,+0.07%,₱132.65M,190.40K,₱13.68M,688.0,707.0,703.0,1.79K
22,2024-10-29,706.5,-13.50,-1.88%,₱175.44M,247.78K,₱14.16M,705.0,716.0,716.0,1.46K
23,2024-10-28,720.0,0.00,0.00%,₱107.52M,149.31K,₱35.15M,714.5,729.5,721.0,1.12K
24,2024-10-25,720.0,0.50,+0.07%,₱66.95M,93.59K,₱10.13M,710.0,723.5,718.0,1.23K
25,2024-10-24,719.5,-0.50,-0.07%,₱207.86M,288.91K,₱94.87M,713.0,725.0,715.0,1.82K
26,2024-10-23,720.0,5.50,+0.77%,₱98.06M,136.81K,₱20.16M,710.0,725.0,714.0,1.10K
27,2024-10-22,714.5,0.50,+0.07%,₱123.44M,172.68K,₱56.68M,712.0,718.5,715.0,1.71K
28,2024-10-21,714.0,-5.00,-0.70%,₱198.70M,278.02K,₱39.41M,711.5,720.5,719.0,1.60K
29,2024-10-18,719.0,1.50,+0.21%,₱103.38M,143.71K,₱36.95M,717.5,720.5,717.5,956
30,2024-10-17,717.5,-12.50,-1.71%,₱128.23M,178.68K,₱-10.13M,715.0,724.0,724.0,1.38K
31,2024-10-16,730.0,0.00,0.00%,₱212.52M,291.69K,₱28.15M,722.0,735.0,730.5,2.24K
32,2024-10-15,730.0,10.00,+1.39%,₱272.96M,375.79K,₱28.44M,714.0,732.5,718.0,3.71K
33,2024-10-14,720.0,-2.00,-0.28%,₱144.28M,199.92K,₱-41.76M,717.5,725.5,722.0,1.64K
34,2024-10-11,722.0,-8.50,-1.16%,₱247.45M,343.11K,₱102.81M,710.5,730.0,720.5,2.73K
35,2024-10-10,730.5,-1.00,-0.14%,₱126.82M,173.58K,₱58.59M,723.5,735.0,733.0,1.14K
36,2024-10-09,731.5,-5.50,-0.75%,₱210.04M,287.26K,₱64.41M,729.5,733.5,733.0,1.58K
37,2024-10-08,737.0,-3.00,-0.41%,₱321.77M,437.48K,₱152.42M,727.0,738.5,737.0,2.77K
38,2024-10-07,740.0,25.00,+3.50%,₱852.36M,1.17M,₱399.11M,711.0,740.0,714.0,4.75K
39,2024-10-04,715.0,18.50,+2.66%,₱490.04M,689.34K,₱218.11M,698.0,716.0,698.0,4.38K
40,2024-10-03,696.5,11.50,+1.68%,₱893.25M,1.28M,₱91.25M,685.5,702.0,686.0,2.72K
41,2024-10-02,685.0,-3.50,-0.51%,₱122.02M,178.31K,₱6.14M,676.5,688.5,680.5,1.30K
42,2024-10-01,688.5,17.00,+2.53%,₱234.39M,342.29K,₱58.73M,671.5,689.5,671.5,1.98K
43,2024-09-30,671.5,-20.50,-2.96%,₱313.04M,462.35K,₱9.16M,671.0,692.0,692.0,1.95K
44,2024-09-27,692.0,-11.00,-1.56%,₱239.78M,345.75K,₱72.41M,691.0,703.0,703.0,1.72K
45,2024-09-26,703.0,10.50,+1.52%,₱295.90M,421.12K,₱121.82M,695.0,707.0,695.0,2.51K
46,2024-09-25,692.5,-7.50,-1.07%,₱380.88M,551.02K,₱71.16M,681.0,705.0,700.0,2.99K
47,2024-09-24,700.0,5.00,+0.72%,₱609.63M,871.82K,₱324.13M,695.0,702.0,695.0,3.79K
48,2024-09-23,695.0,5.00,+0.72%,₱271.57M,392.12K,₱145.14M,687.0,695.0,688.0,1.71K
49,2024-09-20,690.0,11.50,+1.69%,₱907.52M,1.32M,₱431.54M,679.0,694.5,679.0,4.83K
50,2024-09-19,678.5,7.50,+1.12%,₱757.46M,1.12M,₱301.64M,668.5,683.0,669.0,4.12K
51,2024-09-18,671.0,11.00,+1.67%,₱665.38M,997.42K,₱310.86M,653.0,672.0,660.0,4.09K
52,2024-09-17,660.0,26.00,+4.10%,₱568.74M,873.12K,₱164.83M,630.0,660.0,634.0,4.27K
53,2024-09-16,634.0,14.00,+2.26%,₱248.25M,394.17K,₱35.69M,621.0,635.0,621.0,2.55K
54,2024-09-13,620.0,4.00,+0.65%,₱88.66M,142.52K,₱19.73M,618.5,626.5,622.0,799
55,2024-09-12,616.0,6.00,+0.98%,₱215.89M,347.77K,₱25.73M,615.0,626.5,617.0,1.99K
56,2024-09-11,610.0,-2.00,-0.33%,₱114.11M,186.95K,₱43.95M,608.0,618.5,613.0,1.69K
57,2024-09-10,612.0,0.00,0.00%,₱290.04M,469.59K,₱-51.68M,612.0,624.5,613.0,2.67K
58,2024-09-09,612.0,-1.00,-0.16%,₱139.60M,227.72K,₱-27.03M,608.0,620.0,612.0,1.32K
59,2024-09-06,613.0,0.00,0.00%,₱171.23M,279.50K,₱-43.05M,609.0,616.5,615.0,1.66K
60,2024-09-05,613.0,-11.50,-1.84%,₱36.71M,59.55K,₱-15.19M,613.0,623.0,623.0,972
61,2024-09-04,624.5,8.00,+1.30%,₱181.42M,294.67K,₱5.51M,605.0,624.5,614.0,2.03K
62,2024-09-03,616.5,-1.50,-0.24%,₱202.13M,325.83K,₱-2.10M,615.0,626.5,620.0,2.81K
63,2024-09-02,618.0,13.00,+2.15%,₱329.38M,532.05K,₱83.11M,607.0,624.5,619.0,3.43K
64,2024-08-30,605.0,-7.00,-1.14%,₱524.08M,864.47K,₱-69.20M,602.0,619.0,613.0,2.98K
65,2024-08-29,612.0,-13.00,-2.08%,₱89.01M,145.09K,₱-19.43M,611.0,621.0,621.0,1.64K
66,2024-08-28,625.0,-1.00,-0.16%,₱86.05M,137.63K,₱7.51M,622.5,628.0,626.0,1.24K
67,2024-08-27,626.0,-7.50,-1.18%,₱263.20M,420.93K,₱12.95M,621.0,629.5,629.5,2.90K
68,2024-08-22,633.5,18.00,+2.92%,₱159.24M,255.90K,₱45.89M,607.0,633.5,616.5,1.93K
69,2024-08-21,615.5,-5.00,-0.81%,₱130.86M,211.14K,₱-26.46M,615.5,623.5,620.0,1.35K
70,2024-08-20,620.5,1.00,+0.16%,₱219.59M,352.99K,₱14.16M,620.0,627.5,620.0,2.09K
71,2024-08-19,619.5,-5.50,-0.88%,₱100.75M,162.36K,₱887.41K,616.0,625.0,625.0,1.40K
72,2024-08-16,625.0,13.00,+2.12%,₱233.37M,375.28K,₱8.31M,614.0,625.0,620.0,2.05K
73,2024-08-15,612.0,-6.00,-0.97%,₱157.77M,257.36K,₱26.79M,608.5,618.0,618.0,1.01K
74,2024-08-14,618.0,17.00,+2.83%,₱345.77M,562.43K,₱86.66M,605.0,618.0,605.5,2.64K
75,2024-08-13,601.0,0.00,0.00%,₱173.67M,287.19K,₱-71.47M,599.0,610.0,601.0,1.92K
76,2024-08-12,601.0,-7.00,-1.15%,₱120.51M,200.34K,₱-10.64M,596.5,608.0,607.0,1.95K
77,2024-08-09,608.0,10.50,+1.76%,₱225.07M,371.79K,₱-45.42M,600.0,608.0,600.0,2.42K
78,2024-08-08,597.5,-1.50,-0.25%,₱158.08M,264.35K,₱6.82M,590.5,600.0,599.0,1.76K
79,2024-08-07,599.0,10.50,+1.78%,₱166.07M,279.44K,₱39.06M,585.0,599.0,588.5,2.44K
80,2024-08-06,588.5,7.50,+1.29%,₱177.60M,302.19K,₱25.62M,583.0,592.5,583.0,2.23K
81,2024-08-05,581.0,-9.00,-1.53%,₱160.05M,274.39K,₱10.21M,579.5,588.5,586.5,2.77K
82,2024-08-02,590.0,-1.50,-0.25%,₱151.39M,257.00K,₱16.82M,584.0,596.0,591.5,2.35K
83,2024-08-01,591.5,5.00,+0.85%,₱119.07M,201.59K,₱19.77K,587.0,596.5,589.0,2.33K
84,2024-07-31,586.5,-6.50,-1.10%,₱89.58M,152.10K,₱-9.53M,586.5,597.0,593.0,897
85,2024-07-30,593.0,2.00,+0.34%,₱200.38M,339.09K,₱35.21M,584.5,593.0,592.0,1.63K
86,2024-07-29,591.0,-2.00,-0.34%,₱132.49M,222.77K,₱-15.43M,591.0,602.0,593.0,1.36K
87,2024-07-26,593.0,8.00,+1.37%,₱108.23M,182.65K,₱8.25M,586.0,593.5,586.0,1.05K
88,2024-07-25,585.0,-9.00,-1.52%,₱119.17M,203.34K,₱-12.38M,583.0,590.0,590.0,1.38K
89,2024-07-23,594.0,14.00,+2.41%,₱157.67M,266.36K,₱74.86M,581.5,594.0,589.5,1.23K
90,2024-07-22,580.0,-17.00,-2.85%,₱274.39M,463.98K,₱-40.28M,580.0,606.0,593.0,2.11K
91,2024-07-19,597.0,7.00,+1.19%,₱351.23M,588.31K,₱-74.05M,585.5,599.5,590.5,1.98K
92,2024-07-18,590.0,0.00,0.00%,₱110.09M,186.61K,₱13.20M,585.0,593.5,590.0,1.42K
93,2024-07-17,590.0,-3.00,-0.51%,₱168.33M,283.95K,₱22.40M,588.0,597.0,596.0,813
94,2024-07-16,593.0,-2.00,-0.34%,₱200.57M,337.38K,₱2.85M,592.0,598.0,596.5,1.88K
95,2024-07-15,595.0,11.00,+1.88%,₱298.76M,502.38K,₱54.49M,584.5,597.0,585.5,2.81K
96,2024-07-12,584.0,4.00,+0.69%,₱143.09M,245.36K,₱25.39M,576.0,585.0,580.0,1.96K
97,2024-07-11,580.0,7.00,+1.22%,₱303.06M,524.59K,₱-57.14M,567.5,581.0,572.0,2.39K
98,2024-07-10,573.0,6.50,+1.15%,₱92.15M,161.09K,₱-597.37K,565.0,574.5,566.0,1.07K
99,2024-07-09,566.5,-1.50,-0.26%,₱237.61M,419.48K,₱-18.01M,564.0,571.0,568.5,2.26K
100,2024-07-08,568.0,0.00,0.00%,₱203.49M,356.40K,₱-86.57M,568.0,574.0,569.5,1.90K
101,2024-07-05,568.0,-2.50,-0.44%,₱241.79M,424.74K,₱-84.23M,567.0,576.5,573.0,2.20K
102,2024-07-04,570.5,-2.00,-0.35%,₱200.57M,350.42K,₱-65.08M,568.5,582.0,578.0,1.96K
103,2024-07-03,572.5,7.50,+1.33%,₱144.65M,253.53K,₱-38.64M,565.0,574.0,570.0,1.99K
104,2024-07-02,565.0,-12.00,-2.08%,₱283.23M,497.80K,₱-104.00M,565.0,581.0,577.0,2.21K
105,2024-07-01,577.0,-5.00,-0.86%,₱60.42M,104.47K,₱-18.34M,575.0,587.5,582.0,1.07K
106,2024-06-28,582.0,-6.00,-1.02%,₱185.82M,317.12K,₱-55.66M,582.0,593.5,587.5,1.76K
107,2024-06-27,588.0,8.00,+1.38%,₱74.85M,128.09K,₱1.17M,575.0,588.0,581.0,790
108,2024-06-26,580.0,0.00,0.00%,₱91.83M,158.44K,₱-12.22M,577.0,582.0,581.5,1.18K
109,2024-06-25,580.0,-5.00,-0.85%,₱106.02M,182.48K,₱-6.01M,576.0,585.5,585.0,1.39K
110,2024-06-24,585.0,20.00,+3.54%,₱147.89M,256.16K,₱-3.78M,562.0,585.0,577.0,1.39K
111,2024-06-21,565.0,-19.50,-3.34%,₱227.97M,401.60K,₱-132.38M,565.0,584.0,582.0,1.22K
