,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,34.0,1.00,+3.03%,₱57.86M,1.71M,₱2.89M,33.2,34.05,33.35,771
1,2024-11-28,33.0,-0.90,-2.65%,₱118.04M,3.57M,₱-4.68M,32.95,34.1,33.9,754
2,2024-11-27,33.9,-0.40,-1.17%,₱25.97M,762.30K,₱-495.32K,33.9,34.95,34.95,355
3,2024-11-26,34.3,-0.85,-2.42%,₱159.95M,4.56M,₱-37.07M,34.3,35.55,34.5,1.25K
4,2024-11-25,35.15,1.30,+3.84%,₱61.54M,1.77M,₱12.33M,33.85,35.2,33.9,877
5,2024-11-22,33.85,0.60,+1.80%,₱9.96M,296.10K,₱-1.42M,33.1,34.0,34.0,460
6,2024-11-21,33.25,-1.05,-3.06%,₱75.74M,2.26M,₱-24.07M,33.25,34.5,34.25,646
7,2024-11-20,34.3,0.05,+0.15%,₱108.74M,3.20M,₱1.49M,33.65,35.1,34.25,683
8,2024-11-19,34.25,-0.75,-2.14%,₱114.23M,3.26M,₱-17.17M,34.25,35.6,35.15,1.13K
9,2024-11-18,35.0,1.00,+2.94%,₱85.01M,2.44M,₱-24.81M,34.1,35.15,34.5,1.01K
10,2024-11-15,34.0,-0.40,-1.16%,₱35.80M,1.05M,₱1.77M,33.2,34.55,33.2,522
11,2024-11-14,34.4,0.40,+1.18%,₱213.08M,6.40M,₱-12.69M,32.7,34.4,34.0,1.22K
12,2024-11-13,34.0,0.15,+0.44%,₱163.84M,4.88M,₱-2.65M,32.7,34.0,33.85,980
13,2024-11-12,33.85,-0.35,-1.02%,₱276.82M,8.16M,₱-36.67M,33.75,35.0,34.45,1.48K
14,2024-11-11,34.2,-1.80,-5.00%,₱196.54M,5.70M,₱-19.63M,34.2,36.0,36.0,1.41K
15,2024-11-08,36.0,1.50,+4.35%,₱123.33M,3.46M,₱-3.21M,34.15,36.05,34.5,1.02K
16,2024-11-07,34.5,-1.30,-3.63%,₱81.35M,2.36M,₱224.13K,34.15,35.8,35.8,805
17,2024-11-06,35.8,0.40,+1.13%,₱135.03M,3.76M,₱3.19M,35.55,36.4,35.55,663
18,2024-11-05,35.4,0.20,+0.57%,₱39.20M,1.11M,₱-6.11M,35.2,35.6,35.2,880
19,2024-11-04,35.2,0.30,+0.86%,₱53.91M,1.53M,₱-6.85M,34.55,35.25,34.9,491
20,2024-10-31,34.9,-0.05,-0.14%,₱30.90M,884.60K,₱11.88M,34.55,35.15,35.0,312
21,2024-10-30,34.95,0.75,+2.19%,₱175.89M,5.11M,₱1.41M,33.95,34.95,34.2,1.15K
22,2024-10-29,34.2,-0.90,-2.56%,₱65.80M,1.93M,₱-1.48M,33.55,35.2,35.2,1.11K
23,2024-10-28,35.1,-0.70,-1.96%,₱72.85M,2.10M,₱-7.92M,34.1,35.85,35.8,1.29K
24,2024-10-25,35.8,-0.30,-0.83%,₱24.78M,693.20K,₱-4.31M,35.25,36.6,36.1,705
25,2024-10-24,36.1,-0.55,-1.50%,₱22.47M,620.10K,₱-746.91K,36.05,37.0,37.0,526
26,2024-10-23,36.65,-0.30,-0.81%,₱18.64M,506.60K,₱-2.40M,36.65,37.15,36.95,327
27,2024-10-22,36.95,0.15,+0.41%,₱24.40M,660.60K,₱3.54M,36.75,37.15,36.9,404
28,2024-10-21,36.8,-0.05,-0.14%,₱17.57M,475.50K,₱-3.71M,36.7,37.6,37.25,309
29,2024-10-18,36.85,-0.75,-1.99%,₱44.73M,1.21M,₱-10.31M,36.75,37.9,37.6,600
30,2024-10-17,37.6,-0.05,-0.13%,₱77.16M,2.03M,₱-3.74M,37.5,38.4,37.7,792
31,2024-10-16,37.65,0.25,+0.67%,₱25.21M,669.30K,₱-8.72M,37.45,37.8,37.65,535
32,2024-10-15,37.4,-0.10,-0.27%,₱33.64M,893.20K,₱-10.79M,37.4,37.9,37.7,569
33,2024-10-14,37.5,1.00,+2.74%,₱57.18M,1.53M,₱-12.38M,36.55,37.65,36.55,786
34,2024-10-11,36.5,-0.75,-2.01%,₱41.36M,1.13M,₱-8.02M,36.3,37.7,37.7,780
35,2024-10-10,37.25,0.05,+0.13%,₱39.16M,1.05M,₱-7.46M,37.0,37.7,37.2,617
36,2024-10-09,37.2,-0.45,-1.20%,₱33.65M,901.70K,₱-11.92M,37.1,37.65,37.65,497
37,2024-10-08,37.65,0.35,+0.94%,₱45.54M,1.21M,₱-11.80M,37.3,37.85,37.85,539
38,2024-10-07,37.3,0.30,+0.81%,₱59.20M,1.57M,₱-10.86M,37.25,38.05,37.25,684
39,2024-10-04,37.0,0.00,0.00%,₱39.95M,1.08M,₱-12.20M,36.75,37.3,37.3,555
40,2024-10-03,37.0,-0.60,-1.60%,₱90.32M,2.41M,₱-15.64M,37.0,38.0,37.6,604
41,2024-10-02,37.6,-0.15,-0.40%,₱23.95M,634.80K,₱-13.65M,37.45,38.0,37.65,311
42,2024-10-01,37.75,0.60,+1.62%,₱75.27M,1.99M,₱-12.24M,37.35,38.2,37.6,807
43,2024-09-30,37.15,-0.65,-1.72%,₱64.44M,1.72M,₱-26.13M,37.1,38.2,37.8,649
44,2024-09-27,37.8,0.15,+0.40%,₱67.59M,1.80M,₱-14.29M,37.2,37.8,37.65,736
45,2024-09-26,37.65,1.15,+3.15%,₱70.93M,1.91M,₱-21.95M,36.55,37.65,36.55,795
46,2024-09-25,36.5,-1.15,-3.05%,₱35.06M,952.90K,₱-5.60M,36.35,37.95,37.8,806
47,2024-09-24,37.65,-0.50,-1.31%,₱54.72M,1.45M,₱-9.88M,37.6,38.25,38.25,780
48,2024-09-23,38.15,1.15,+3.11%,₱108.74M,2.86M,₱-11.71M,37.0,38.45,37.3,988
49,2024-09-20,37.0,1.00,+2.78%,₱137.47M,3.73M,₱-721.13K,36.1,37.3,36.1,1.21K
50,2024-09-19,36.0,0.00,0.00%,₱93.39M,2.58M,₱-11.05M,35.8,36.5,36.05,833
51,2024-09-18,36.0,0.10,+0.28%,₱83.60M,2.30M,₱-24.21M,35.95,37.0,35.95,963
52,2024-09-17,35.9,-0.50,-1.37%,₱90.34M,2.50M,₱595.47K,35.9,36.45,36.4,624
53,2024-09-16,36.4,0.10,+0.28%,₱67.55M,1.86M,₱3.61M,36.2,36.5,36.4,564
54,2024-09-13,36.3,0.40,+1.11%,₱68.38M,1.89M,₱-609.41K,35.8,36.5,35.95,942
55,2024-09-12,35.9,0.40,+1.13%,₱105.03M,2.94M,₱8.56M,35.2,35.9,35.5,806
56,2024-09-11,35.5,0.50,+1.43%,₱90.15M,2.55M,₱32.88M,34.95,35.6,35.5,1.13K
57,2024-09-10,35.0,0.95,+2.79%,₱134.50M,3.80M,₱5.07M,34.3,36.0,34.3,1.18K
58,2024-09-09,34.05,0.55,+1.64%,₱98.50M,2.91M,₱14.41M,33.35,34.3,33.5,1.15K
59,2024-09-06,33.5,0.00,0.00%,₱146.58M,4.38M,₱-57.74M,33.2,33.65,33.5,604
60,2024-09-05,33.5,0.10,+0.30%,₱54.91M,1.64M,₱-9.63M,33.0,33.65,33.5,437
61,2024-09-04,33.4,0.10,+0.30%,₱33.40M,1.00M,₱-2.42M,32.9,33.5,33.3,403
62,2024-09-03,33.3,0.10,+0.30%,₱13.67M,408.30K,₱1.69M,33.3,33.8,33.3,483
63,2024-09-02,33.2,0.00,0.00%,₱22.05M,662.50K,₱-3.82M,33.1,33.5,33.25,499
64,2024-08-30,33.2,-0.15,-0.45%,₱42.47M,1.28M,₱-11.37M,33.1,33.7,33.5,534
65,2024-08-29,33.35,-0.70,-2.06%,₱55.74M,1.66M,₱-13.59M,33.2,34.25,34.05,1.15K
66,2024-08-28,34.05,-0.45,-1.30%,₱21.75M,635.90K,₱-1.24M,34.05,34.6,34.2,433
67,2024-08-27,34.5,-0.70,-1.99%,₱70.54M,2.06M,₱-5.61M,33.9,35.15,35.15,1.05K
68,2024-08-22,35.2,-0.15,-0.42%,₱86.49M,2.48M,₱18.13M,34.2,35.35,35.35,1.05K
69,2024-08-21,35.35,-0.25,-0.70%,₱39.32M,1.11M,₱-2.07M,35.25,35.9,35.65,397
70,2024-08-20,35.6,0.15,+0.42%,₱136.10M,3.81M,₱50.05M,35.45,36.05,35.45,1.03K
71,2024-08-19,35.45,0.95,+2.75%,₱70.13M,1.98M,₱18.91M,34.7,35.75,34.9,733
72,2024-08-16,34.5,1.00,+2.99%,₱128.79M,3.74M,₱37.88M,33.6,34.55,33.6,796
73,2024-08-15,33.5,-1.15,-3.32%,₱78.25M,2.31M,₱-15.19M,33.25,34.9,34.35,758
74,2024-08-14,34.65,2.00,+6.13%,₱104.20M,3.05M,₱-19.63M,32.6,34.65,32.65,1.20K
75,2024-08-13,32.65,0.00,0.00%,₱48.53M,1.49M,₱-3.75M,32.5,32.8,32.7,693
76,2024-08-12,32.65,0.05,+0.15%,₱30.45M,931.90K,₱-4.92M,32.55,32.85,32.85,751
77,2024-08-09,32.6,-0.30,-0.91%,₱140.67M,4.30M,₱-17.01M,32.55,33.8,33.05,1.14K
78,2024-08-08,32.9,-0.10,-0.30%,₱83.42M,2.53M,₱-29.76M,32.75,33.4,33.4,1.11K
79,2024-08-07,33.0,-0.50,-1.49%,₱75.08M,2.26M,₱-31.29M,32.9,33.75,33.6,984
80,2024-08-06,33.5,-0.20,-0.59%,₱35.34M,1.05M,₱-7.69M,33.35,34.3,33.75,723
81,2024-08-05,33.7,-1.75,-4.94%,₱134.56M,3.93M,₱-49.81M,33.0,35.25,35.25,1.87K
82,2024-08-02,35.45,-0.10,-0.28%,₱43.39M,1.22M,₱-11.91M,35.25,35.9,35.9,687
83,2024-08-01,35.55,0.10,+0.28%,₱12.72M,357.30K,₱-4.84M,35.4,35.85,35.5,319
84,2024-07-31,35.45,-0.05,-0.14%,₱40.83M,1.15M,₱-9.51M,35.4,35.7,35.55,377
85,2024-07-30,35.5,-0.05,-0.14%,₱62.17M,1.75M,₱-33.28M,35.2,35.85,35.55,975
86,2024-07-29,35.55,-0.05,-0.14%,₱30.55M,856.90K,₱-12.80M,35.55,36.1,36.0,535
87,2024-07-26,35.6,-0.70,-1.93%,₱46.23M,1.29M,₱-27.57M,35.6,36.3,36.05,675
88,2024-07-25,36.3,0.65,+1.82%,₱29.04M,805.00K,₱-5.78M,35.5,36.3,35.65,544
89,2024-07-23,35.65,-0.15,-0.42%,₱78.47M,2.21M,₱-26.51M,35.1,36.35,35.9,1.55K
90,2024-07-22,35.8,-0.65,-1.78%,₱118.70M,3.30M,₱-19.55M,35.8,36.85,36.85,1.13K
91,2024-07-19,36.45,0.05,+0.14%,₱37.56M,1.02M,₱-16.52M,36.4,37.0,36.5,589
92,2024-07-18,36.4,-0.85,-2.28%,₱49.48M,1.36M,₱-14.60M,36.4,37.35,37.35,1.13K
93,2024-07-17,37.25,0.15,+0.40%,₱43.16M,1.17M,₱-7.83M,36.75,37.45,37.2,954
94,2024-07-16,37.1,-0.05,-0.13%,₱52.88M,1.42M,₱-12.94M,36.95,37.5,37.5,402
95,2024-07-15,37.15,0.95,+2.62%,₱98.02M,2.64M,₱-19.38M,36.2,37.55,36.25,834
96,2024-07-12,36.2,-0.75,-2.03%,₱247.41M,6.79M,₱-24.86M,36.2,37.25,37.0,1.17K
97,2024-07-11,36.95,0.50,+1.37%,₱73.05M,1.98M,₱-23.21M,36.3,37.05,36.45,783
