,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,8.8,0.05,+0.57%,₱5.11M,583.30K,₱-2.14M,8.68,8.8,8.75,279
1,2024-11-27,8.75,0.02,+0.23%,₱3.77M,430.00K,₱-2.03M,8.73,8.82,8.75,154
2,2024-11-26,8.73,0.02,+0.23%,₱3.70M,424.30K,₱-2.03M,8.65,8.87,8.8,177
3,2024-11-25,8.71,-0.16,-1.80%,₱13.04M,1.49M,₱-8.53M,8.71,8.87,8.87,465
4,2024-11-22,8.87,0.07,+0.80%,₱3.42M,388.10K,₱-1.20M,8.72,8.87,8.85,282
5,2024-11-21,8.8,-0.02,-0.23%,₱8.54M,969.60K,₱-1.92M,8.75,8.87,8.81,526
6,2024-11-20,8.82,-0.02,-0.23%,₱10.09M,1.15M,₱-1.88M,8.76,8.9,8.9,452
7,2024-11-19,8.84,-0.11,-1.23%,₱7.85M,888.10K,₱-6.40M,8.81,8.94,8.94,428
8,2024-11-18,8.95,-0.02,-0.22%,₱4.51M,508.70K,₱-2.67M,8.75,8.97,8.97,327
9,2024-11-15,8.97,0.27,+3.10%,₱3.31M,373.10K,₱201.78K,8.6,8.98,8.85,235
10,2024-11-14,8.7,-0.28,-3.12%,₱6.84M,783.70K,₱-1.66M,8.62,8.98,8.98,603
11,2024-11-13,8.98,-0.03,-0.33%,₱8.38M,945.30K,₱319.16K,8.8,9.02,9.02,727
12,2024-11-12,9.01,-0.15,-1.64%,₱3.56M,395.60K,₱-44.04K,8.96,9.09,9.09,408
13,2024-11-11,9.16,0.11,+1.22%,₱4.09M,449.10K,₱-1.52M,9.04,9.16,9.09,177
14,2024-11-08,9.05,-0.11,-1.20%,₱18.42M,2.04M,₱-8.59M,8.98,9.16,9.16,451
15,2024-11-07,9.16,-0.08,-0.87%,₱18.84M,2.08M,₱-1.40M,8.98,9.25,9.24,1.41K
16,2024-11-06,9.24,0.07,+0.76%,₱7.40M,800.00K,₱-4.26M,9.19,9.34,9.19,391
17,2024-11-05,9.17,0.01,+0.11%,₱5.82M,635.20K,₱-3.49M,9.12,9.23,9.15,344
18,2024-11-04,9.16,-0.05,-0.54%,₱7.72M,843.80K,₱-2.83M,9.11,9.21,9.21,1.04K
19,2024-10-31,9.21,0.06,+0.66%,₱22.71M,2.47M,₱-4.54M,9.12,9.24,9.15,570
20,2024-10-30,9.15,-0.19,-2.03%,₱13.25M,1.44M,₱-6.35M,9.06,9.33,9.33,1.21K
21,2024-10-29,9.34,-0.08,-0.85%,₱7.07M,757.30K,₱-3.71M,9.3,9.49,9.42,547
22,2024-10-28,9.42,0.03,+0.32%,₱8.10M,859.80K,₱-5.89M,9.35,9.45,9.39,496
23,2024-10-25,9.39,0.10,+1.08%,₱12.95M,1.38M,₱-3.40M,9.33,9.59,9.34,532
24,2024-10-24,9.29,-0.04,-0.43%,₱5.09M,548.70K,₱-1.02M,9.24,9.35,9.33,287
25,2024-10-23,9.33,-0.07,-0.74%,₱10.39M,1.11M,₱-2.89M,9.3,9.5,9.45,613
26,2024-10-22,9.4,-0.20,-2.08%,₱20.05M,2.12M,₱-5.29M,9.39,9.75,9.66,584
27,2024-10-21,9.6,0.03,+0.31%,₱10.69M,1.11M,₱-1.01M,9.5,9.66,9.55,343
28,2024-10-18,9.57,0.01,+0.10%,₱15.94M,1.67M,₱4.75M,9.54,9.59,9.59,238
29,2024-10-17,9.56,-0.01,-0.10%,₱12.57M,1.31M,₱3.12M,9.5,9.59,9.57,331
30,2024-10-16,9.57,0.02,+0.21%,₱14.83M,1.55M,₱4.99M,9.55,9.66,9.55,391
31,2024-10-15,9.55,0.17,+1.81%,₱23.10M,2.45M,₱7.77M,9.39,9.55,9.4,859
32,2024-10-14,9.38,0.12,+1.30%,₱29.63M,3.15M,₱-10.89M,9.26,9.43,9.26,452
33,2024-10-11,9.26,-0.09,-0.96%,₱16.36M,1.78M,₱-2.16M,9.05,9.47,9.36,900
34,2024-10-10,9.35,-0.13,-1.37%,₱14.18M,1.51M,₱1.27M,9.34,9.6,9.5,592
35,2024-10-09,9.48,-0.18,-1.86%,₱16.99M,1.79M,₱-814.34K,9.45,9.72,9.7,573
36,2024-10-08,9.66,0.00,0.00%,₱12.04M,1.24M,₱-5.41M,9.66,9.85,9.76,289
37,2024-10-07,9.66,0.11,+1.15%,₱40.69M,4.20M,₱-17.48M,9.6,9.9,9.6,812
