,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,28.6,0.00,0.00%,₱406.65M,14.08M,₱-129.40M,28.6,29.45,28.8,3.39K
1,2024-11-28,28.6,-0.40,-1.38%,₱308.56M,10.74M,₱-92.24M,28.55,29.2,29.0,2.10K
2,2024-11-27,29.0,-0.70,-2.36%,₱238.78M,8.17M,₱-30.01M,28.8,29.95,29.7,2.57K
3,2024-11-26,29.7,-0.20,-0.67%,₱114.72M,3.84M,₱-35.82M,29.7,30.5,30.0,1.44K
4,2024-11-25,29.9,-0.10,-0.33%,₱552.25M,18.49M,₱-143.59M,29.6,30.2,30.0,2.76K
5,2024-11-22,30.0,0.05,+0.17%,₱119.35M,3.99M,₱-39.97M,29.55,30.15,29.8,1.46K
6,2024-11-21,29.95,-0.35,-1.16%,₱403.70M,13.42M,₱-61.36M,29.75,30.55,30.1,2.15K
7,2024-11-20,30.3,1.05,+3.59%,₱616.34M,20.50M,₱-9.04M,29.55,30.3,29.7,3.58K
8,2024-11-19,29.25,0.25,+0.86%,₱641.16M,21.94M,₱-329.35M,28.75,29.7,29.1,3.38K
9,2024-11-18,29.0,-0.05,-0.17%,₱612.57M,21.04M,₱-368.51M,28.8,29.45,29.1,4.30K
10,2024-11-15,29.05,0.25,+0.87%,₱784.68M,26.78M,₱-251.58M,28.95,30.2,29.0,4.60K
11,2024-11-14,28.8,-1.45,-4.79%,₱1.00B,34.34M,₱-594.54M,28.55,30.3,30.25,7.09K
12,2024-11-13,30.25,-0.30,-0.98%,₱392.25M,12.92M,₱-176.80M,30.0,31.05,30.7,1.87K
13,2024-11-12,30.55,-1.05,-3.32%,₱508.82M,16.54M,₱-244.08M,30.5,31.75,31.6,3.69K
14,2024-11-11,31.6,0.60,+1.94%,₱324.69M,10.33M,₱-144.93M,30.7,31.65,31.0,2.50K
15,2024-11-08,31.0,-0.40,-1.27%,₱844.45M,27.25M,₱-358.83M,30.25,31.85,31.5,7.64K
16,2024-11-07,31.4,-1.60,-4.85%,₱1.06B,33.38M,₱-441.97M,31.25,32.85,32.85,5.93K
17,2024-11-06,33.0,-1.50,-4.35%,₱366.88M,10.97M,₱-140.08M,33.0,34.6,34.5,2.64K
18,2024-11-05,34.5,1.50,+4.55%,₱520.35M,15.21M,₱-13.49M,33.2,34.65,33.3,3.03K
19,2024-11-04,33.0,0.30,+0.92%,₱392.78M,11.91M,₱-40.76M,32.6,33.4,32.8,4.38K
20,2024-10-31,32.7,-0.90,-2.68%,₱623.92M,18.94M,₱-250.32M,32.7,33.8,33.6,3.87K
21,2024-10-30,33.6,0.10,+0.30%,₱572.60M,17.01M,₱-185.06M,33.2,33.95,33.5,3.32K
22,2024-10-29,33.5,-1.10,-3.18%,₱351.39M,10.39M,₱-165.82M,33.5,34.6,34.5,2.62K
23,2024-10-28,34.6,-0.20,-0.57%,₱109.92M,3.17M,₱-25.87M,34.5,34.95,34.8,1.78K
24,2024-10-25,34.8,-0.20,-0.57%,₱145.65M,4.18M,₱-57.93M,34.65,35.15,34.85,1.49K
25,2024-10-24,35.0,-0.35,-0.99%,₱230.83M,6.60M,₱-1.54M,34.75,35.3,35.2,2.07K
26,2024-10-23,35.35,-0.45,-1.26%,₱280.72M,7.93M,₱-20.12M,35.2,35.75,35.75,2.00K
27,2024-10-22,35.8,-0.20,-0.56%,₱361.41M,10.05M,₱4.39M,35.75,36.4,36.0,2.29K
28,2024-10-21,36.0,-0.20,-0.55%,₱42.27M,1.17M,₱1.88M,35.85,36.15,36.0,666
29,2024-10-18,36.2,0.55,+1.54%,₱267.36M,7.44M,₱3.07M,35.35,36.2,35.5,1.44K
30,2024-10-17,35.65,-0.85,-2.33%,₱643.43M,18.00M,₱-142.36M,35.4,36.4,36.4,3.03K
31,2024-10-16,36.5,-0.60,-1.62%,₱230.34M,6.30M,₱-59.41M,36.4,37.0,37.0,1.73K
32,2024-10-15,37.1,1.10,+3.06%,₱271.10M,7.35M,₱24.16M,36.0,37.2,36.0,2.12K
33,2024-10-14,36.0,0.65,+1.84%,₱230.58M,6.40M,₱-96.46M,35.35,36.15,35.35,1.41K
34,2024-10-11,35.35,-1.15,-3.15%,₱394.12M,11.07M,₱-96.55M,35.3,36.4,36.3,2.56K
35,2024-10-10,36.5,0.10,+0.27%,₱166.66M,4.57M,₱-23.51M,36.3,36.75,36.75,1.28K
36,2024-10-09,36.4,0.00,0.00%,₱336.07M,9.23M,₱-110.12M,36.1,36.85,36.6,2.61K
37,2024-10-08,36.4,-1.85,-4.84%,₱397.58M,10.76M,₱-154.71M,36.4,38.0,38.0,2.50K
38,2024-10-07,38.25,1.25,+3.38%,₱324.67M,8.50M,₱45.14M,37.2,38.45,37.2,2.80K
39,2024-10-04,37.0,-0.60,-1.60%,₱577.83M,15.49M,₱-117.94M,36.75,37.6,37.5,2.43K
40,2024-10-03,37.6,0.10,+0.27%,₱260.67M,6.88M,₱17.41M,37.4,38.15,37.5,2.67K
41,2024-10-02,37.5,0.00,0.00%,₱287.46M,7.70M,₱7.53M,36.6,37.75,37.05,2.75K
