,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,37.3,0.00,0.00%,₱2.66M,71.40K,₱116.26K,37.15,37.45,37.3,133
1,2024-11-28,37.3,0.10,+0.27%,₱3.69M,99.20K,₱927.76K,37.05,37.8,37.8,186
2,2024-11-27,37.2,-0.15,-0.40%,₱1.97M,52.70K,₱235.22K,37.1,37.45,37.35,140
3,2024-11-26,37.35,-0.60,-1.58%,₱6.95M,185.30K,₱-505.48K,37.15,37.9,37.9,171
4,2024-11-25,37.95,0.10,+0.26%,₱138.63M,3.66M,₱18.56M,37.7,37.95,37.85,263
5,2024-11-22,37.85,0.10,+0.26%,₱39.82M,1.05M,₱245.60K,37.7,37.9,37.8,288
6,2024-11-21,37.75,0.20,+0.53%,₱28.15M,744.90K,₱15.98M,37.6,37.9,37.6,314
7,2024-11-20,37.55,0.05,+0.13%,₱44.59M,1.19M,₱1.12M,37.3,37.55,37.5,203
8,2024-11-19,37.5,0.70,+1.90%,₱7.44M,199.00K,₱-680.07K,36.85,37.5,36.85,249
9,2024-11-18,36.8,-0.35,-0.94%,₱19.51M,528.10K,₱-16.50M,36.75,37.3,37.1,377
10,2024-11-15,37.15,0.25,+0.68%,₱7.67M,207.20K,₱-27.11K,36.75,37.3,36.9,309
11,2024-11-14,36.9,-0.60,-1.60%,₱29.34M,793.60K,₱-1.55M,36.85,37.3,37.3,377
12,2024-11-13,37.5,-0.05,-0.13%,₱78.36M,2.09M,₱-5.30M,36.9,37.7,37.5,641
13,2024-11-12,37.55,0.00,0.00%,₱31.07M,828.10K,₱-18.51M,37.3,37.65,37.5,321
14,2024-11-11,37.55,0.05,+0.13%,₱112.87M,3.01M,₱-104.51M,37.3,37.7,37.5,250
15,2024-11-08,37.5,0.00,0.00%,₱83.52M,2.23M,₱-72.57M,37.2,37.7,37.6,360
16,2024-11-07,37.5,-0.20,-0.53%,₱15.60M,417.30K,₱-2.37M,37.15,37.95,37.7,381
17,2024-11-06,37.7,0.20,+0.53%,₱85.79M,2.27M,₱-50.39M,37.5,38.0,37.7,343
18,2024-11-05,37.5,0.00,0.00%,₱16.30M,434.90K,₱-2.76M,37.4,37.5,37.5,402
19,2024-11-04,37.5,0.00,0.00%,₱113.98M,3.04M,₱-51.15M,37.25,37.5,37.5,428
20,2024-10-31,37.5,-0.30,-0.79%,₱25.98M,692.70K,₱-4.80M,37.25,38.2,38.2,446
21,2024-10-30,37.8,0.45,+1.20%,₱17.50M,470.00K,₱-4.23M,36.85,37.8,37.4,519
22,2024-10-29,37.35,-0.45,-1.19%,₱16.63M,448.40K,₱-10.72M,36.6,37.9,37.7,519
23,2024-10-28,37.8,0.00,0.00%,₱14.70M,388.90K,₱-1.29M,37.45,38.3,37.85,439
24,2024-10-25,37.8,0.40,+1.07%,₱11.91M,316.70K,₱-992.62K,37.35,37.8,37.4,354
25,2024-10-24,37.4,-0.60,-1.58%,₱21.78M,579.90K,₱-6.03M,37.4,38.05,38.05,564
26,2024-10-23,38.0,-0.05,-0.13%,₱6.12M,161.00K,₱-1.87M,37.8,38.3,38.0,242
27,2024-10-22,38.05,0.05,+0.13%,₱6.58M,173.60K,₱242.88K,37.7,38.2,38.0,281
28,2024-10-21,38.0,0.10,+0.26%,₱6.08M,159.70K,₱-1.09M,37.9,38.4,37.9,218
29,2024-10-18,37.9,-0.20,-0.52%,₱18.29M,480.60K,₱-244.51K,37.9,38.55,38.2,318
30,2024-10-17,38.1,-1.65,-4.15%,₱25.02M,648.50K,₱-2.26M,38.1,39.3,38.75,451
31,2024-10-16,39.75,1.65,+4.33%,₱132.81M,3.35M,₱86.68M,37.85,39.75,38.1,390
32,2024-10-15,38.1,0.35,+0.93%,₱12.48M,329.00K,₱1.14M,37.55,38.3,37.65,496
33,2024-10-14,37.75,0.05,+0.13%,₱7.52M,198.90K,₱-942.99K,37.65,37.95,37.85,334
34,2024-10-11,37.7,-0.45,-1.18%,₱24.89M,662.80K,₱410.20K,37.05,38.05,38.0,508
35,2024-10-10,38.15,-0.50,-1.29%,₱11.01M,287.60K,₱1.05M,38.05,38.65,38.65,305
36,2024-10-09,38.65,-0.15,-0.39%,₱6.88M,178.10K,₱605.45K,38.5,38.8,38.7,251
37,2024-10-08,38.8,0.55,+1.44%,₱15.16M,392.40K,₱5.74M,38.25,38.8,38.25,459
38,2024-10-07,38.25,0.25,+0.66%,₱56.55M,1.46M,₱34.01M,38.0,39.1,38.0,1.11K
39,2024-10-04,38.0,-0.25,-0.65%,₱7.55M,197.50K,₱1.12M,37.9,38.45,38.25,223
40,2024-10-03,38.25,0.20,+0.53%,₱30.41M,792.10K,₱909.74K,38.15,38.65,38.3,456
