,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,154.5,2.30,+1.51%,₱427.22M,2.80M,₱34.40M,150.0,154.5,152.2,3.60K
1,2024-11-28,152.2,-0.90,-0.59%,₱201.25M,1.33M,₱-6.28M,149.5,153.1,153.0,1.86K
2,2024-11-27,153.1,0.20,+0.13%,₱473.48M,3.09M,₱30.28M,151.7,154.5,153.9,3.44K
3,2024-11-26,152.9,1.20,+0.79%,₱233.26M,1.53M,₱11.45M,152.1,153.7,152.5,4.03K
4,2024-11-25,151.7,-0.30,-0.20%,₱1.34B,8.72M,₱94.47M,151.7,156.9,154.1,5.74K
5,2024-11-22,152.0,-0.30,-0.20%,₱213.75M,1.41M,₱18.88M,149.5,152.4,151.5,3.62K
6,2024-11-21,152.3,-1.70,-1.10%,₱394.89M,2.60M,₱69.62M,149.5,153.3,151.0,4.01K
7,2024-11-20,154.0,8.50,+5.84%,₱571.36M,3.78M,₱254.74M,144.9,154.0,146.0,4.53K
8,2024-11-19,145.5,5.10,+3.63%,₱539.65M,3.76M,₱-116.99M,139.0,145.9,140.5,5.26K
9,2024-11-18,140.4,-1.50,-1.06%,₱1.05B,7.44M,₱-379.35M,139.8,142.2,141.5,8.32K
10,2024-11-15,141.9,3.80,+2.75%,₱1.01B,7.19M,₱-159.68M,138.2,143.2,139.4,9.74K
11,2024-11-14,138.1,-3.90,-2.75%,₱869.45M,6.20M,₱-308.39M,138.1,143.1,142.5,5.76K
12,2024-11-13,142.0,-5.10,-3.47%,₱775.91M,5.38M,₱-191.20M,142.0,147.4,147.1,5.15K
13,2024-11-12,147.1,-1.90,-1.28%,₱403.73M,2.73M,₱-65.50M,147.0,149.5,147.6,4.41K
14,2024-11-11,149.0,2.00,+1.36%,₱408.11M,2.76M,₱-43.59M,145.6,149.8,146.4,5.25K
15,2024-11-08,147.0,-1.00,-0.68%,₱626.61M,4.27M,₱-270.73M,145.1,149.1,149.0,7.76K
16,2024-11-07,148.0,-2.00,-1.33%,₱961.22M,6.53M,₱-426.05M,143.9,148.2,145.5,13.15K
17,2024-11-06,150.0,-6.00,-3.85%,₱497.20M,3.28M,₱-334.97M,150.0,157.3,156.0,3.31K
18,2024-11-05,156.0,4.50,+2.97%,₱574.00M,3.70M,₱23.05M,152.1,156.6,152.9,6.23K
19,2024-11-04,151.5,-1.30,-0.85%,₱613.08M,4.06M,₱-195.54M,149.4,152.4,152.3,7.58K
20,2024-10-31,152.8,-7.20,-4.50%,₱661.81M,4.27M,₱-221.31M,152.8,158.1,157.5,6.48K
21,2024-10-30,160.0,3.00,+1.91%,₱665.10M,4.25M,₱-115.93M,154.2,160.0,156.6,4.80K
22,2024-10-29,157.0,-3.00,-1.88%,₱586.68M,3.73M,₱-232.95M,156.4,159.7,158.9,4.81K
23,2024-10-28,160.0,0.30,+0.19%,₱298.57M,1.88M,₱-47.65M,157.4,160.1,159.9,3.33K
24,2024-10-25,159.7,-3.10,-1.90%,₱296.23M,1.85M,₱-127.46M,159.6,162.5,162.4,3.05K
25,2024-10-24,162.8,-0.50,-0.31%,₱251.75M,1.54M,₱63.47M,162.4,163.8,163.8,3.11K
26,2024-10-23,163.3,-0.70,-0.43%,₱371.31M,2.27M,₱6.89M,162.2,164.7,164.0,3.74K
27,2024-10-22,164.0,-1.00,-0.61%,₱808.69M,4.87M,₱73.03M,163.6,168.7,165.0,8.53K
28,2024-10-21,165.0,1.00,+0.61%,₱308.38M,1.87M,₱112.85M,162.5,165.7,164.1,3.37K
29,2024-10-18,164.0,1.50,+0.92%,₱361.98M,2.20M,₱106.61M,163.1,166.8,164.0,3.06K
30,2024-10-17,162.5,0.50,+0.31%,₱635.65M,3.87M,₱179.27M,162.5,166.4,163.0,7.46K
31,2024-10-16,162.0,1.00,+0.62%,₱612.24M,3.76M,₱139.83M,160.8,164.9,161.5,6.20K
32,2024-10-15,161.0,2.40,+1.51%,₱999.16M,6.14M,₱206.54M,160.4,164.5,164.4,8.59K
33,2024-10-14,158.6,2.10,+1.34%,₱581.40M,3.65M,₱46.02M,158.0,160.9,160.0,7.20K
34,2024-10-11,156.5,-0.30,-0.19%,₱1.45B,9.36M,₱-28.32M,154.1,158.0,158.0,5.76K
35,2024-10-10,156.8,-1.00,-0.63%,₱285.43M,1.82M,₱-40.04M,156.3,159.0,158.0,2.40K
36,2024-10-09,157.8,-3.80,-2.35%,₱628.76M,3.97M,₱-116.31M,157.7,160.5,159.0,5.25K
37,2024-10-08,161.6,1.60,+1.00%,₱672.22M,4.21M,₱-76.35M,157.0,161.6,159.8,4.02K
38,2024-10-07,160.0,2.00,+1.27%,₱462.11M,2.89M,₱28.76M,158.7,160.9,159.0,4.32K
39,2024-10-04,158.0,1.10,+0.70%,₱920.48M,5.83M,₱44.68M,156.9,158.4,157.0,5.93K
40,2024-10-03,156.9,-3.90,-2.43%,₱1.02B,6.47M,₱-245.60M,156.8,162.1,160.8,7.57K
41,2024-10-02,160.8,3.50,+2.23%,₱271.39M,1.70M,₱7.30M,156.6,160.8,157.3,3.97K
42,2024-10-01,157.3,-0.70,-0.44%,₱693.14M,4.40M,₱-234.84M,156.1,160.4,158.3,4.30K
43,2024-09-30,158.0,-3.40,-2.11%,₱538.26M,3.39M,₱-94.38M,158.0,161.7,161.0,4.07K
44,2024-09-27,161.4,-5.70,-3.41%,₱651.49M,4.02M,₱-256.94M,160.8,165.2,165.0,5.70K
45,2024-09-26,167.1,2.50,+1.52%,₱292.71M,1.75M,₱30.54M,165.1,168.0,166.5,2.81K
46,2024-09-25,164.6,-2.40,-1.44%,₱791.31M,4.80M,₱-3.76M,163.1,166.0,163.1,6.01K
47,2024-09-24,167.0,4.00,+2.45%,₱1.52B,9.06M,₱333.47M,164.0,169.0,164.9,8.64K
