,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,1.68,0.01,+0.60%,₱178.58K,106.00K,₱0,1.68,1.69,1.69,5
1,2024-11-28,1.67,-0.03,-1.76%,₱1.90M,1.14M,₱0,1.67,1.7,1.69,19
2,2024-11-27,1.7,-0.02,-1.16%,₱99.84K,59.00K,₱0,1.69,1.7,1.69,5
3,2024-11-26,1.72,-0.02,-1.15%,₱368.40K,217.00K,₱-8.45K,1.69,1.72,1.72,14
4,2024-11-25,1.74,-0.01,-0.57%,₱492.13K,287.00K,₱0,1.7,1.77,1.75,16
5,2024-11-22,1.75,-0.02,-1.13%,₱217.51K,124.00K,₱0,1.68,1.79,1.77,14
6,2024-11-21,1.77,0.02,+1.14%,₱526.75K,304.00K,₱0,1.67,1.77,1.76,12
7,2024-11-20,1.75,-0.05,-2.78%,₱2.63M,1.52M,₱261.20K,1.65,1.8,1.79,50
8,2024-11-19,1.8,0.00,0.00%,₱623.87K,349.00K,₱-151.20K,1.78,1.82,1.79,26
9,2024-11-18,1.8,0.01,+0.56%,₱99.07K,55.00K,₱-41.40K,1.79,1.82,1.79,9
10,2024-11-15,1.79,0.04,+2.29%,₱304.99K,172.00K,₱0,1.76,1.8,1.76,35
11,2024-11-14,1.75,-0.03,-1.69%,₱632.50K,359.00K,₱0,1.75,1.82,1.76,39
12,2024-11-13,1.78,-0.02,-1.11%,₱2.20M,1.24M,₱0,1.77,1.8,1.8,28
13,2024-11-12,1.8,0.00,0.00%,₱3.34M,1.85M,₱-1.01M,1.8,1.81,1.8,39
14,2024-11-11,1.8,-0.05,-2.70%,₱1.77M,976.00K,₱-1.18M,1.8,1.86,1.81,41
15,2024-11-08,1.85,0.04,+2.21%,₱1.04M,573.00K,₱-339.06K,1.81,1.85,1.82,23
16,2024-11-07,1.81,-0.03,-1.63%,₱2.51M,1.38M,₱-474.27K,1.8,1.84,1.84,45
17,2024-11-06,1.84,0.00,0.00%,₱401.86K,219.00K,₱-232.52K,1.83,1.87,1.84,12
18,2024-11-05,1.84,0.00,0.00%,₱1.07M,586.00K,₱-427.89K,1.83,1.86,1.83,24
19,2024-11-04,1.84,0.00,0.00%,₱349.82K,188.00K,₱-117.62K,1.84,1.89,1.89,16
20,2024-10-31,1.84,0.01,+0.55%,₱73.68K,40.00K,₱-51.48K,1.83,1.9,1.9,9
21,2024-10-30,1.83,-0.01,-0.54%,₱837.53K,457.00K,₱-197.65K,1.83,1.9,1.84,21
22,2024-10-29,1.84,0.01,+0.55%,₱184.50K,100.00K,₱-62.56K,1.84,1.85,1.85,10
23,2024-10-28,1.83,-0.04,-2.14%,₱1.27M,692.00K,₱55.50K,1.83,1.89,1.86,22
24,2024-10-25,1.87,0.01,+0.54%,₱121.84K,65.00K,₱0,1.86,1.88,1.86,16
25,2024-10-24,1.86,-0.06,-3.12%,₱1.35M,728.00K,₱370.00K,1.84,1.88,1.88,40
26,2024-10-23,1.92,0.02,+1.05%,₱8.59M,4.62M,₱-96.90K,1.83,1.94,1.9,92
27,2024-10-22,1.9,-0.02,-1.04%,₱831.19K,436.00K,₱-629.17K,1.9,1.95,1.91,37
28,2024-10-21,1.92,0.01,+0.52%,₱1.09M,573.00K,₱-364.88K,1.89,1.92,1.9,39
29,2024-10-18,1.91,0.01,+0.53%,₱5.07M,2.67M,₱-1.83M,1.89,1.91,1.9,52
30,2024-10-17,1.9,-0.03,-1.55%,₱1.59M,836.00K,₱-921.93K,1.9,1.93,1.93,43
31,2024-10-16,1.93,0.00,0.00%,₱692.41K,364.00K,₱-378.22K,1.9,1.93,1.93,25
32,2024-10-15,1.93,-0.07,-3.50%,₱6.24M,3.28M,₱-5.97M,1.9,1.96,1.92,333
33,2024-10-14,2.0,0.06,+3.09%,₱1.72M,898.00K,₱380.00K,1.9,2.0,1.95,28
34,2024-10-11,1.94,-0.06,-3.00%,₱634.86K,327.00K,₱-9.80K,1.93,1.97,1.97,23
35,2024-10-10,2.0,0.02,+1.01%,₱288.80K,145.00K,₱0,1.96,2.0,2.0,13
36,2024-10-09,1.98,-0.02,-1.00%,₱1.57M,793.00K,₱0,1.96,1.99,1.97,36
37,2024-10-08,2.0,0.00,0.00%,₱1.05M,527.00K,₱0,1.99,2.0,2.0,28
38,2024-10-07,2.0,0.02,+1.01%,₱1.87M,938.00K,₱0,1.96,2.02,1.98,39
39,2024-10-04,1.98,0.01,+0.51%,₱213.53K,108.00K,₱0,1.97,1.98,1.98,5
40,2024-10-03,1.97,0.00,0.00%,₱1.15M,579.00K,₱191.06K,1.96,2.0,1.97,41
41,2024-10-02,1.97,0.00,0.00%,₱945.59K,484.00K,₱-9.80K,1.93,1.97,1.96,36
42,2024-10-01,1.97,0.02,+1.03%,₱549.27K,281.00K,₱9.75K,1.94,2.0,1.95,23
43,2024-09-30,1.95,-0.04,-2.01%,₱1.23M,626.00K,₱-19.50K,1.94,2.0,2.0,34
44,2024-09-27,1.99,-0.07,-3.40%,₱3.29M,1.64M,₱-79.56K,1.99,2.06,2.06,69
45,2024-09-26,2.06,-0.01,-0.48%,₱1.44M,704.00K,₱-2.06K,2.03,2.06,2.06,25
46,2024-09-25,2.07,0.03,+1.47%,₱1.60M,779.00K,₱0,2.03,2.07,2.07,27
47,2024-09-24,2.04,-0.05,-2.39%,₱2.37M,1.15M,₱0,2.03,2.12,2.1,72
48,2024-09-23,2.09,-0.01,-0.48%,₱1.01M,478.00K,₱0,2.09,2.14,2.14,39
49,2024-09-20,2.1,0.06,+2.94%,₱2.30M,1.09M,₱-6.45K,2.02,2.18,2.02,109
50,2024-09-19,2.04,0.03,+1.49%,₱744.81K,364.00K,₱-67.71K,1.96,2.08,2.06,55
51,2024-09-18,2.01,0.02,+1.01%,₱912.66K,454.00K,₱0,1.98,2.04,2.0,46
52,2024-09-17,1.99,0.07,+3.65%,₱5.10M,2.58M,₱0,1.92,2.04,1.92,160
53,2024-09-16,1.92,0.00,0.00%,₱2.28M,1.18M,₱0,1.91,1.96,1.92,66
