,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,5.3,-0.15,-2.75%,₱34.41M,6.44M,₱-12.50M,5.27,5.56,5.45,798
1,2024-11-27,5.45,-0.15,-2.68%,₱62.04M,11.19M,₱-17.68M,5.41,5.68,5.6,1.13K
2,2024-11-26,5.6,-0.03,-0.53%,₱56.19M,9.93M,₱-36.75M,5.6,5.77,5.7,1.39K
3,2024-11-25,5.63,-0.18,-3.10%,₱73.37M,12.92M,₱-53.66M,5.63,5.92,5.92,1.48K
4,2024-11-22,5.81,0.16,+2.83%,₱73.60M,12.75M,₱-29.80M,5.62,5.95,5.75,1.62K
5,2024-11-21,5.65,0.00,0.00%,₱104.87M,18.44M,₱-62.03M,5.65,5.76,5.7,1.72K
6,2024-11-20,5.65,-0.34,-5.68%,₱97.57M,16.81M,₱-25.33M,5.63,6.08,5.98,1.75K
7,2024-11-19,5.99,-0.06,-0.99%,₱81.67M,13.55M,₱-41.91M,5.95,6.08,6.05,1.95K
8,2024-11-18,6.05,-0.05,-0.82%,₱72.94M,12.01M,₱-33.96M,6.0,6.2,6.16,1.84K
9,2024-11-15,6.1,-0.02,-0.33%,₱82.55M,13.44M,₱-36.76M,6.07,6.38,6.25,1.82K
10,2024-11-14,6.12,-0.74,-10.79%,₱88.28M,13.97M,₱-14.55M,6.04,6.87,6.87,1.69K
11,2024-11-13,6.86,-0.54,-7.30%,₱140.58M,20.33M,₱-41.17M,6.67,7.3,7.3,1.93K
12,2024-11-12,7.4,-0.27,-3.52%,₱34.60M,4.66M,₱-7.90M,7.4,7.66,7.66,409
13,2024-11-11,7.67,0.00,0.00%,₱9.18M,1.20M,₱3.37M,7.51,7.69,7.69,292
14,2024-11-08,7.67,0.16,+2.13%,₱6.04M,795.50K,₱578.47K,7.46,7.7,7.7,195
15,2024-11-07,7.51,-0.26,-3.35%,₱53.98M,7.18M,₱-2.09M,7.4,7.8,7.8,800
16,2024-11-06,7.77,0.08,+1.04%,₱16.91M,2.17M,₱1.75M,7.7,7.86,7.7,322
17,2024-11-05,7.69,-0.01,-0.13%,₱8.47M,1.11M,₱529.27K,7.62,7.82,7.7,414
18,2024-11-04,7.7,0.00,0.00%,₱27.39M,3.54M,₱755.14K,7.6,7.86,7.7,1.12K
19,2024-10-31,7.7,0.00,0.00%,₱14.55M,1.89M,₱-149.13K,7.62,7.78,7.7,530
20,2024-10-30,7.7,0.01,+0.13%,₱14.31M,1.86M,₱3.68M,7.65,7.76,7.7,353
21,2024-10-29,7.69,-0.01,-0.13%,₱31.62M,4.10M,₱-413.00K,7.66,7.94,7.71,531
22,2024-10-28,7.7,-0.06,-0.77%,₱13.48M,1.75M,₱5.10M,7.67,7.84,7.74,943
23,2024-10-25,7.76,0.10,+1.31%,₱7.96M,1.03M,₱269.55K,7.59,7.78,7.61,372
24,2024-10-24,7.66,-0.04,-0.52%,₱35.29M,4.62M,₱-1.24M,7.56,7.75,7.75,574
25,2024-10-23,7.7,-0.14,-1.79%,₱67.65M,8.76M,₱17.24M,7.66,7.84,7.84,1.29K
26,2024-10-22,7.84,0.06,+0.77%,₱20.48M,2.61M,₱1.28M,7.77,7.94,7.78,625
27,2024-10-21,7.78,-0.12,-1.52%,₱16.28M,2.08M,₱-3.33M,7.74,7.92,7.92,902
28,2024-10-18,7.9,0.13,+1.67%,₱85.03M,10.91M,₱70.51M,7.78,7.94,7.84,510
29,2024-10-17,7.77,-0.11,-1.40%,₱40.40M,5.17M,₱-8.39M,7.75,7.93,7.88,1.09K
30,2024-10-16,7.88,-0.01,-0.13%,₱34.86M,4.43M,₱-8.55M,7.8,7.98,7.89,954
31,2024-10-15,7.89,-0.07,-0.88%,₱33.19M,4.18M,₱-8.38M,7.8,8.1,7.96,1.29K
32,2024-10-14,7.96,0.17,+2.18%,₱37.16M,4.70M,₱-12.13M,7.75,8.03,7.8,1.53K
33,2024-10-11,7.79,-0.06,-0.76%,₱54.75M,7.02M,₱53.97K,7.76,7.9,7.85,1.38K
34,2024-10-10,7.85,-0.24,-2.97%,₱133.56M,16.91M,₱-45.49M,7.78,8.2,8.2,3.33K
35,2024-10-09,8.09,-0.16,-1.94%,₱48.52M,5.90M,₱-15.87M,8.08,8.38,8.34,1.37K
36,2024-10-08,8.25,0.04,+0.49%,₱48.91M,5.90M,₱-7.33M,8.15,8.35,8.25,1.77K
37,2024-10-07,8.21,0.16,+1.99%,₱38.04M,4.61M,₱-16.41M,8.07,8.34,8.07,1.16K
38,2024-10-04,8.05,-0.01,-0.12%,₱28.65M,3.55M,₱-17.29M,8.04,8.14,8.08,1.33K
39,2024-10-03,8.06,0.03,+0.37%,₱38.83M,4.82M,₱-18.71M,8.01,8.15,8.15,1.27K
40,2024-10-02,8.03,-0.10,-1.23%,₱35.59M,4.40M,₱-9.05M,8.02,8.2,8.1,989
41,2024-10-01,8.13,0.04,+0.49%,₱11.19M,1.37M,₱-4.62M,8.1,8.24,8.1,656
42,2024-09-30,8.09,-0.23,-2.76%,₱44.65M,5.50M,₱-12.06M,8.09,8.3,8.3,1.68K
43,2024-09-27,8.32,0.02,+0.24%,₱23.24M,2.79M,₱-5.93M,8.25,8.45,8.45,749
44,2024-09-26,8.3,0.23,+2.85%,₱30.31M,3.68M,₱-6.17M,8.05,8.34,8.05,592
45,2024-09-25,8.07,-0.23,-2.77%,₱81.63M,10.07M,₱-30.13M,8.03,8.5,8.34,1.23K
46,2024-09-24,8.3,-0.25,-2.92%,₱60.81M,7.26M,₱-20.25M,8.26,8.62,8.58,1.22K
47,2024-09-23,8.55,0.12,+1.42%,₱36.47M,4.26M,₱-18.57M,8.45,8.65,8.6,714
48,2024-09-20,8.43,-0.07,-0.82%,₱58.51M,6.88M,₱2.48M,8.43,8.66,8.51,1.28K
49,2024-09-19,8.5,-0.09,-1.05%,₱72.93M,8.49M,₱27.26M,8.5,8.68,8.59,845
