,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,128.6,-1.00,-0.77%,₱516.58M,3.99M,₱-201.39M,128.6,131.0,129.4,7.10K
1,2024-11-28,129.6,-0.90,-0.69%,₱480.20M,3.70M,₱-153.19M,129.0,130.8,130.4,4.22K
2,2024-11-27,130.5,-2.50,-1.88%,₱326.97M,2.49M,₱-69.89M,130.5,133.0,133.0,4.66K
3,2024-11-26,133.0,1.90,+1.45%,₱279.88M,2.10M,₱-49.21M,132.1,134.2,132.1,2.82K
4,2024-11-25,131.1,-3.20,-2.38%,₱1.25B,9.48M,₱-207.85M,131.1,135.3,134.3,5.24K
5,2024-11-22,134.3,-1.20,-0.89%,₱422.72M,3.15M,₱-236.45M,133.3,136.5,136.0,3.64K
6,2024-11-21,135.5,-2.50,-1.81%,₱400.94M,2.94M,₱-230.56M,135.5,139.0,137.2,3.56K
7,2024-11-20,138.0,-0.10,-0.07%,₱270.29M,1.96M,₱-106.74M,137.0,139.3,138.1,2.70K
8,2024-11-19,138.1,-2.10,-1.50%,₱336.19M,2.43M,₱-89.97M,136.5,141.0,140.2,4.74K
9,2024-11-18,140.2,0.20,+0.14%,₱341.02M,2.43M,₱-29.62M,137.2,141.7,139.4,2.78K
10,2024-11-15,140.0,5.00,+3.70%,₱285.96M,2.05M,₱24.88M,134.6,140.3,134.6,2.80K
11,2024-11-14,135.0,0.00,0.00%,₱345.89M,2.56M,₱-25.66M,134.9,136.9,135.1,4.77K
12,2024-11-13,135.0,-0.10,-0.07%,₱424.18M,3.11M,₱-68.73M,135.0,138.9,135.1,2.75K
13,2024-11-12,135.1,-2.90,-2.10%,₱326.31M,2.39M,₱-49.32M,135.1,138.8,137.0,2.61K
14,2024-11-11,138.0,0.00,0.00%,₱201.74M,1.46M,₱-29.90M,136.5,138.5,138.5,1.58K
15,2024-11-08,138.0,-2.00,-1.43%,₱459.95M,3.35M,₱-264.54M,135.2,140.0,139.5,5.24K
16,2024-11-07,140.0,-3.80,-2.64%,₱412.22M,2.94M,₱-167.56M,138.4,143.7,141.6,5.37K
17,2024-11-06,143.8,0.30,+0.21%,₱171.44M,1.19M,₱-25.45M,141.9,144.4,143.5,1.65K
18,2024-11-05,143.5,1.80,+1.27%,₱271.44M,1.90M,₱54.38M,141.1,144.5,142.0,2.37K
19,2024-11-04,141.7,-1.50,-1.05%,₱259.30M,1.82M,₱-57.56M,140.3,147.2,147.2,3.46K
20,2024-10-31,143.2,-2.30,-1.58%,₱232.68M,1.62M,₱-67.90M,141.0,145.0,145.0,2.74K
21,2024-10-30,145.5,-1.70,-1.15%,₱176.52M,1.21M,₱-55.56M,144.0,146.7,145.2,1.71K
22,2024-10-29,147.2,-0.20,-0.14%,₱442.79M,3.00M,₱172.77M,146.4,149.1,147.5,3.88K
23,2024-10-28,147.4,1.40,+0.96%,₱751.85M,5.07M,₱207.36M,146.2,149.6,147.0,5.55K
24,2024-10-25,146.0,7.00,+5.04%,₱750.53M,5.18M,₱304.23M,139.8,148.8,140.6,5.63K
25,2024-10-24,139.0,-4.80,-3.34%,₱245.85M,1.75M,₱-78.29M,139.0,144.0,143.7,2.39K
26,2024-10-23,143.8,0.80,+0.56%,₱237.37M,1.65M,₱14.90M,142.3,144.1,143.0,3.48K
27,2024-10-22,143.0,0.50,+0.35%,₱355.74M,2.48M,₱107.45M,142.2,144.8,142.5,4.51K
28,2024-10-21,142.5,-0.60,-0.42%,₱262.97M,1.85M,₱442.71K,141.7,143.5,142.5,2.33K
29,2024-10-18,143.1,0.60,+0.42%,₱138.38M,969.13K,₱-12.26M,142.0,144.3,142.5,1.51K
30,2024-10-17,142.5,1.90,+1.35%,₱351.89M,2.48M,₱16.37M,140.2,143.3,142.5,4.92K
31,2024-10-16,140.6,0.00,0.00%,₱326.85M,2.32M,₱9.23M,140.0,142.4,142.0,2.88K
32,2024-10-15,140.6,0.60,+0.43%,₱289.31M,2.04M,₱5.06M,139.0,144.8,139.0,3.76K
33,2024-10-14,140.0,1.40,+1.01%,₱119.58M,853.65K,₱16.67M,138.7,141.7,138.7,1.82K
34,2024-10-11,138.6,-2.40,-1.70%,₱100.19M,721.78K,₱-9.51M,137.7,140.8,140.8,2.42K
35,2024-10-10,141.0,1.00,+0.71%,₱174.67M,1.24M,₱38.01M,140.3,142.4,140.3,1.38K
