,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,5.3,-0.05,-0.93%,₱1.31M,247.10K,₱1.10M,5.3,5.39,5.36,53
1,2024-11-27,5.35,0.00,0.00%,₱751.71K,141.50K,₱202.21K,5.3,5.35,5.35,56
2,2024-11-26,5.35,0.06,+1.13%,₱2.49M,466.70K,₱1.54M,5.29,5.39,5.29,95
3,2024-11-25,5.29,0.08,+1.54%,₱2.89M,545.80K,₱701.64K,5.22,5.3,5.23,68
4,2024-11-22,5.21,-0.08,-1.51%,₱571.31K,109.00K,₱-94.91K,5.21,5.29,5.29,63
5,2024-11-21,5.29,0.00,0.00%,₱613.59K,116.10K,₱63.83K,5.27,5.3,5.3,41
6,2024-11-20,5.29,0.08,+1.54%,₱1.01M,191.70K,₱-206.95K,5.21,5.34,5.21,78
7,2024-11-19,5.21,-0.01,-0.19%,₱4.12M,790.70K,₱441.52K,5.18,5.33,5.25,156
8,2024-11-18,5.22,-0.18,-3.33%,₱2.83M,535.70K,₱-1.97M,5.2,5.43,5.43,243
9,2024-11-15,5.4,0.20,+3.85%,₱2.59M,480.70K,₱-144.74K,5.25,5.42,5.25,146
10,2024-11-14,5.2,-0.22,-4.06%,₱2.16M,406.00K,₱-337.65K,5.2,5.43,5.4,133
11,2024-11-13,5.42,0.05,+0.93%,₱1.80M,332.20K,₱349.69K,5.37,5.43,5.37,73
12,2024-11-12,5.37,-0.07,-1.29%,₱1.28M,238.20K,₱-205.90K,5.25,5.44,5.44,119
13,2024-11-11,5.44,0.01,+0.18%,₱2.27M,417.80K,₱-400.34K,5.4,5.47,5.47,88
14,2024-11-08,5.43,-0.02,-0.37%,₱193.78K,35.70K,₱-5.97K,5.4,5.45,5.45,30
15,2024-11-07,5.45,-0.05,-0.91%,₱2.95M,542.30K,₱-637.15K,5.33,5.5,5.5,126
16,2024-11-06,5.5,0.00,0.00%,₱5.78M,1.05M,₱-5.53M,5.48,5.52,5.48,38
17,2024-11-05,5.5,0.02,+0.36%,₱2.35M,427.70K,₱-916.60K,5.48,5.51,5.48,71
18,2024-11-04,5.48,0.05,+0.92%,₱2.29M,418.00K,₱-1.44M,5.45,5.49,5.49,104
19,2024-10-31,5.43,-0.07,-1.27%,₱941.20K,172.00K,₱18.24K,5.43,5.52,5.51,83
20,2024-10-30,5.5,0.00,0.00%,₱2.72M,494.80K,₱333.95K,5.49,5.55,5.5,113
21,2024-10-29,5.5,-0.08,-1.43%,₱1.17M,210.40K,₱-48.09K,5.46,5.59,5.58,127
22,2024-10-28,5.58,0.09,+1.64%,₱3.98M,715.30K,₱1.88M,5.47,5.6,5.5,288
23,2024-10-25,5.49,0.04,+0.73%,₱579.62K,105.90K,₱-24.05K,5.45,5.5,5.45,83
24,2024-10-24,5.45,-0.10,-1.80%,₱2.00M,367.10K,₱-646.62K,5.42,5.55,5.54,225
25,2024-10-23,5.55,0.00,0.00%,₱7.24M,1.30M,₱-407.81K,5.52,5.59,5.56,224
26,2024-10-22,5.55,0.10,+1.83%,₱2.16M,388.90K,₱752.87K,5.5,5.6,5.5,167
27,2024-10-21,5.45,-0.03,-0.55%,₱2.76M,505.80K,₱-904.68K,5.4,5.5,5.5,295
28,2024-10-18,5.48,0.12,+2.24%,₱1.95M,356.60K,₱-405.43K,5.38,5.49,5.38,125
29,2024-10-17,5.36,-0.14,-2.55%,₱5.17M,952.30K,₱-1.59M,5.33,5.5,5.5,534
30,2024-10-16,5.5,0.00,0.00%,₱7.58M,1.38M,₱-4.05M,5.43,5.55,5.51,347
31,2024-10-15,5.5,-0.01,-0.18%,₱3.77M,687.10K,₱-653.60K,5.39,5.51,5.51,233
32,2024-10-14,5.51,0.13,+2.42%,₱4.19M,767.50K,₱-573.71K,5.41,5.52,5.5,88
33,2024-10-11,5.38,-0.12,-2.18%,₱3.00M,557.80K,₱-1.00M,5.31,5.5,5.5,212
34,2024-10-10,5.5,-0.02,-0.36%,₱8.92M,1.62M,₱-1.24M,5.4,5.52,5.5,350
35,2024-10-09,5.52,-0.10,-1.78%,₱4.34M,783.10K,₱1.01M,5.48,5.66,5.62,263
36,2024-10-08,5.62,0.04,+0.72%,₱4.29M,765.60K,₱-837.38K,5.58,5.63,5.58,136
37,2024-10-07,5.58,0.06,+1.09%,₱6.86M,1.23M,₱-1.58M,5.52,5.65,5.52,228
38,2024-10-04,5.52,0.01,+0.18%,₱3.17M,574.80K,₱-4.82K,5.48,5.55,5.53,225
39,2024-10-03,5.51,0.00,0.00%,₱5.88M,1.07M,₱-462.63K,5.49,5.52,5.5,221
40,2024-10-02,5.51,0.02,+0.36%,₱3.78M,687.60K,₱-134.17K,5.48,5.53,5.49,225
41,2024-10-01,5.49,0.01,+0.18%,₱2.52M,458.80K,₱-1.44M,5.48,5.52,5.48,83
42,2024-09-30,5.48,-0.02,-0.36%,₱2.33M,426.70K,₱-598.54K,5.41,5.52,5.51,141
43,2024-09-27,5.5,0.10,+1.85%,₱4.73M,860.50K,₱-1.62M,5.45,5.52,5.5,143
44,2024-09-26,5.4,-0.06,-1.10%,₱10.85M,1.97M,₱-1.31M,5.4,5.56,5.46,239
45,2024-09-25,5.46,0.00,0.00%,₱4.03M,745.20K,₱-3.16M,5.38,5.48,5.45,200
46,2024-09-24,5.46,0.01,+0.18%,₱7.11M,1.30M,₱-1.97M,5.44,5.48,5.45,198
47,2024-09-23,5.45,0.03,+0.55%,₱4.94M,907.70K,₱-916.75K,5.4,5.46,5.42,145
48,2024-09-20,5.42,0.03,+0.56%,₱4.87M,899.20K,₱1.05M,5.36,5.44,5.4,128
49,2024-09-19,5.39,0.02,+0.37%,₱5.23M,971.60K,₱-950.78K,5.37,5.4,5.37,141
50,2024-09-18,5.37,0.05,+0.94%,₱2.48M,465.30K,₱-729.33K,5.32,5.37,5.36,105
51,2024-09-17,5.32,-0.03,-0.56%,₱2.59M,488.20K,₱-67.30K,5.2,5.36,5.36,107
52,2024-09-16,5.35,0.06,+1.13%,₱3.03M,568.00K,₱524.56K,5.29,5.35,5.29,92
53,2024-09-13,5.29,0.02,+0.38%,₱3.13M,592.20K,₱143.70K,5.27,5.3,5.27,89
54,2024-09-12,5.27,-0.08,-1.50%,₱2.21M,422.40K,₱-13.05K,5.18,5.27,5.18,146
55,2024-09-11,5.35,-0.08,-1.47%,₱38.82M,7.17M,₱2.26M,5.27,5.43,5.42,188
56,2024-09-10,5.43,0.02,+0.37%,₱6.42M,1.18M,₱1.35M,5.39,5.45,5.39,209
57,2024-09-09,5.41,0.26,+5.05%,₱17.72M,3.34M,₱-2.51M,5.16,5.43,5.16,428
58,2024-09-06,5.15,0.02,+0.39%,₱4.51M,876.90K,₱-1.53M,5.08,5.17,5.13,163
59,2024-09-05,5.13,0.08,+1.58%,₱5.41M,1.06M,₱-1.46M,5.05,5.13,5.05,182
60,2024-09-04,5.05,-0.03,-0.59%,₱8.34M,1.66M,₱2.24M,4.98,5.06,5.05,443
61,2024-09-03,5.08,0.03,+0.59%,₱3.07M,606.00K,₱-799.98K,5.04,5.1,5.05,115
62,2024-09-02,5.05,0.07,+1.41%,₱979.86K,194.00K,₱-490.37K,4.98,5.2,4.99,75
63,2024-08-30,4.98,-0.02,-0.40%,₱1.26M,253.60K,₱-447.38K,4.97,5.0,5.0,144
64,2024-08-29,5.0,0.00,0.00%,₱6.05M,1.21M,₱-4.21M,4.97,5.02,5.0,150
65,2024-08-28,5.0,0.03,+0.60%,₱2.48M,496.00K,₱-1.30M,4.96,5.0,4.98,50
66,2024-08-27,4.97,0.06,+1.22%,₱3.46M,699.00K,₱-1.57M,4.9,4.97,4.94,79
67,2024-08-22,4.91,0.01,+0.20%,₱1.37M,279.00K,₱-295.41K,4.9,4.93,4.9,48
68,2024-08-21,4.9,0.02,+0.41%,₱3.26M,665.00K,₱-994.75K,4.86,4.92,4.9,75
69,2024-08-20,4.88,0.01,+0.21%,₱3.36M,692.00K,₱729.03K,4.8,4.9,4.85,107
70,2024-08-19,4.87,0.07,+1.46%,₱1.89M,389.00K,₱-1.05M,4.8,4.88,4.82,80
71,2024-08-16,4.8,0.05,+1.05%,₱2.39M,499.00K,₱-1.21M,4.75,4.82,4.75,53
72,2024-08-15,4.75,-0.05,-1.04%,₱562.94K,118.00K,₱-247.24K,4.75,4.8,4.78,39
73,2024-08-14,4.8,0.00,0.00%,₱1.55M,322.00K,₱-515.08K,4.78,4.82,4.82,65
74,2024-08-13,4.8,0.00,0.00%,₱2.40M,500.00K,₱-1.64M,4.77,4.84,4.8,53
75,2024-08-12,4.8,0.10,+2.13%,₱982.41K,205.00K,₱-287.78K,4.75,4.8,4.75,40
76,2024-08-09,4.7,0.03,+0.64%,₱2.25M,479.00K,₱-1.69M,4.64,4.74,4.67,38
77,2024-08-08,4.67,-0.02,-0.43%,₱732.78K,155.00K,₱-318.65K,4.67,4.8,4.8,37
78,2024-08-07,4.69,0.00,0.00%,₱412.32K,88.00K,₱-140.80K,4.66,4.7,4.69,18
79,2024-08-06,4.69,-0.04,-0.85%,₱810.54K,173.00K,₱-417.08K,4.65,4.7,4.7,46
80,2024-08-05,4.73,-0.06,-1.25%,₱11.84M,2.51M,₱4.35M,4.71,4.8,4.8,159
81,2024-08-02,4.79,0.02,+0.42%,₱1.62M,339.00K,₱0,4.78,4.84,4.82,15
82,2024-08-01,4.77,0.00,0.00%,₱2.72M,568.00K,₱-2.24M,4.77,4.8,4.79,32
83,2024-07-31,4.77,0.00,0.00%,₱506.70K,107.00K,₱-37.77K,4.7,4.77,4.77,24
84,2024-07-30,4.77,-0.07,-1.45%,₱3.93M,817.00K,₱-183.31K,4.75,4.85,4.84,117
85,2024-07-29,4.84,0.10,+2.11%,₱2.31M,483.00K,₱-548.82K,4.74,4.9,4.78,97
86,2024-07-26,4.74,0.03,+0.64%,₱4.48M,946.00K,₱-1.33M,4.7,4.76,4.72,128
87,2024-07-25,4.71,-0.01,-0.21%,₱22.54M,4.79M,₱15.73M,4.66,4.72,4.7,126
88,2024-07-23,4.72,0.00,0.00%,₱1.88M,398.00K,₱428.43K,4.7,4.73,4.7,58
89,2024-07-22,4.72,0.03,+0.64%,₱2.52M,535.00K,₱378.06K,4.62,4.75,4.68,100
90,2024-07-19,4.69,0.01,+0.21%,₱3.47M,750.00K,₱577.59K,4.59,4.7,4.69,99
91,2024-07-18,4.68,-0.03,-0.64%,₱723.34K,154.00K,₱-183.18K,4.68,4.72,4.72,36
92,2024-07-17,4.71,0.09,+1.95%,₱4.50M,960.00K,₱-2.43M,4.62,4.71,4.68,126
93,2024-07-16,4.62,0.03,+0.65%,₱2.85M,618.00K,₱-1.45M,4.59,4.67,4.59,106
94,2024-07-15,4.59,0.01,+0.22%,₱2.98M,648.00K,₱-186.70K,4.59,4.65,4.59,84
95,2024-07-12,4.58,0.00,0.00%,₱2.90M,634.00K,₱-2.61M,4.57,4.6,4.58,149
96,2024-07-11,4.58,0.00,0.00%,₱1.78M,390.00K,₱-1.11M,4.55,4.64,4.58,120
97,2024-07-10,4.58,-0.05,-1.08%,₱2.27M,497.00K,₱-1.48M,4.54,4.67,4.66,146
98,2024-07-09,4.63,0.02,+0.43%,₱1.80M,390.00K,₱-957.66K,4.6,4.66,4.63,113
99,2024-07-08,4.61,0.06,+1.32%,₱970.97K,210.00K,₱-521.78K,4.6,4.65,4.61,80
100,2024-07-05,4.55,-0.04,-0.87%,₱17.94M,3.94M,₱322.58K,4.52,4.6,4.59,453
101,2024-07-04,4.59,0.01,+0.22%,₱4.41M,961.00K,₱-1.61M,4.56,4.63,4.59,129
102,2024-07-03,4.58,0.00,0.00%,₱1.92M,418.00K,₱-474.60K,4.56,4.65,4.58,95
103,2024-07-02,4.58,-0.02,-0.43%,₱4.10M,897.00K,₱-1.37M,4.55,4.66,4.6,189
104,2024-07-01,4.6,-0.02,-0.43%,₱4.11M,890.00K,₱-1.51M,4.59,4.66,4.66,156
105,2024-06-28,4.62,0.01,+0.22%,₱6.26M,1.36M,₱-3.05M,4.6,4.65,4.6,120
106,2024-06-27,4.61,-0.01,-0.22%,₱6.17M,1.34M,₱1.33M,4.6,4.62,4.62,94
107,2024-06-26,4.62,0.00,0.00%,₱3.36M,730.00K,₱-199.09K,4.6,4.65,4.65,95
108,2024-06-25,4.62,0.01,+0.22%,₱3.82M,827.00K,₱436.96K,4.61,4.64,4.63,125
109,2024-06-24,4.61,0.06,+1.32%,₱5.05M,1.10M,₱1.39M,4.55,4.64,4.55,100
110,2024-06-21,4.55,0.00,0.00%,₱2.00M,440.00K,₱-1.33M,4.52,4.59,4.58,69
111,2024-06-20,4.55,-0.03,-0.66%,₱511.59K,112.00K,₱-227.64K,4.55,4.59,4.58,31
112,2024-06-19,4.58,0.03,+0.66%,₱1.99M,434.00K,₱-67.76K,4.55,4.6,4.6,62
113,2024-06-18,4.55,-0.05,-1.09%,₱1.29M,283.00K,₱-887.93K,4.52,4.6,4.6,57
114,2024-06-14,4.6,0.01,+0.22%,₱2.86M,623.00K,₱-371.29K,4.57,4.61,4.6,73
115,2024-06-13,4.59,0.01,+0.22%,₱3.55M,775.00K,₱956.86K,4.53,4.6,4.54,123
116,2024-06-11,4.58,0.01,+0.22%,₱174.13K,38.00K,₱-63.98K,4.57,4.6,4.6,19
117,2024-06-10,4.57,0.05,+1.11%,₱7.26M,1.60M,₱4.46M,4.53,4.59,4.53,129
118,2024-06-07,4.52,-0.08,-1.74%,₱1.19M,261.00K,₱-685.84K,4.51,4.6,4.55,31
119,2024-06-06,4.6,0.05,+1.10%,₱175.05K,38.00K,₱-27.66K,4.53,4.69,4.69,15
120,2024-06-05,4.55,-0.03,-0.66%,₱3.93M,868.00K,₱-642.52K,4.51,4.58,4.58,99
121,2024-06-04,4.58,-0.02,-0.43%,₱2.44M,536.00K,₱120.36K,4.52,4.66,4.57,80
122,2024-06-03,4.6,0.00,0.00%,₱2.86M,628.00K,₱-2.28M,4.51,4.64,4.6,131
123,2024-05-31,4.6,-0.02,-0.43%,₱2.66M,578.00K,₱-385.97K,4.55,4.67,4.64,109
