,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,0.38,-0.0100,-2.56%,₱1.13M,3.04M,₱3.70K,0.37,0.38,0.375,15
1,2024-11-27,0.39,0.0000,0.00%,₱743.70K,1.92M,₱-116.60K,0.385,0.39,0.385,20
2,2024-11-26,0.39,0.0100,+2.63%,₱461.70K,1.20M,₱0,0.38,0.39,0.38,16
3,2024-11-25,0.38,0.0100,+2.70%,₱217.65K,580.00K,₱-15.20K,0.365,0.38,0.37,22
4,2024-11-22,0.37,0.0000,0.00%,₱135.35K,370.00K,₱3.70K,0.365,0.38,0.365,12
5,2024-11-21,0.37,-0.0050,-1.33%,₱371.65K,980.00K,₱0,0.37,0.38,0.375,15
6,2024-11-20,0.375,0.0000,0.00%,₱820.25K,2.17M,₱-22.50K,0.375,0.385,0.375,17
7,2024-11-19,0.375,0.0100,+2.74%,₱437.95K,1.15M,₱-7.60K,0.37,0.385,0.37,19
8,2024-11-18,0.365,0.0050,+1.39%,₱941.30K,2.58M,₱46.80K,0.355,0.385,0.36,30
9,2024-11-15,0.36,0.0200,+5.88%,₱241.95K,680.00K,₱96.90K,0.345,0.36,0.345,20
10,2024-11-14,0.34,-0.0350,-9.33%,₱2.97M,8.38M,₱42.10K,0.34,0.375,0.375,68
11,2024-11-13,0.375,0.0000,0.00%,₱245.85K,660.00K,₱81.40K,0.37,0.385,0.37,21
12,2024-11-12,0.375,0.0000,0.00%,₱97.50K,260.00K,₱3.75K,0.375,0.375,0.375,13
13,2024-11-11,0.375,0.0000,0.00%,₱116.85K,310.00K,₱56.25K,0.375,0.385,0.375,11
14,2024-11-08,0.375,0.0000,0.00%,₱229.05K,600.00K,₱18.65K,0.37,0.39,0.37,19
15,2024-11-07,0.375,-0.0050,-1.32%,₱529.15K,1.41M,₱60.00K,0.375,0.38,0.38,28
16,2024-11-06,0.38,-0.0100,-2.56%,₱728.25K,1.91M,₱3.90K,0.375,0.39,0.39,37
17,2024-11-05,0.39,0.0050,+1.30%,₱347.35K,890.00K,₱0,0.385,0.395,0.385,18
18,2024-11-04,0.385,0.0050,+1.32%,₱89.15K,230.00K,₱-7.80K,0.38,0.39,0.39,11
19,2024-10-31,0.38,-0.0050,-1.30%,₱1.51M,4.05M,₱22.35K,0.37,0.385,0.385,49
20,2024-10-30,0.385,0.0000,0.00%,₱484.30K,1.27M,₱-11.40K,0.38,0.395,0.395,18
21,2024-10-29,0.385,-0.0050,-1.28%,₱1.56M,4.00M,₱3.80K,0.38,0.4,0.39,39
22,2024-10-28,0.39,0.0050,+1.30%,₱1.25M,3.25M,₱54.10K,0.38,0.39,0.385,39
23,2024-10-25,0.385,0.0000,0.00%,₱188.75K,490.00K,₱-7.70K,0.385,0.395,0.385,10
24,2024-10-24,0.385,0.0000,0.00%,₱505.95K,1.31M,₱0,0.385,0.395,0.39,18
