,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,10.66,0.14,+1.33%,₱15.58M,1.47M,₱-308.14K,10.5,10.66,10.54,460
1,2024-11-28,10.52,0.00,0.00%,₱16.75M,1.60M,₱-4.95M,10.46,10.6,10.54,521
2,2024-11-27,10.52,-0.02,-0.19%,₱23.28M,2.21M,₱1.01M,10.46,10.66,10.66,403
3,2024-11-26,10.54,-0.18,-1.68%,₱33.43M,3.17M,₱-9.34M,10.46,10.7,10.7,757
4,2024-11-25,10.72,0.40,+3.88%,₱56.42M,5.38M,₱681.31K,10.32,10.72,10.32,828
5,2024-11-22,10.32,0.10,+0.98%,₱68.11M,6.61M,₱7.51M,10.24,10.46,10.24,778
6,2024-11-21,10.22,-0.20,-1.92%,₱73.87M,7.13M,₱-8.12M,10.22,10.7,10.48,964
7,2024-11-20,10.42,-0.18,-1.70%,₱74.32M,7.10M,₱8.65M,10.38,10.62,10.6,1.19K
8,2024-11-19,10.6,0.00,0.00%,₱31.22M,2.94M,₱-4.20M,10.54,10.88,10.64,1.07K
9,2024-11-18,10.6,-0.10,-0.93%,₱24.42M,2.29M,₱-9.88M,10.58,11.0,10.7,1.26K
10,2024-11-15,10.7,0.10,+0.94%,₱18.08M,1.68M,₱-1.88M,10.58,10.92,10.6,708
11,2024-11-14,10.6,-0.08,-0.75%,₱16.35M,1.53M,₱-2.49M,10.56,10.86,10.68,834
12,2024-11-13,10.68,-0.14,-1.29%,₱17.81M,1.65M,₱1.45M,10.68,10.9,10.88,595
13,2024-11-12,10.82,0.12,+1.12%,₱42.95M,3.96M,₱15.10M,10.7,10.9,10.7,432
14,2024-11-11,10.7,-0.50,-4.46%,₱50.15M,4.64M,₱-10.48M,10.7,11.2,11.2,1.20K
15,2024-11-08,11.2,0.20,+1.82%,₱10.45M,945.20K,₱1.15M,10.94,11.2,11.02,444
16,2024-11-07,11.0,-0.22,-1.96%,₱64.63M,5.87M,₱-809.62K,10.94,11.24,11.24,999
17,2024-11-06,11.22,0.02,+0.18%,₱9.23M,823.00K,₱-2.57M,11.18,11.26,11.2,424
18,2024-11-05,11.2,-0.02,-0.18%,₱11.70M,1.04M,₱-1.64M,11.18,11.26,11.22,424
19,2024-11-04,11.22,0.02,+0.18%,₱17.98M,1.60M,₱7.67M,11.2,11.26,11.2,498
20,2024-10-31,11.2,-0.02,-0.18%,₱18.54M,1.66M,₱2.82M,11.12,11.22,11.2,632
21,2024-10-30,11.22,0.02,+0.18%,₱34.96M,3.13M,₱-7.35M,11.02,11.22,11.18,643
22,2024-10-29,11.2,-0.34,-2.95%,₱35.67M,3.19M,₱-1.77M,11.12,11.22,11.18,1.10K
23,2024-10-28,11.54,0.00,0.00%,₱48.11M,4.18M,₱-1.60M,11.44,11.64,11.54,785
24,2024-10-25,11.54,0.24,+2.12%,₱18.68M,1.63M,₱-6.17M,11.38,11.58,11.4,536
25,2024-10-24,11.3,-0.40,-3.42%,₱65.84M,5.76M,₱-10.16M,11.3,11.68,11.68,1.21K
26,2024-10-23,11.7,-0.10,-0.85%,₱15.85M,1.35M,₱-7.34M,11.64,11.82,11.78,577
27,2024-10-22,11.8,0.06,+0.51%,₱23.32M,1.98M,₱2.17M,11.72,11.8,11.76,794
28,2024-10-21,11.74,-0.14,-1.18%,₱25.80M,2.19M,₱-9.08M,11.7,11.88,11.88,827
29,2024-10-18,11.88,0.00,0.00%,₱28.70M,2.42M,₱-11.89M,11.78,11.94,11.9,647
30,2024-10-17,11.88,-0.52,-4.19%,₱66.29M,5.55M,₱-13.53M,11.88,12.1,12.0,1.24K
31,2024-10-16,12.4,0.68,+5.80%,₱314.68M,25.54M,₱143.47M,11.78,12.4,11.82,986
32,2024-10-15,11.72,-0.12,-1.01%,₱80.98M,6.80M,₱-4.38M,11.72,12.02,11.86,1.40K
33,2024-10-14,11.84,0.08,+0.68%,₱32.51M,2.75M,₱-2.88M,11.76,11.88,11.8,849
34,2024-10-11,11.76,0.14,+1.20%,₱32.11M,2.73M,₱7.27M,11.64,11.86,11.64,774
35,2024-10-10,11.62,-0.22,-1.86%,₱30.18M,2.58M,₱4.78M,11.6,11.92,11.88,875
36,2024-10-09,11.84,-0.06,-0.50%,₱12.85M,1.08M,₱944.18K,11.8,11.92,11.92,488
37,2024-10-08,11.9,-0.08,-0.67%,₱20.66M,1.73M,₱7.65M,11.86,11.96,11.94,718
38,2024-10-07,11.98,0.44,+3.81%,₱97.56M,8.16M,₱62.59M,11.54,12.06,11.54,2.00K
39,2024-10-04,11.54,0.06,+0.52%,₱13.34M,1.16M,₱-313.47K,11.5,11.6,11.5,374
40,2024-10-03,11.48,0.10,+0.88%,₱19.25M,1.68M,₱-1.02M,11.38,11.52,11.4,498
41,2024-10-02,11.38,-0.12,-1.04%,₱41.18M,3.62M,₱-9.63M,11.26,11.5,11.46,1.07K
42,2024-10-01,11.5,0.00,0.00%,₱20.20M,1.76M,₱2.94M,11.46,11.56,11.5,727
43,2024-09-30,11.5,-0.10,-0.86%,₱32.66M,2.85M,₱-9.19M,11.32,11.74,11.6,953
44,2024-09-27,11.6,-0.10,-0.85%,₱30.65M,2.64M,₱-4.39M,11.52,11.7,11.7,944
45,2024-09-26,11.7,0.00,0.00%,₱33.62M,2.89M,₱-13.78M,11.58,11.76,11.68,1.11K
46,2024-09-25,11.7,0.00,0.00%,₱15.49M,1.32M,₱-4.80M,11.7,11.84,11.74,619
47,2024-09-24,11.7,-0.04,-0.34%,₱61.04M,5.16M,₱-10.40M,11.6,12.1,11.74,1.41K
48,2024-09-23,11.74,0.04,+0.34%,₱18.63M,1.58M,₱-2.79M,11.7,11.84,11.7,803
49,2024-09-20,11.7,-0.10,-0.85%,₱50.32M,4.29M,₱13.17M,11.66,11.92,11.8,896
50,2024-09-19,11.8,0.08,+0.68%,₱49.79M,4.22M,₱7.05M,11.7,11.86,11.7,829
51,2024-09-18,11.72,0.02,+0.17%,₱19.58M,1.66M,₱-748.79K,11.72,11.9,11.74,512
52,2024-09-17,11.7,-0.04,-0.34%,₱17.17M,1.46M,₱670.87K,11.7,11.9,11.78,485
53,2024-09-16,11.74,0.12,+1.03%,₱6.71M,570.30K,₱-1.53M,11.64,11.84,11.72,368
54,2024-09-13,11.62,-0.14,-1.19%,₱17.35M,1.48M,₱-1.42M,11.62,11.9,11.7,685
55,2024-09-12,11.76,0.32,+2.80%,₱31.19M,2.66M,₱9.61M,11.58,11.78,11.7,558
56,2024-09-11,11.44,-0.10,-0.87%,₱42.46M,3.70M,₱-1.02M,11.42,11.7,11.6,648
57,2024-09-10,11.54,0.00,0.00%,₱17.50M,1.51M,₱-6.13M,11.54,11.8,11.7,592
58,2024-09-09,11.54,-0.16,-1.37%,₱22.50M,1.92M,₱-3.66M,11.54,11.86,11.68,654
59,2024-09-06,11.7,0.14,+1.21%,₱17.94M,1.53M,₱614.16K,11.6,11.76,11.6,277
60,2024-09-05,11.56,-0.14,-1.20%,₱10.23M,878.00K,₱665.53K,11.52,11.8,11.7,294
61,2024-09-04,11.7,0.10,+0.86%,₱18.04M,1.56M,₱-2.49M,11.46,11.7,11.58,391
62,2024-09-03,11.6,-0.08,-0.68%,₱23.76M,2.05M,₱-189.99K,11.48,11.74,11.68,714
63,2024-09-02,11.68,-0.02,-0.17%,₱16.56M,1.42M,₱3.06M,11.6,11.74,11.7,440
64,2024-08-30,11.7,0.20,+1.74%,₱70.24M,6.01M,₱41.92M,11.46,11.82,11.5,791
65,2024-08-29,11.5,0.16,+1.41%,₱40.18M,3.50M,₱952.35K,11.34,11.58,11.4,616
66,2024-08-28,11.34,0.08,+0.71%,₱10.54M,929.70K,₱-3.62M,11.28,11.4,11.3,420
67,2024-08-27,11.26,0.16,+1.44%,₱37.53M,3.32M,₱-9.34M,11.1,11.46,11.1,1.06K
68,2024-08-22,11.1,0.00,0.00%,₱18.36M,1.63M,₱127.29K,11.1,11.36,11.24,754
69,2024-08-21,11.1,0.00,0.00%,₱25.56M,2.28M,₱-371.94K,11.1,11.3,11.1,883
70,2024-08-20,11.1,-0.38,-3.31%,₱53.62M,4.79M,₱9.17M,11.08,11.56,11.5,1.17K
71,2024-08-19,11.48,0.40,+3.61%,₱44.32M,3.89M,₱2.84M,11.14,11.48,11.14,800
72,2024-08-16,11.08,-0.02,-0.18%,₱17.51M,1.57M,₱1.00M,11.04,11.26,11.14,757
73,2024-08-15,11.1,0.02,+0.18%,₱14.05M,1.26M,₱-1.29M,11.0,11.24,11.1,534
74,2024-08-14,11.08,0.12,+1.09%,₱21.67M,1.97M,₱10.64M,10.9,11.1,11.0,527
75,2024-08-13,10.96,-0.04,-0.36%,₱21.32M,1.94M,₱-6.46M,10.92,11.04,11.04,478
76,2024-08-12,11.0,-0.08,-0.72%,₱14.12M,1.28M,₱-1.12M,10.98,11.1,11.08,344
77,2024-08-09,11.08,0.08,+0.73%,₱14.41M,1.31M,₱-3.07M,10.96,11.1,11.02,547
78,2024-08-08,11.0,-0.02,-0.18%,₱17.52M,1.59M,₱-4.72M,10.96,11.1,11.02,361
79,2024-08-07,11.02,-0.14,-1.25%,₱27.55M,2.51M,₱-4.19M,10.86,11.16,11.16,546
