,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,6.01,-0.13,-2.12%,₱10.48M,1.73M,₱3.67M,6.0,6.12,6.12,159
1,2024-11-27,6.14,0.05,+0.82%,₱2.32M,378.40K,₱851.90K,6.08,6.15,6.08,59
2,2024-11-26,6.09,0.09,+1.50%,₱1.69M,277.10K,₱529.85K,6.02,6.14,6.02,74
3,2024-11-25,6.0,-0.09,-1.48%,₱6.34M,1.05M,₱-1.67M,6.0,6.14,6.09,284
4,2024-11-22,6.09,-0.01,-0.16%,₱3.06M,502.20K,₱-3.07K,6.07,6.14,6.1,66
5,2024-11-21,6.1,-0.07,-1.13%,₱1.34M,218.60K,₱-22.49K,6.07,6.2,6.2,128
6,2024-11-20,6.17,0.00,0.00%,₱1.33M,213.80K,₱0,6.17,6.25,6.18,105
7,2024-11-19,6.17,0.04,+0.65%,₱1.48M,240.60K,₱-112.71K,6.13,6.18,6.13,146
8,2024-11-18,6.13,0.04,+0.66%,₱1.37M,224.60K,₱-800.23K,6.1,6.13,6.1,125
9,2024-11-15,6.09,0.09,+1.50%,₱1.08M,177.80K,₱-173.71K,6.0,6.09,6.0,109
10,2024-11-14,6.0,-0.05,-0.83%,₱18.59M,3.10M,₱-1.89M,5.98,6.07,6.07,303
11,2024-11-13,6.05,-0.09,-1.47%,₱6.07M,1.01M,₱29.55K,6.0,6.16,6.14,148
12,2024-11-12,6.14,0.01,+0.16%,₱968.22K,157.10K,₱75.39K,6.13,6.19,6.13,83
13,2024-11-11,6.13,0.08,+1.32%,₱1.25M,204.00K,₱-101.79K,6.05,6.15,6.05,97
14,2024-11-08,6.05,0.02,+0.33%,₱18.59M,3.07M,₱-412.86K,6.03,6.11,6.09,346
15,2024-11-07,6.03,-0.27,-4.29%,₱31.99M,5.27M,₱-14.19M,6.0,6.3,6.3,1.52K
16,2024-11-06,6.3,-0.05,-0.79%,₱2.11M,333.90K,₱-574.69K,6.28,6.46,6.35,154
17,2024-11-05,6.35,0.03,+0.47%,₱2.41M,377.70K,₱-765.19K,6.32,6.39,6.32,88
18,2024-11-04,6.32,0.07,+1.12%,₱12.27M,1.94M,₱-9.57M,6.22,6.37,6.27,582
19,2024-10-31,6.25,-0.08,-1.26%,₱15.64M,2.50M,₱-1.86M,6.25,6.35,6.28,249
20,2024-10-30,6.33,0.03,+0.48%,₱16.76M,2.65M,₱-4.99M,6.3,6.42,6.3,412
21,2024-10-29,6.3,-0.22,-3.37%,₱49.34M,7.64M,₱-29.32M,6.28,6.53,6.53,731
22,2024-10-28,6.52,-0.03,-0.46%,₱7.63M,1.17M,₱-5.65M,6.5,6.6,6.6,446
23,2024-10-25,6.55,-0.04,-0.61%,₱3.52M,536.80K,₱-2.87M,6.54,6.6,6.59,202
24,2024-10-24,6.59,-0.11,-1.64%,₱41.79M,6.26M,₱-6.79M,6.52,6.71,6.7,494
25,2024-10-23,6.7,-0.07,-1.03%,₱10.85M,1.62M,₱-5.93M,6.67,6.8,6.77,264
