,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,0.124,0.0020,+1.64%,₱3.66K,30.00K,₱0,0.121,0.124,0.121,2
1,2024-11-27,0.122,-0.0030,-2.40%,₱158.24K,1.28M,₱0,0.122,0.127,0.127,18
2,2024-11-26,0.125,0.0000,0.00%,₱25.00K,200.00K,₱0,0.125,0.125,0.125,2
3,2024-11-25,0.125,0.0000,0.00%,₱66.37K,530.00K,₱1.26K,0.125,0.132,0.132,10
4,2024-11-22,0.125,-0.0030,-2.34%,₱209.39K,1.66M,₱0,0.125,0.128,0.128,18
5,2024-11-21,0.128,-0.0010,-0.78%,₱181.48K,1.41M,₱0,0.128,0.129,0.129,5
6,2024-11-20,0.129,-0.0030,-2.27%,₱153.26K,1.18M,₱1.29K,0.129,0.133,0.133,6
7,2024-11-19,0.132,0.0000,0.00%,₱153.97K,1.15M,₱4.08K,0.132,0.136,0.136,20
8,2024-11-18,0.132,0.0020,+1.54%,₱107.55K,820.00K,₱0,0.13,0.135,0.13,11
9,2024-11-15,0.13,0.0000,0.00%,₱78.10K,600.00K,₱0,0.13,0.132,0.13,5
10,2024-11-14,0.13,-0.0010,-0.76%,₱193.40K,1.45M,₱0,0.13,0.136,0.136,10
11,2024-11-13,0.131,-0.0010,-0.76%,₱135.39K,1.04M,₱1.31K,0.129,0.131,0.131,7
12,2024-11-12,0.132,0.0000,0.00%,₱72.60K,550.00K,₱0,0.132,0.132,0.132,8
13,2024-11-11,0.132,-0.0020,-1.49%,₱887.04K,6.64M,₱-3.96K,0.131,0.139,0.133,30
14,2024-11-07,0.134,-0.0020,-1.47%,₱65.66K,490.00K,₱0,0.134,0.134,0.134,6
15,2024-11-06,0.136,-0.0020,-1.45%,₱136.67K,1.00M,₱0,0.136,0.138,0.138,8
16,2024-11-05,0.138,0.0030,+2.22%,₱6.82K,50.00K,₱0,0.136,0.138,0.136,2
17,2024-11-04,0.135,-0.0010,-0.74%,₱104.02K,760.00K,₱0,0.135,0.138,0.137,12
18,2024-10-30,0.136,0.0000,0.00%,₱172.22K,1.27M,₱0,0.134,0.136,0.136,13
19,2024-10-29,0.136,-0.0040,-2.86%,₱213.33K,1.55M,₱29.40K,0.136,0.14,0.14,17
20,2024-10-28,0.14,0.0000,0.00%,₱2.80K,20.00K,₱1.40K,0.14,0.14,0.14,2
21,2024-10-25,0.14,-0.0040,-2.78%,₱176.60K,1.26M,₱50.40K,0.14,0.142,0.142,20
22,2024-10-24,0.144,0.0030,+2.13%,₱1.44K,10.00K,₱0,0.144,0.144,0.144,1
23,2024-10-23,0.141,-0.0010,-0.70%,₱56.40K,400.00K,₱0,0.141,0.141,0.141,5
24,2024-10-22,0.142,0.0000,0.00%,₱58.22K,410.00K,₱0,0.142,0.142,0.142,7
25,2024-10-21,0.142,-0.0020,-1.39%,₱98.19K,690.00K,₱0,0.142,0.143,0.143,6
26,2024-10-18,0.144,-0.0010,-0.69%,₱91.09K,630.00K,₱0,0.144,0.146,0.145,15
27,2024-10-17,0.145,-0.0020,-1.36%,₱269.67K,1.85M,₱-1.48K,0.144,0.148,0.147,34
28,2024-10-16,0.147,0.0060,+4.26%,₱970.83K,6.72M,₱0,0.142,0.147,0.142,55
29,2024-10-15,0.141,-0.0010,-0.70%,₱57.71K,410.00K,₱0,0.14,0.141,0.14,3
30,2024-10-14,0.142,0.0020,+1.43%,₱29.85K,210.00K,₱0,0.142,0.143,0.143,2
31,2024-10-11,0.14,0.0000,0.00%,₱103.60K,740.00K,₱58.80K,0.14,0.14,0.14,11
32,2024-10-10,0.14,-0.0020,-1.41%,₱104.92K,740.00K,₱0,0.14,0.142,0.142,3
33,2024-10-09,0.142,0.0020,+1.43%,₱96.30K,680.00K,₱0,0.14,0.142,0.14,9
34,2024-10-08,0.14,-0.0020,-1.41%,₱309.10K,2.20M,₱140.00K,0.14,0.142,0.142,27
35,2024-10-07,0.142,0.0000,0.00%,₱15.54K,110.00K,₱0,0.14,0.142,0.14,3
36,2024-10-03,0.142,0.0010,+0.71%,₱35.60K,250.00K,₱0,0.142,0.143,0.142,7
37,2024-10-02,0.141,0.0000,0.00%,₱822.87K,6.02M,₱0,0.133,0.141,0.14,6
38,2024-10-01,0.141,0.0000,0.00%,₱86.28K,610.00K,₱0,0.141,0.144,0.144,10
39,2024-09-30,0.141,0.0000,0.00%,₱106.02K,750.00K,₱0,0.141,0.144,0.144,10
40,2024-09-27,0.141,0.0020,+1.44%,₱1.65M,11.74M,₱-1.39M,0.139,0.144,0.139,50
41,2024-09-26,0.139,-0.0010,-0.71%,₱79.44K,570.00K,₱0,0.139,0.14,0.14,4
42,2024-09-25,0.14,-0.0020,-1.41%,₱98.97K,700.00K,₱0,0.14,0.142,0.142,9
43,2024-09-24,0.142,-0.0020,-1.39%,₱178.81K,1.25M,₱-10.01K,0.142,0.145,0.144,15
44,2024-09-23,0.144,0.0020,+1.41%,₱142.63K,1.00M,₱0,0.139,0.144,0.141,17
45,2024-09-20,0.142,0.0030,+2.16%,₱256.01K,1.82M,₱0,0.139,0.142,0.139,20
46,2024-09-19,0.139,0.0040,+2.96%,₱125.10K,900.00K,₱0,0.135,0.141,0.135,22
47,2024-09-18,0.135,-0.0010,-0.74%,₱153.38K,1.14M,₱-134.51K,0.134,0.136,0.134,13
48,2024-09-17,0.136,-0.0010,-0.73%,₱1.07M,7.80M,₱413.88K,0.136,0.139,0.139,30
49,2024-09-16,0.137,-0.0020,-1.44%,₱49.52K,360.00K,₱0,0.136,0.139,0.139,7
50,2024-09-13,0.139,0.0000,0.00%,₱227.47K,1.69M,₱22.95K,0.134,0.139,0.134,15
51,2024-09-12,0.139,0.0010,+0.72%,₱2.61M,19.17M,₱-1.68M,0.132,0.143,0.139,67
52,2024-09-11,0.138,-0.0040,-2.82%,₱583.48K,4.21M,₱0,0.138,0.143,0.142,24
53,2024-09-10,0.142,0.0030,+2.16%,₱1.21M,8.62M,₱0,0.137,0.142,0.14,38
54,2024-09-09,0.139,-0.0090,-6.08%,₱352.87K,2.49M,₱0,0.137,0.147,0.147,40
55,2024-09-06,0.148,0.0010,+0.68%,₱61.27K,410.00K,₱0,0.146,0.153,0.153,11
56,2024-09-05,0.147,-0.0070,-4.55%,₱525.17K,3.51M,₱0,0.147,0.154,0.154,44
57,2024-09-04,0.154,0.0020,+1.32%,₱1.92M,12.52M,₱-39.78K,0.146,0.157,0.152,146
58,2024-09-03,0.152,0.0170,+12.59%,₱2.95M,20.49M,₱55.02K,0.135,0.152,0.135,163
59,2024-09-02,0.135,0.0030,+2.27%,₱29.19K,220.00K,₱-5.40K,0.132,0.135,0.132,4
60,2024-08-30,0.132,-0.0040,-2.94%,₱271.20K,2.01M,₱-2.72K,0.132,0.136,0.136,25
61,2024-08-29,0.136,0.0030,+2.26%,₱236.18K,1.75M,₱-8.14K,0.133,0.136,0.133,29
62,2024-08-28,0.133,0.0000,0.00%,₱126.31K,970.00K,₱2.60K,0.13,0.133,0.133,11
63,2024-08-27,0.133,0.0020,+1.53%,₱166.94K,1.28M,₱0,0.13,0.133,0.131,15
64,2024-08-22,0.131,0.0010,+0.77%,₱50.17K,380.00K,₱0,0.131,0.134,0.134,10
65,2024-08-21,0.13,-0.0040,-2.99%,₱619.03K,4.75M,₱0,0.13,0.132,0.132,14
66,2024-08-20,0.134,0.0030,+2.29%,₱114.79K,880.00K,₱0,0.13,0.134,0.131,9
67,2024-08-19,0.131,-0.0050,-3.68%,₱186.31K,1.41M,₱71.27K,0.131,0.137,0.137,14
68,2024-08-16,0.136,0.0060,+4.62%,₱11.91K,90.00K,₱0,0.13,0.136,0.13,4
69,2024-08-15,0.13,-0.0010,-0.76%,₱14.30K,110.00K,₱0,0.13,0.13,0.13,2
70,2024-08-14,0.131,0.0020,+1.55%,₱386.19K,3.05M,₱2.52K,0.126,0.134,0.129,29
71,2024-08-13,0.129,-0.0030,-2.27%,₱105.82K,820.00K,₱2.58K,0.129,0.13,0.129,6
72,2024-08-12,0.132,-0.0010,-0.75%,₱19.84K,150.00K,₱6.64K,0.132,0.133,0.133,4
73,2024-08-09,0.133,-0.0020,-1.48%,₱1.33K,10.00K,₱0,0.133,0.133,0.133,1
74,2024-08-08,0.135,-0.0020,-1.46%,₱43.20K,320.00K,₱0,0.135,0.135,0.135,4
75,2024-08-07,0.137,0.0050,+3.79%,₱12.30K,90.00K,₱0,0.134,0.138,0.138,4
76,2024-08-06,0.132,-0.0030,-2.22%,₱227.75K,1.72M,₱101.84K,0.129,0.135,0.135,11
77,2024-08-05,0.135,0.0000,0.00%,₱95.81K,710.00K,₱5.36K,0.134,0.135,0.134,7
78,2024-08-01,0.135,-0.0010,-0.74%,₱219.20K,1.62M,₱1.35K,0.135,0.136,0.135,17
79,2024-07-31,0.136,-0.0030,-2.16%,₱136.85K,1.00M,₱0,0.135,0.138,0.138,19
80,2024-07-30,0.139,-0.0010,-0.71%,₱35.14K,250.00K,₱8.36K,0.138,0.144,0.14,7
81,2024-07-26,0.14,-0.0020,-1.41%,₱45.42K,320.00K,₱0,0.14,0.142,0.142,4
82,2024-07-25,0.142,-0.0010,-0.70%,₱9.94K,70.00K,₱0,0.142,0.142,0.142,1
83,2024-07-22,0.143,0.0000,0.00%,₱52.91K,370.00K,₱0,0.143,0.143,0.143,9
84,2024-07-18,0.143,0.0000,0.00%,₱147.35K,1.03M,₱0,0.142,0.144,0.144,10
