,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,9.86,0.06,+0.61%,₱1.85M,187.40K,₱199.70K,9.74,9.89,9.88,48
1,2024-11-28,9.8,0.04,+0.41%,₱359.64K,36.50K,₱8.73K,9.7,9.88,9.7,24
2,2024-11-27,9.76,0.00,0.00%,₱612.56K,63.00K,₱25.27K,9.7,9.76,9.74,25
3,2024-11-26,9.76,0.00,0.00%,₱366.62K,37.70K,₱26.31K,9.7,9.76,9.76,27
4,2024-11-25,9.76,0.00,0.00%,₱801.64K,82.70K,₱34.15K,9.6,9.76,9.6,46
5,2024-11-22,9.76,0.02,+0.21%,₱579.19K,59.40K,₱21.47K,9.75,9.76,9.76,15
6,2024-11-21,9.74,-0.02,-0.20%,₱1.81M,188.70K,₱-1.43M,9.48,9.76,9.76,69
7,2024-11-20,9.76,-0.06,-0.61%,₱682.41K,69.80K,₱-420.83K,9.75,9.88,9.88,30
8,2024-11-19,9.82,0.02,+0.20%,₱656.97K,66.90K,₱982,9.8,9.88,9.8,32
9,2024-11-18,9.8,0.00,0.00%,₱698.19K,71.30K,₱0,9.7,9.8,9.8,23
10,2024-11-15,9.8,0.20,+2.08%,₱3.32M,339.60K,₱479.30K,9.69,9.85,9.69,40
11,2024-11-14,9.6,-0.20,-2.04%,₱934.53K,97.00K,₱208.09K,9.5,9.94,9.94,56
12,2024-11-13,9.8,-0.08,-0.81%,₱2.47M,251.30K,₱1.35M,9.77,9.91,9.88,81
13,2024-11-12,9.88,-0.03,-0.30%,₱1.10M,111.40K,₱874.26K,9.88,9.96,9.95,45
14,2024-11-11,9.91,0.00,0.00%,₱1.74M,176.90K,₱508.95K,9.82,9.92,9.83,98
15,2024-11-08,9.91,-0.03,-0.30%,₱1.93M,195.30K,₱587.16K,9.78,10.0,9.9,59
16,2024-11-07,9.94,-0.18,-1.78%,₱3.95M,395.70K,₱2.72M,9.88,10.12,10.12,133
17,2024-11-06,10.12,-0.08,-0.78%,₱8.28M,820.90K,₱-1.49M,10.0,10.26,10.26,138
18,2024-11-05,10.2,0.02,+0.20%,₱2.23M,218.00K,₱598.50K,10.2,10.3,10.2,65
19,2024-11-04,10.18,0.02,+0.20%,₱3.39M,333.60K,₱951.85K,10.1,10.2,10.2,124
20,2024-10-31,10.16,-0.08,-0.78%,₱4.30M,423.70K,₱566.21K,10.0,10.24,10.24,133
21,2024-10-30,10.24,0.37,+3.75%,₱10.78M,1.06M,₱1.78M,9.8,10.42,9.87,227
22,2024-10-29,9.87,-0.15,-1.50%,₱14.03M,1.44M,₱-3.36M,9.46,10.16,10.02,224
23,2024-10-28,10.02,0.07,+0.70%,₱2.39M,238.70K,₱-449.20K,9.94,10.04,9.94,64
24,2024-10-25,9.95,-0.15,-1.49%,₱447.44K,45.30K,₱-22.00K,9.84,10.0,10.0,19
25,2024-10-24,10.1,0.02,+0.20%,₱1.78M,179.90K,₱-17.25K,9.83,10.1,10.0,85
26,2024-10-23,10.08,-0.06,-0.59%,₱2.06M,205.70K,₱-20.03K,9.9,10.14,10.14,61
27,2024-10-22,10.14,0.04,+0.40%,₱7.84M,773.80K,₱-192.70K,10.08,10.22,10.1,143
28,2024-10-21,10.1,-0.06,-0.59%,₱6.17M,610.90K,₱-405.60K,10.02,10.26,10.16,160
29,2024-10-18,10.16,0.36,+3.67%,₱32.04M,3.18M,₱2.55M,9.82,10.22,9.82,561
30,2024-10-17,9.8,0.01,+0.10%,₱4.15M,423.20K,₱1.20M,9.78,9.8,9.8,143
31,2024-10-16,9.79,-0.01,-0.10%,₱1.46M,150.20K,₱379.16K,9.7,9.8,9.8,86
32,2024-10-15,9.8,0.10,+1.03%,₱1.21M,124.30K,₱591.48K,9.63,9.8,9.7,78
33,2024-10-14,9.7,0.01,+0.10%,₱2.94M,303.70K,₱1.96M,9.6,9.88,9.6,114
34,2024-10-11,9.69,-0.10,-1.02%,₱3.99M,413.40K,₱604.55K,9.5,9.8,9.8,130
35,2024-10-10,9.79,0.09,+0.93%,₱1.83M,187.10K,₱1.33M,9.7,9.8,9.7,93
36,2024-10-09,9.7,-0.18,-1.82%,₱5.45M,556.60K,₱1.92M,9.6,9.95,9.88,120
37,2024-10-08,9.88,-0.02,-0.20%,₱12.85M,1.30M,₱554.11K,9.86,10.0,9.86,150
38,2024-10-07,9.9,0.10,+1.02%,₱9.73M,984.10K,₱2.19M,9.75,10.02,9.8,267
39,2024-10-04,9.8,0.05,+0.51%,₱3.07M,313.30K,₱402.91K,9.75,9.84,9.75,72
40,2024-10-03,9.75,-0.07,-0.71%,₱3.68M,378.10K,₱1.32M,9.66,9.85,9.85,95
41,2024-10-02,9.82,-0.02,-0.20%,₱2.97M,302.30K,₱1.62M,9.7,9.89,9.84,102
42,2024-10-01,9.84,0.08,+0.82%,₱1.56M,160.00K,₱138.59K,9.66,9.9,9.76,66
