,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,16.96,-0.10,-0.59%,₱1.16M,68.40K,₱62.89K,16.92,17.24,17.24,73
1,2024-11-27,17.06,-0.22,-1.27%,₱1.29M,75.50K,₱185.51K,17.02,17.26,17.02,68
2,2024-11-26,17.28,0.26,+1.53%,₱960.02K,55.50K,₱475.71K,17.02,17.4,17.24,76
3,2024-11-25,17.02,0.06,+0.35%,₱8.52M,500.70K,₱-5.36M,16.96,17.44,17.0,163
4,2024-11-22,16.96,-0.06,-0.35%,₱4.26M,250.40K,₱-292.04K,16.92,17.2,17.1,193
5,2024-11-21,17.02,-0.16,-0.93%,₱2.34M,135.40K,₱-951.44K,17.0,17.5,17.18,160
6,2024-11-20,17.18,0.00,0.00%,₱895.14K,51.90K,₱-449.20K,17.06,17.5,17.42,88
7,2024-11-19,17.18,-0.34,-1.94%,₱3.75M,217.30K,₱-1.32M,17.0,17.84,17.84,190
8,2024-11-18,17.52,0.56,+3.30%,₱1.02M,58.90K,₱-546.30K,16.96,17.84,16.96,160
9,2024-11-15,16.96,0.38,+2.29%,₱11.18M,659.70K,₱-1.79M,16.5,17.0,16.88,305
10,2024-11-14,16.58,-0.42,-2.47%,₱5.89M,349.40K,₱-1.65M,16.5,17.42,17.12,311
11,2024-11-13,17.0,-0.70,-3.95%,₱10.50M,601.70K,₱3.45M,17.0,17.98,17.6,268
12,2024-11-12,17.7,-0.24,-1.34%,₱4.72M,266.30K,₱-1.28M,17.52,18.02,17.94,180
13,2024-11-11,17.94,-0.06,-0.33%,₱3.73M,207.40K,₱-1.15M,17.8,18.04,18.0,128
14,2024-11-08,18.0,0.26,+1.47%,₱2.73M,153.40K,₱-1.28M,17.5,18.02,17.84,135
15,2024-11-07,17.74,-0.30,-1.66%,₱7.43M,419.20K,₱-2.41M,17.4,18.04,18.04,320
16,2024-11-06,18.04,-0.04,-0.22%,₱843.90K,46.80K,₱-124.24K,18.0,18.1,18.1,58
17,2024-11-05,18.08,0.04,+0.22%,₱4.84M,267.90K,₱-2.50M,17.98,18.1,18.1,119
18,2024-11-04,18.04,0.02,+0.11%,₱3.88M,215.00K,₱-2.51M,18.0,18.12,18.12,221
19,2024-10-31,18.02,0.04,+0.22%,₱15.05M,835.30K,₱-13.10M,17.96,18.06,18.02,280
20,2024-10-30,17.98,-0.10,-0.55%,₱7.86M,436.50K,₱-4.30M,17.88,18.12,18.08,438
