,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,2100.0,0.00,0.00%,₱100.91M,47.88K,₱32.23M,2092.0,2128.0,2100.0,810
1,2024-11-28,2100.0,-16.00,-0.76%,₱41.17M,19.60K,₱19.43M,2094.0,2118.0,2116.0,257
2,2024-11-27,2116.0,16.00,+0.76%,₱102.89M,49.00K,₱23.23M,2072.0,2118.0,2100.0,671
3,2024-11-26,2100.0,0.00,0.00%,₱81.24M,38.70K,₱13.41M,2062.0,2106.0,2100.0,869
4,2024-11-25,2100.0,0.00,0.00%,₱70.27M,33.91K,₱-11.99M,2050.0,2100.0,2050.0,903
5,2024-11-22,2100.0,0.00,0.00%,₱72.63M,35.21K,₱6.06M,2038.0,2100.0,2098.0,1.36K
6,2024-11-21,2100.0,-60.00,-2.78%,₱95.80M,45.56K,₱-8.40M,2086.0,2132.0,2120.0,1.14K
7,2024-11-20,2160.0,26.00,+1.22%,₱126.78M,59.61K,₱34.17M,2080.0,2160.0,2124.0,856
8,2024-11-19,2134.0,46.00,+2.20%,₱61.57M,29.05K,₱13.47M,2082.0,2136.0,2088.0,592
9,2024-11-18,2088.0,-30.00,-1.42%,₱105.31M,50.66K,₱-43.78M,2062.0,2118.0,2118.0,1.51K
10,2024-11-15,2118.0,58.00,+2.82%,₱122.93M,58.79K,₱4.39M,2040.0,2118.0,2048.0,865
11,2024-11-14,2060.0,0.00,0.00%,₱32.07M,15.48K,₱-717.14K,2042.0,2100.0,2060.0,539
12,2024-11-13,2060.0,-30.00,-1.44%,₱96.11M,46.73K,₱-21.44M,2040.0,2106.0,2090.0,1.77K
13,2024-11-12,2090.0,-44.00,-2.06%,₱76.42M,36.52K,₱-14.55M,2058.0,2144.0,2138.0,1.02K
14,2024-11-11,2134.0,-46.00,-2.11%,₱47.74M,22.29K,₱-12.92M,2130.0,2178.0,2178.0,629
15,2024-11-08,2180.0,38.00,+1.77%,₱74.88M,34.45K,₱-25.23M,2142.0,2180.0,2142.0,949
16,2024-11-07,2142.0,-44.00,-2.01%,₱82.57M,38.62K,₱-19.27M,2120.0,2186.0,2186.0,1.11K
17,2024-11-06,2186.0,18.00,+0.83%,₱76.05M,34.85K,₱11.37M,2160.0,2200.0,2168.0,968
18,2024-11-05,2168.0,22.00,+1.03%,₱143.60M,66.44K,₱-8.78M,2138.0,2180.0,2146.0,1.29K
19,2024-11-04,2146.0,0.00,0.00%,₱45.07M,21.16K,₱5.09M,2100.0,2180.0,2146.0,654
20,2024-10-31,2146.0,-20.00,-0.92%,₱116.19M,53.77K,₱-12.27M,2140.0,2186.0,2168.0,1.03K
21,2024-10-30,2166.0,66.00,+3.14%,₱265.62M,123.33K,₱68.64M,2112.0,2178.0,2126.0,3.27K
22,2024-10-29,2100.0,-166.00,-7.33%,₱919.25M,430.88K,₱-245.43M,2080.0,2266.0,2266.0,5.37K
23,2024-10-28,2266.0,-8.00,-0.35%,₱89.34M,39.48K,₱-42.25M,2232.0,2298.0,2276.0,906
24,2024-10-25,2274.0,14.00,+0.62%,₱97.69M,42.83K,₱26.18M,2254.0,2312.0,2260.0,1.05K
25,2024-10-24,2260.0,-50.00,-2.16%,₱112.23M,49.41K,₱-28.60M,2254.0,2312.0,2302.0,1.37K
26,2024-10-23,2310.0,-80.00,-3.35%,₱210.93M,90.27K,₱-50.35M,2310.0,2388.0,2388.0,1.53K
27,2024-10-22,2390.0,-24.00,-0.99%,₱149.19M,62.31K,₱-27.53M,2380.0,2414.0,2414.0,1.08K
28,2024-10-21,2414.0,-6.00,-0.25%,₱26.01M,10.74K,₱-3.59M,2408.0,2444.0,2420.0,270
29,2024-10-18,2420.0,-10.00,-0.41%,₱64.29M,26.51K,₱22.63M,2416.0,2448.0,2430.0,371
30,2024-10-17,2430.0,10.00,+0.41%,₱139.32M,57.66K,₱21.49M,2400.0,2438.0,2406.0,822
31,2024-10-16,2420.0,-30.00,-1.22%,₱203.08M,84.00K,₱60.89M,2408.0,2460.0,2450.0,872
32,2024-10-15,2450.0,44.00,+1.83%,₱94.66M,38.79K,₱31.79M,2410.0,2450.0,2410.0,853
33,2024-10-14,2406.0,-14.00,-0.58%,₱88.78M,36.64K,₱12.47M,2400.0,2464.0,2420.0,1.24K
34,2024-10-11,2420.0,30.00,+1.26%,₱132.92M,55.31K,₱38.88M,2368.0,2432.0,2380.0,1.60K
35,2024-10-10,2390.0,-30.00,-1.24%,₱65.34M,27.15K,₱26.49M,2390.0,2430.0,2420.0,702
36,2024-10-09,2420.0,-40.00,-1.63%,₱81.67M,33.71K,₱37.33M,2416.0,2460.0,2460.0,665
37,2024-10-08,2460.0,0.00,0.00%,₱68.70M,28.01K,₱21.52M,2430.0,2470.0,2450.0,557
38,2024-10-07,2460.0,60.00,+2.50%,₱314.70M,128.13K,₱157.03M,2400.0,2472.0,2400.0,1.92K
39,2024-10-04,2400.0,-4.00,-0.17%,₱122.01M,50.85K,₱38.77M,2366.0,2412.0,2404.0,618
40,2024-10-03,2404.0,-26.00,-1.07%,₱136.46M,56.76K,₱66.92M,2394.0,2424.0,2400.0,716
41,2024-10-02,2430.0,30.00,+1.25%,₱435.95M,179.49K,₱134.72M,2390.0,2448.0,2390.0,1.83K
42,2024-10-01,2400.0,126.00,+5.54%,₱628.68M,263.63K,₱219.28M,2276.0,2420.0,2276.0,2.62K
43,2024-09-30,2274.0,16.00,+0.71%,₱81.59M,35.91K,₱34.84M,2242.0,2294.0,2258.0,1.02K
44,2024-09-27,2258.0,38.00,+1.71%,₱73.82M,32.84K,₱33.36M,2220.0,2278.0,2220.0,928
45,2024-09-26,2220.0,-2.00,-0.09%,₱90.69M,40.70K,₱23.98M,2212.0,2244.0,2226.0,924
46,2024-09-25,2222.0,-38.00,-1.68%,₱87.60M,39.17K,₱19.57M,2222.0,2290.0,2290.0,848
47,2024-09-24,2260.0,-32.00,-1.40%,₱73.22M,32.16K,₱11.65M,2260.0,2292.0,2292.0,535
48,2024-09-23,2292.0,2.00,+0.09%,₱102.51M,44.99K,₱11.50M,2256.0,2292.0,2260.0,985
49,2024-09-20,2290.0,-2.00,-0.09%,₱94.31M,41.20K,₱6.13M,2270.0,2302.0,2296.0,415
50,2024-09-19,2292.0,52.00,+2.32%,₱215.56M,94.31K,₱93.80M,2230.0,2330.0,2230.0,1.56K
51,2024-09-18,2240.0,-36.00,-1.58%,₱39.04M,17.36K,₱-8.17M,2240.0,2278.0,2278.0,300
52,2024-09-17,2276.0,66.00,+2.99%,₱104.32M,46.32K,₱17.59M,2204.0,2280.0,2210.0,852
53,2024-09-16,2210.0,0.00,0.00%,₱35.70M,16.20K,₱4.32M,2188.0,2210.0,2210.0,367
54,2024-09-13,2210.0,8.00,+0.36%,₱49.28M,22.28K,₱-17.05M,2202.0,2226.0,2208.0,344
55,2024-09-12,2202.0,-34.00,-1.52%,₱179.22M,81.09K,₱-88.40M,2202.0,2236.0,2230.0,1.29K
56,2024-09-11,2236.0,-8.00,-0.36%,₱51.19M,22.87K,₱6.75M,2230.0,2246.0,2244.0,320
57,2024-09-10,2244.0,34.00,+1.54%,₱143.71M,64.13K,₱-19.70M,2200.0,2260.0,2220.0,1.01K
58,2024-09-09,2210.0,-8.00,-0.36%,₱83.13M,37.45K,₱-21.05M,2200.0,2234.0,2200.0,810
59,2024-09-06,2218.0,-16.00,-0.72%,₱64.33M,29.00K,₱-306.68K,2206.0,2234.0,2234.0,405
60,2024-09-05,2234.0,6.00,+0.27%,₱71.59M,32.29K,₱12.33M,2196.0,2234.0,2228.0,441
61,2024-09-04,2228.0,-4.00,-0.18%,₱35.84M,16.25K,₱-2.09M,2178.0,2228.0,2212.0,248
62,2024-09-03,2232.0,8.00,+0.36%,₱167.23M,75.05K,₱-25.06M,2212.0,2238.0,2224.0,650
63,2024-09-02,2224.0,24.00,+1.09%,₱23.20M,10.46K,₱4.59M,2192.0,2242.0,2200.0,310
64,2024-08-30,2200.0,-38.00,-1.70%,₱184.75M,83.80K,₱53.36M,2192.0,2242.0,2230.0,1.26K
65,2024-08-29,2238.0,-20.00,-0.89%,₱91.09M,40.56K,₱36.45M,2230.0,2260.0,2258.0,754
66,2024-08-28,2258.0,6.00,+0.27%,₱55.87M,24.80K,₱13.95M,2230.0,2280.0,2260.0,838
