,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,640.0,-19.00,-2.88%,₱50.27M,78.50K,₱-2.58M,635.5,655.0,655.0,612
1,2024-11-27,659.0,-2.50,-0.38%,₱14.62M,22.19K,₱-4.33M,650.0,672.0,668.0,226
2,2024-11-26,661.5,-2.50,-0.38%,₱21.20M,32.01K,₱2.22M,661.0,673.5,664.0,254
3,2024-11-25,664.0,0.00,0.00%,₱85.82M,129.13K,₱9.37M,662.5,675.5,664.0,283
4,2024-11-22,664.0,0.00,0.00%,₱41.93M,63.23K,₱8.36M,655.0,670.0,657.5,329
5,2024-11-21,664.0,9.00,+1.37%,₱70.87M,106.93K,₱27.79M,650.5,668.5,655.0,724
6,2024-11-20,655.0,1.00,+0.15%,₱135.48M,206.88K,₱1.89M,649.0,658.0,655.0,1.03K
7,2024-11-19,654.0,14.00,+2.19%,₱133.44M,204.85K,₱28.68M,639.5,654.0,640.0,841
8,2024-11-18,640.0,25.00,+4.07%,₱171.82M,269.50K,₱60.30M,615.0,648.5,615.0,1.11K
9,2024-11-15,615.0,-14.50,-2.30%,₱217.22M,349.99K,₱-18.33M,608.0,640.0,630.0,980
10,2024-11-14,629.5,-20.50,-3.15%,₱54.20M,85.46K,₱-19.54M,621.0,660.0,650.0,721
11,2024-11-13,650.0,-20.00,-2.99%,₱136.37M,208.80K,₱-78.16M,645.0,668.0,668.0,692
12,2024-11-12,670.0,-19.00,-2.76%,₱73.44M,109.65K,₱9.47M,662.0,688.0,688.0,657
13,2024-11-11,689.0,12.00,+1.77%,₱40.39M,58.96K,₱9.99M,670.0,689.5,672.0,674
14,2024-11-08,677.0,-11.00,-1.60%,₱79.88M,117.67K,₱-48.81M,673.0,686.0,686.0,822
15,2024-11-07,688.0,-25.00,-3.51%,₱114.59M,167.06K,₱-46.67M,675.0,713.0,713.0,1.24K
16,2024-11-06,713.0,-3.00,-0.42%,₱77.07M,108.63K,₱-7.02M,701.0,721.5,711.5,571
17,2024-11-05,716.0,-4.00,-0.56%,₱20.41M,28.38K,₱-6.37M,710.0,726.0,720.0,381
18,2024-11-04,720.0,0.00,0.00%,₱68.92M,95.75K,₱10.72M,705.0,723.5,705.0,534
19,2024-10-31,720.0,19.00,+2.71%,₱133.74M,186.34K,₱42.51M,700.0,720.0,703.0,969
