,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,385.0,0.00,0.00%,₱1.14B,3.00M,₱-577.62M,373.0,385.0,381.6,6.39K
1,2024-11-27,385.0,-5.00,-1.28%,₱568.80M,1.48M,₱-182.32M,380.6,395.0,395.0,5.97K
2,2024-11-26,390.0,-25.00,-6.02%,₱606.93M,1.54M,₱-340.59M,390.0,409.0,409.0,6.56K
3,2024-11-25,415.0,18.00,+4.53%,₱1.13B,2.75M,₱120.92M,394.0,415.0,404.0,3.26K
4,2024-11-22,397.0,-11.00,-2.70%,₱144.86M,365.60K,₱-40.97M,390.2,403.4,397.6,1.78K
5,2024-11-21,408.0,9.00,+2.26%,₱554.87M,1.36M,₱32.95M,395.0,414.6,399.0,4.51K
6,2024-11-20,399.0,5.20,+1.32%,₱410.65M,1.04M,₱-10.07M,390.0,399.0,397.0,3.71K
7,2024-11-19,393.8,10.80,+2.82%,₱433.92M,1.10M,₱-33.58M,383.0,398.6,383.0,4.36K
8,2024-11-18,383.0,0.00,0.00%,₱414.44M,1.08M,₱-125.10M,378.2,390.0,386.0,3.09K
9,2024-11-15,383.0,3.00,+0.79%,₱442.27M,1.15M,₱18.44M,375.0,387.0,375.0,3.96K
10,2024-11-14,380.0,2.00,+0.53%,₱668.54M,1.76M,₱-205.91M,370.0,383.6,377.0,3.99K
11,2024-11-13,378.0,-2.20,-0.58%,₱899.47M,2.37M,₱-148.08M,378.0,385.6,380.2,3.61K
12,2024-11-12,380.2,-9.80,-2.51%,₱425.23M,1.11M,₱-55.41M,380.2,392.4,388.6,3.99K
13,2024-11-11,390.0,-2.60,-0.66%,₱365.69M,940.67K,₱51.23M,381.2,391.4,387.0,2.40K
14,2024-11-08,392.6,-7.40,-1.85%,₱319.01M,816.00K,₱-64.25M,387.0,395.0,395.0,4.49K
15,2024-11-07,400.0,4.80,+1.21%,₱3.09B,8.12M,₱-2.00B,366.0,400.0,398.0,10.85K
16,2024-11-06,395.2,-13.80,-3.37%,₱706.98M,1.76M,₱-254.00M,395.2,411.8,409.0,5.54K
17,2024-11-05,409.0,4.00,+0.99%,₱258.02M,635.77K,₱-52.08M,401.2,409.6,402.0,3.04K
18,2024-11-04,405.0,9.00,+2.27%,₱315.26M,784.54K,₱-3.83M,396.0,405.0,396.0,4.05K
19,2024-10-31,396.0,-19.00,-4.58%,₱758.71M,1.89M,₱-265.30M,396.0,410.4,410.0,5.90K
20,2024-10-30,415.0,2.00,+0.48%,₱775.15M,1.88M,₱31.91M,404.4,415.0,409.0,7.08K
21,2024-10-29,413.0,-0.80,-0.19%,₱421.27M,1.02M,₱-26.65M,408.2,414.0,413.8,3.42K
22,2024-10-28,413.8,1.00,+0.24%,₱252.26M,611.20K,₱973.86K,407.2,414.0,408.0,2.67K
23,2024-10-25,412.8,3.80,+0.93%,₱170.85M,416.51K,₱24.05M,406.0,412.8,406.0,1.88K
24,2024-10-24,409.0,2.00,+0.49%,₱160.32M,392.16K,₱-17.85M,405.4,410.2,408.0,2.05K
25,2024-10-23,407.0,-10.40,-2.49%,₱357.33M,876.52K,₱-24.24M,405.4,416.8,415.4,2.73K
26,2024-10-22,417.4,9.00,+2.20%,₱287.78M,692.73K,₱74.89M,410.0,417.4,412.0,4.15K
27,2024-10-21,408.4,-0.60,-0.15%,₱250.46M,614.42K,₱-12.57M,403.4,414.0,406.0,3.47K
28,2024-10-18,409.0,0.60,+0.15%,₱587.63M,1.45M,₱-42.89M,402.0,412.0,409.0,4.34K
29,2024-10-17,408.4,1.40,+0.34%,₱439.81M,1.06M,₱35.90M,408.4,415.4,412.6,4.35K
30,2024-10-16,407.0,-1.40,-0.34%,₱277.63M,680.46K,₱-49.78M,407.0,413.4,408.4,2.33K
31,2024-10-15,408.4,6.40,+1.59%,₱701.33M,1.72M,₱-74.91M,404.6,409.8,405.0,5.80K
32,2024-10-14,402.0,-5.80,-1.42%,₱315.04M,774.72K,₱-112.90M,402.0,413.0,407.0,3.62K
33,2024-10-11,407.8,-12.60,-3.00%,₱488.74M,1.20M,₱-81.78M,404.2,418.6,418.0,4.52K
34,2024-10-10,420.4,-9.40,-2.19%,₱669.01M,1.59M,₱-115.12M,416.0,425.0,416.0,4.19K
35,2024-10-09,429.8,-8.20,-1.87%,₱509.52M,1.18M,₱-15.12M,429.8,438.0,435.8,5.63K
36,2024-10-08,438.0,9.00,+2.10%,₱523.32M,1.20M,₱149.28M,425.6,438.0,429.0,3.32K
37,2024-10-07,429.0,9.00,+2.14%,₱518.92M,1.19M,₱124.37M,417.0,446.0,417.0,4.88K
38,2024-10-04,420.0,8.00,+1.94%,₱488.14M,1.17M,₱75.64M,410.8,420.0,412.0,6.02K
39,2024-10-03,412.0,-4.20,-1.01%,₱550.32M,1.32M,₱-5.13M,412.0,422.0,417.0,4.08K
40,2024-10-02,416.2,11.80,+2.92%,₱450.00M,1.09M,₱119.19M,401.0,419.2,402.0,2.71K
41,2024-10-01,404.4,0.40,+0.10%,₱573.78M,1.42M,₱1.71M,401.0,407.6,401.0,2.24K
42,2024-09-30,404.0,-6.00,-1.46%,₱777.98M,1.92M,₱5.21M,402.8,410.8,408.2,5.07K
43,2024-09-27,410.0,0.00,0.00%,₱750.80M,1.86M,₱-22.33M,397.2,410.0,397.8,6.88K
44,2024-09-26,410.0,0.00,0.00%,₱735.21M,1.79M,₱-31.13M,408.0,411.0,410.0,6.96K
45,2024-09-25,410.0,-3.00,-0.73%,₱743.85M,1.81M,₱43.96M,408.6,417.0,413.2,7.47K
46,2024-09-24,413.0,-1.00,-0.24%,₱646.06M,1.57M,₱95.13M,407.2,416.4,414.0,4.40K
47,2024-09-23,414.0,10.60,+2.63%,₱637.89M,1.54M,₱128.56M,403.8,417.2,403.8,3.71K
48,2024-09-20,403.4,0.60,+0.15%,₱913.17M,2.26M,₱-43.40M,402.0,408.0,403.2,6.39K
49,2024-09-19,402.8,-1.20,-0.30%,₱765.40M,1.90M,₱60.37M,400.4,408.8,404.0,4.14K
50,2024-09-18,404.0,-1.00,-0.25%,₱688.38M,1.70M,₱-28.76M,401.0,408.6,404.8,3.65K
51,2024-09-17,405.0,-8.40,-2.03%,₱725.24M,1.79M,₱-173.37M,404.0,411.6,409.0,2.54K
52,2024-09-16,413.4,2.40,+0.58%,₱397.85M,962.81K,₱9.58M,410.6,414.8,411.0,2.90K
53,2024-09-13,411.0,-7.60,-1.82%,₱612.16M,1.48M,₱-75.80M,411.0,422.0,418.6,2.75K
54,2024-09-12,418.6,11.40,+2.80%,₱451.62M,1.08M,₱131.37M,408.2,419.4,415.0,2.39K
55,2024-09-11,407.2,0.20,+0.05%,₱407.03M,990.32K,₱111.38M,407.0,416.2,408.0,2.45K
56,2024-09-10,407.0,5.00,+1.24%,₱632.07M,1.54M,₱198.54M,402.6,419.8,402.6,5.33K
