,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,261.2,-10.60,-3.90%,₱131.19M,498.44K,₱17.06M,260.4,271.8,271.8,1.52K
1,2024-11-27,271.8,0.20,+0.07%,₱68.96M,255.10K,₱16.07M,268.0,271.8,270.0,1.51K
2,2024-11-26,271.6,-4.00,-1.45%,₱53.11M,195.77K,₱8.38M,268.0,274.0,274.0,1.23K
3,2024-11-25,275.6,10.60,+4.00%,₱213.71M,780.36K,₱57.12M,263.2,275.6,265.0,2.09K
4,2024-11-22,265.0,-4.40,-1.63%,₱119.81M,452.18K,₱6.52M,263.2,270.0,270.0,2.63K
5,2024-11-21,269.4,-4.60,-1.68%,₱146.68M,547.90K,₱16.62M,265.2,270.0,270.0,2.90K
6,2024-11-20,274.0,6.60,+2.47%,₱67.43M,247.97K,₱28.96M,265.0,274.0,265.0,1.18K
7,2024-11-19,267.4,7.40,+2.85%,₱96.26M,362.19K,₱-12.31M,260.0,267.4,260.0,1.16K
8,2024-11-18,260.0,0.00,0.00%,₱78.97M,303.56K,₱-9.01M,258.2,264.8,260.0,1.52K
9,2024-11-15,260.0,2.00,+0.78%,₱187.99M,721.93K,₱102.04M,257.8,266.0,260.0,1.97K
10,2024-11-14,258.0,3.00,+1.18%,₱199.49M,769.25K,₱36.70M,257.2,261.0,260.0,3.12K
11,2024-11-13,255.0,-4.40,-1.70%,₱128.89M,499.52K,₱-30.35M,255.0,261.8,260.0,1.25K
12,2024-11-12,259.4,-0.60,-0.23%,₱148.92M,571.32K,₱-17.84M,258.4,267.2,261.0,2.20K
13,2024-11-11,260.0,0.00,0.00%,₱51.94M,200.13K,₱-6.20M,256.2,260.2,260.0,1.24K
14,2024-11-08,260.0,-5.00,-1.89%,₱84.73M,325.60K,₱-44.33M,258.0,264.8,264.0,1.60K
15,2024-11-07,265.0,-6.20,-2.29%,₱92.94M,352.02K,₱-46.28M,260.0,270.0,270.0,1.41K
