,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,22.2,-0.50,-2.20%,₱31.76M,1.43M,₱-15.75M,22.05,22.95,22.7,668
1,2024-11-27,22.7,-1.60,-6.58%,₱48.81M,2.13M,₱-27.10M,22.55,24.25,24.25,777
2,2024-11-26,24.3,0.00,0.00%,₱129.80M,5.35M,₱-30.21M,23.55,24.55,23.9,1.27K
3,2024-11-25,24.3,2.40,+10.96%,₱281.72M,11.93M,₱43.58M,21.85,24.3,21.9,2.24K
4,2024-11-22,21.9,-0.15,-0.68%,₱70.85M,3.22M,₱-26.80M,21.75,22.2,22.05,1.05K
5,2024-11-21,22.05,-0.25,-1.12%,₱29.10M,1.32M,₱-2.73M,22.0,22.3,22.3,633
6,2024-11-20,22.3,-0.05,-0.22%,₱29.50M,1.33M,₱-19.03M,21.9,22.65,22.35,869
7,2024-11-19,22.35,-0.45,-1.97%,₱56.10M,2.49M,₱-25.77M,22.35,22.8,22.8,802
8,2024-11-18,22.8,0.60,+2.70%,₱27.27M,1.20M,₱-8.53M,22.25,22.8,22.45,808
9,2024-11-15,22.2,0.35,+1.60%,₱21.54M,968.20K,₱-11.58M,22.0,22.5,22.0,598
10,2024-11-14,21.85,-0.60,-2.67%,₱102.46M,4.66M,₱-25.65M,21.8,22.65,22.45,1.30K
11,2024-11-13,22.45,-0.75,-3.23%,₱177.81M,7.82M,₱-66.99M,22.4,23.6,23.2,1.57K
12,2024-11-12,23.2,-0.50,-2.11%,₱49.73M,2.13M,₱-31.98M,23.2,23.8,23.7,1.08K
13,2024-11-11,23.7,-0.30,-1.25%,₱101.90M,4.31M,₱-48.96M,23.4,24.2,24.2,999
14,2024-11-08,24.0,0.80,+3.45%,₱185.38M,7.78M,₱-79.51M,23.3,24.2,23.4,2.84K
15,2024-11-07,23.2,-0.80,-3.33%,₱79.27M,3.39M,₱-40.87M,23.2,24.35,24.3,1.16K
16,2024-11-06,24.0,0.00,0.00%,₱100.18M,4.16M,₱-52.77M,24.0,24.35,24.3,876
17,2024-11-05,24.0,-0.35,-1.44%,₱133.08M,5.53M,₱-43.47M,24.0,24.35,24.35,1.94K
18,2024-11-04,24.35,0.05,+0.21%,₱30.30M,1.24M,₱-1.72M,24.25,24.6,24.3,865
19,2024-10-31,24.3,-0.20,-0.82%,₱61.38M,2.52M,₱-14.27M,24.3,25.0,24.95,1.08K
20,2024-10-30,24.5,-0.05,-0.20%,₱38.70M,1.58M,₱-6.48M,24.35,25.05,24.95,646
21,2024-10-29,24.55,-0.95,-3.73%,₱136.93M,5.52M,₱-58.19M,24.55,25.5,25.5,1.86K
22,2024-10-28,25.5,0.25,+0.99%,₱24.06M,949.40K,₱188.31K,25.05,25.5,25.3,822
23,2024-10-25,25.25,0.05,+0.20%,₱16.68M,661.40K,₱-2.04M,25.1,25.5,25.2,456
24,2024-10-24,25.2,-0.45,-1.75%,₱52.08M,2.06M,₱-9.19M,25.2,25.8,25.8,805
25,2024-10-23,25.65,-0.45,-1.72%,₱43.92M,1.70M,₱-16.88M,25.6,26.55,26.45,731
26,2024-10-22,26.1,-0.35,-1.32%,₱69.92M,2.67M,₱-35.86M,26.1,26.55,26.5,1.86K
27,2024-10-21,26.45,0.35,+1.34%,₱18.88M,716.60K,₱-1.04M,26.15,26.7,26.15,464
28,2024-10-18,26.1,0.00,0.00%,₱46.35M,1.79M,₱-250.26K,25.8,26.2,26.1,830
29,2024-10-17,26.1,-0.30,-1.14%,₱50.80M,1.94M,₱-2.41M,26.0,26.75,26.5,927
30,2024-10-16,26.4,-0.05,-0.19%,₱45.26M,1.71M,₱-8.87M,26.35,26.75,26.55,798
31,2024-10-15,26.45,0.15,+0.57%,₱45.56M,1.72M,₱-6.98M,26.3,26.7,26.7,698
32,2024-10-14,26.3,0.00,0.00%,₱138.67M,5.26M,₱-22.33M,26.3,26.9,26.9,745
33,2024-10-11,26.3,-0.70,-2.59%,₱81.16M,3.07M,₱-1.25M,26.3,26.95,26.95,950
34,2024-10-10,27.0,0.60,+2.27%,₱108.40M,4.04M,₱25.58M,26.25,27.0,26.6,1.06K
35,2024-10-09,26.4,-0.75,-2.76%,₱253.39M,9.44M,₱8.98M,26.4,27.75,27.25,2.42K
36,2024-10-08,27.15,-0.65,-2.34%,₱147.32M,5.38M,₱-27.04M,27.15,28.15,27.8,1.74K
37,2024-10-07,27.8,0.30,+1.09%,₱121.20M,4.34M,₱-4.25M,27.5,28.3,27.5,1.62K
38,2024-10-04,27.5,0.30,+1.10%,₱177.03M,6.44M,₱325.14K,27.2,28.0,27.3,1.84K
39,2024-10-03,27.2,-0.75,-2.68%,₱246.21M,8.91M,₱-12.55M,27.2,28.4,27.8,1.70K
40,2024-10-02,27.95,0.15,+0.54%,₱122.41M,4.43M,₱-5.84M,27.15,27.95,27.55,1.35K
41,2024-10-01,27.8,0.00,0.00%,₱71.11M,2.56M,₱19.92M,27.55,28.2,27.8,919
42,2024-09-30,27.8,-0.45,-1.59%,₱128.49M,4.59M,₱3.89M,27.65,28.5,28.0,1.22K
43,2024-09-27,28.25,0.75,+2.73%,₱178.24M,6.39M,₱15.39M,27.15,28.25,27.5,1.25K
44,2024-09-26,27.5,0.80,+3.00%,₱214.44M,7.91M,₱-11.69M,26.45,27.5,26.8,1.76K
45,2024-09-25,26.7,-0.20,-0.74%,₱96.63M,3.63M,₱-2.94M,26.2,27.15,27.15,1.21K
46,2024-09-24,26.9,-0.50,-1.82%,₱171.86M,6.32M,₱-19.25M,26.9,27.75,27.45,1.81K
47,2024-09-23,27.4,1.20,+4.58%,₱114.53M,4.21M,₱31.04M,26.6,27.4,26.6,1.25K
48,2024-09-20,26.2,0.60,+2.34%,₱211.22M,8.06M,₱-94.62M,25.9,26.45,25.9,1.54K
49,2024-09-19,25.6,-0.20,-0.78%,₱88.76M,3.43M,₱1.09M,25.6,26.5,25.8,1.15K
50,2024-09-18,25.8,-0.25,-0.96%,₱60.77M,2.33M,₱7.89M,25.6,26.5,26.15,800
51,2024-09-17,26.05,0.15,+0.58%,₱60.78M,2.32M,₱7.24M,26.0,26.4,26.0,1.08K
52,2024-09-16,25.9,0.90,+3.60%,₱79.13M,3.09M,₱-5.88M,24.7,25.95,25.0,997
53,2024-09-13,25.0,-0.15,-0.60%,₱81.42M,3.27M,₱-28.06M,24.4,25.35,25.1,1.32K
54,2024-09-12,25.15,0.05,+0.20%,₱45.37M,1.81M,₱-23.37M,24.75,25.3,25.3,803
55,2024-09-11,25.1,0.00,0.00%,₱92.05M,3.67M,₱-8.48M,24.6,25.5,25.5,1.42K
56,2024-09-10,25.1,0.75,+3.08%,₱202.16M,7.98M,₱-1.85M,24.6,25.7,24.65,2.27K
57,2024-09-09,24.35,0.65,+2.74%,₱175.40M,7.20M,₱17.97M,23.3,24.95,23.7,1.96K
58,2024-09-06,23.7,0.65,+2.82%,₱56.81M,2.43M,₱-4.69M,23.05,23.7,23.05,760
59,2024-09-05,23.05,-0.45,-1.91%,₱47.22M,2.04M,₱-15.26M,23.0,23.65,23.55,744
60,2024-09-04,23.5,-0.45,-1.88%,₱61.51M,2.62M,₱-3.55M,23.25,23.85,23.85,592
61,2024-09-03,23.95,-0.40,-1.64%,₱44.46M,1.84M,₱2.27M,23.95,24.6,24.5,1.24K
62,2024-09-02,24.35,0.85,+3.62%,₱63.17M,2.64M,₱-1.53M,23.35,24.35,23.5,1.48K
63,2024-08-30,23.5,0.45,+1.95%,₱145.08M,6.21M,₱24.35M,22.9,23.5,23.05,2.11K
64,2024-08-29,23.05,-0.20,-0.86%,₱76.37M,3.31M,₱-9.57M,22.9,23.75,23.25,1.22K
65,2024-08-28,23.25,-0.25,-1.06%,₱73.62M,3.16M,₱4.01M,23.15,23.75,23.65,1.26K
66,2024-08-27,23.5,-0.70,-2.89%,₱91.53M,3.84M,₱-38.08M,23.5,24.5,24.2,1.48K
67,2024-08-22,24.2,0.10,+0.41%,₱29.87M,1.23M,₱8.09M,24.2,24.5,24.2,474
68,2024-08-21,24.1,-0.10,-0.41%,₱117.10M,4.84M,₱-33.20M,24.05,24.65,24.65,1.07K
69,2024-08-20,24.2,0.00,0.00%,₱75.86M,3.11M,₱-19.93M,24.2,24.75,24.75,1.25K
70,2024-08-19,24.2,0.00,0.00%,₱54.62M,2.24M,₱-6.83M,24.2,24.7,24.35,585
71,2024-08-16,24.2,0.05,+0.21%,₱52.97M,2.18M,₱-12.49M,24.2,24.65,24.65,700
72,2024-08-15,24.15,-0.30,-1.23%,₱45.16M,1.85M,₱-12.30M,24.15,24.95,24.7,696
73,2024-08-14,24.45,0.30,+1.24%,₱93.05M,3.80M,₱-27.60M,24.2,24.95,24.45,1.61K
74,2024-08-13,24.15,-1.05,-4.17%,₱213.73M,8.58M,₱-30.66M,24.15,26.3,25.45,2.20K
75,2024-08-12,25.2,0.00,0.00%,₱15.75M,621.90K,₱3.83M,25.2,25.75,25.75,598
76,2024-08-09,25.2,-0.20,-0.79%,₱47.99M,1.89M,₱978.91K,25.1,26.05,25.5,837
77,2024-08-08,25.4,0.40,+1.60%,₱52.53M,2.08M,₱409.86K,24.95,25.8,25.2,1.09K
78,2024-08-07,25.0,-0.40,-1.57%,₱108.65M,4.30M,₱-43.18M,25.0,26.3,25.8,1.34K
79,2024-08-06,25.4,-0.55,-2.12%,₱76.65M,2.99M,₱-8.77M,25.3,26.55,26.1,1.15K
80,2024-08-05,25.95,-1.50,-5.46%,₱117.74M,4.50M,₱6.87M,25.6,27.0,27.0,1.75K
81,2024-08-02,27.45,-0.60,-2.14%,₱25.51M,930.90K,₱4.50M,27.2,28.0,28.0,727
82,2024-08-01,28.05,0.25,+0.90%,₱38.47M,1.38M,₱19.04M,27.55,28.05,27.8,647
83,2024-07-31,27.8,0.70,+2.58%,₱54.41M,1.97M,₱-3.62M,27.25,27.8,27.3,1.13K
84,2024-07-30,27.1,-0.70,-2.52%,₱56.80M,2.08M,₱-10.97M,26.9,28.35,27.8,650
85,2024-07-29,27.8,-0.25,-0.89%,₱73.00M,2.59M,₱-15.60M,27.8,28.6,28.1,627
86,2024-07-26,28.05,0.30,+1.08%,₱60.15M,2.15M,₱22.76M,27.65,28.1,27.9,567
87,2024-07-25,27.75,-0.55,-1.94%,₱47.88M,1.73M,₱3.59M,27.5,28.1,28.1,1.03K
88,2024-07-23,28.3,0.50,+1.80%,₱114.52M,4.07M,₱40.00M,27.5,28.3,28.1,1.68K
89,2024-07-22,27.8,-0.10,-0.36%,₱77.42M,2.76M,₱-474.45K,27.8,28.35,27.8,1.05K
90,2024-07-19,27.9,0.60,+2.20%,₱120.72M,4.34M,₱21.06M,27.1,28.1,27.3,1.67K
91,2024-07-18,27.3,0.45,+1.68%,₱77.82M,2.87M,₱29.64M,26.4,27.3,26.9,1.31K
92,2024-07-17,26.85,-0.65,-2.36%,₱125.83M,4.66M,₱-26.28M,26.85,27.85,27.75,1.85K
93,2024-07-16,27.5,-0.20,-0.72%,₱120.03M,4.32M,₱-20.33M,27.5,28.35,28.25,1.71K
94,2024-07-15,27.7,0.00,0.00%,₱58.68M,2.10M,₱2.02M,27.7,28.35,27.7,1.19K
95,2024-07-12,27.7,0.00,0.00%,₱57.83M,2.09M,₱3.92M,27.35,27.9,27.7,1.50K
96,2024-07-11,27.7,1.40,+5.32%,₱164.66M,5.99M,₱2.99M,26.65,27.85,26.8,2.07K
97,2024-07-10,26.3,-1.10,-4.01%,₱130.19M,4.90M,₱-67.66M,26.3,27.4,27.4,1.35K
98,2024-07-09,27.4,1.25,+4.78%,₱92.74M,3.42M,₱15.99M,26.15,27.55,26.15,1.59K
99,2024-07-08,26.15,0.45,+1.75%,₱88.61M,3.38M,₱8.58M,25.75,26.7,25.75,1.31K
100,2024-07-05,25.7,-0.45,-1.72%,₱98.18M,3.79M,₱-31.16M,25.6,26.8,26.7,1.91K
101,2024-07-04,26.15,-0.35,-1.32%,₱88.93M,3.35M,₱-35.94M,26.1,27.1,26.85,1.88K
102,2024-07-03,26.5,0.85,+3.31%,₱67.20M,2.54M,₱27.87M,25.75,26.8,25.95,1.31K
103,2024-07-02,25.65,-1.00,-3.75%,₱90.44M,3.49M,₱-8.50M,25.6,27.1,27.1,1.32K
104,2024-07-01,26.65,0.60,+2.30%,₱67.52M,2.52M,₱14.38M,26.25,27.2,26.25,1.04K
105,2024-06-28,26.05,-0.25,-0.95%,₱77.19M,2.92M,₱-9.94M,26.05,27.05,26.4,1.00K
106,2024-06-27,26.3,-0.70,-2.59%,₱123.89M,4.71M,₱15.51M,26.15,27.35,27.0,1.26K
107,2024-06-26,27.0,-0.10,-0.37%,₱104.63M,3.86M,₱34.77M,26.7,27.45,27.1,1.69K
108,2024-06-25,27.1,1.60,+6.27%,₱65.95M,2.46M,₱26.12M,25.65,27.2,25.95,1.29K
109,2024-06-24,25.5,0.00,0.00%,₱129.33M,5.03M,₱-37.46M,25.5,26.35,26.2,1.31K
110,2024-06-21,25.5,-1.50,-5.56%,₱422.14M,16.22M,₱-156.05M,25.5,27.45,27.45,2.68K
111,2024-06-20,27.0,-1.75,-6.09%,₱366.31M,13.39M,₱-86.12M,27.0,28.75,28.75,2.55K
112,2024-06-19,28.75,0.25,+0.88%,₱45.94M,1.60M,₱-19.23M,28.1,29.1,28.5,1.59K
113,2024-06-18,28.5,0.45,+1.60%,₱35.10M,1.25M,₱-6.92M,27.55,28.7,28.25,978
114,2024-06-14,28.05,-0.20,-0.71%,₱42.10M,1.49M,₱-16.35M,28.0,28.55,28.35,1.08K
115,2024-06-13,28.25,-0.85,-2.92%,₱136.74M,4.78M,₱-78.84M,28.25,29.7,29.1,2.08K
116,2024-06-11,29.1,-0.75,-2.51%,₱54.83M,1.87M,₱-48.21M,29.1,29.85,29.85,1.76K
117,2024-06-10,29.85,-0.15,-0.50%,₱36.83M,1.24M,₱-2.54M,29.5,30.2,30.2,918
118,2024-06-07,30.0,-0.55,-1.80%,₱38.46M,1.28M,₱-13.76M,29.85,30.8,30.55,878
119,2024-06-06,30.55,1.10,+3.74%,₱41.24M,1.36M,₱10.86M,29.7,30.55,29.85,764
120,2024-06-05,29.45,0.20,+0.68%,₱23.70M,801.10K,₱-9.67M,29.35,30.0,29.35,586
121,2024-06-04,29.25,-0.95,-3.15%,₱85.30M,2.91M,₱-74.26M,29.2,30.9,30.9,1.22K
122,2024-06-03,30.2,-0.80,-2.58%,₱37.52M,1.24M,₱-14.12M,30.05,30.85,30.85,1.25K
123,2024-05-31,31.0,1.80,+6.16%,₱183.38M,5.99M,₱-42.19M,29.15,31.0,29.25,1.81K
124,2024-05-30,29.2,-0.95,-3.15%,₱56.43M,1.92M,₱-14.26M,29.2,30.9,30.9,731
125,2024-05-29,30.15,-1.00,-3.21%,₱52.47M,1.73M,₱-27.45M,30.15,30.75,30.7,862
126,2024-05-28,31.15,-0.95,-2.96%,₱76.05M,2.45M,₱-32.33M,30.7,31.8,31.6,1.29K
127,2024-05-27,32.1,0.10,+0.31%,₱12.41M,390.40K,₱-2.57M,31.25,32.5,32.0,393
128,2024-05-24,32.0,0.20,+0.63%,₱39.72M,1.24M,₱-9.46M,31.55,32.3,31.9,648
129,2024-05-23,31.8,-1.25,-3.78%,₱116.24M,3.65M,₱-4.38M,31.65,33.6,33.6,1.29K
130,2024-05-22,33.05,-0.40,-1.20%,₱27.03M,820.60K,₱-11.24M,32.6,33.25,33.05,657
131,2024-05-21,33.45,-0.70,-2.05%,₱45.23M,1.35M,₱-7.87M,33.05,34.15,34.15,1.20K
132,2024-05-20,34.15,0.25,+0.74%,₱14.74M,434.10K,₱4.82M,33.55,34.2,33.9,515
133,2024-05-17,33.9,0.60,+1.80%,₱58.94M,1.74M,₱4.26M,33.0,34.15,33.3,1.05K
134,2024-05-16,33.3,0.80,+2.46%,₱48.09M,1.46M,₱-4.30M,32.4,33.3,32.5,822
135,2024-05-15,32.5,-0.30,-0.91%,₱6.04M,186.20K,₱-2.47M,32.0,32.75,32.75,306
136,2024-05-14,32.8,1.00,+3.14%,₱40.02M,1.24M,₱16.02M,31.2,32.8,31.5,699
137,2024-05-13,31.8,0.10,+0.32%,₱7.60M,238.60K,₱1.01M,31.6,32.25,31.7,362
138,2024-05-10,31.7,0.50,+1.60%,₱13.62M,429.00K,₱-125.03K,31.5,32.0,31.85,467
139,2024-05-09,31.2,-1.60,-4.88%,₱70.33M,2.21M,₱-49.60M,31.2,33.5,32.9,1.56K
140,2024-05-08,32.8,1.20,+3.80%,₱20.69M,640.10K,₱2.00M,31.7,32.9,31.7,827
141,2024-05-07,31.6,-1.05,-3.22%,₱39.00M,1.23M,₱-26.20M,31.6,33.15,33.0,672
142,2024-05-06,32.65,0.70,+2.19%,₱39.19M,1.20M,₱6.77M,31.8,32.7,32.35,375
143,2024-05-03,31.95,-0.15,-0.47%,₱13.85M,433.30K,₱-3.71M,31.35,32.95,32.35,471
144,2024-05-02,32.1,-1.65,-4.89%,₱31.90M,987.90K,₱-4.21M,32.1,33.7,33.7,674
145,2024-04-30,33.75,-0.80,-2.32%,₱41.72M,1.22M,₱-2.53M,33.75,35.25,35.25,687
146,2024-04-29,34.55,-0.45,-1.29%,₱61.10M,1.77M,₱19.91M,33.8,35.4,35.0,699
147,2024-04-26,35.0,2.05,+6.22%,₱168.44M,4.92M,₱94.50M,32.0,35.0,32.9,1.20K
148,2024-04-25,32.95,1.60,+5.10%,₱154.19M,4.71M,₱55.05M,31.35,33.05,31.35,1.58K
149,2024-04-24,31.35,1.50,+5.03%,₱70.41M,2.26M,₱16.08M,29.85,31.7,29.85,768
150,2024-04-23,29.85,0.35,+1.19%,₱23.55M,792.60K,₱-3.40M,29.5,29.9,29.5,623
151,2024-04-22,29.5,0.70,+2.43%,₱20.40M,691.80K,₱-6.72M,29.1,29.8,29.1,443
152,2024-04-19,28.8,-1.80,-5.88%,₱62.21M,2.14M,₱-45.58M,28.8,30.9,30.6,900
153,2024-04-18,30.6,1.40,+4.79%,₱71.80M,2.36M,₱13.99M,29.25,31.0,29.25,1.02K
154,2024-04-17,29.2,-0.25,-0.85%,₱138.99M,4.70M,₱-8.05M,29.2,30.3,29.5,857
155,2024-04-16,29.45,-0.65,-2.16%,₱53.09M,1.79M,₱-9.21M,28.95,31.2,30.05,946
156,2024-04-15,30.1,-0.90,-2.90%,₱31.33M,1.03M,₱-1.51M,30.1,31.75,31.75,951
157,2024-04-12,31.0,-1.00,-3.13%,₱58.72M,1.86M,₱6.40M,31.0,33.0,32.55,678
158,2024-04-11,32.0,-1.00,-3.03%,₱76.55M,2.36M,₱-6.09M,32.0,34.5,32.65,778
159,2024-04-08,33.0,-0.70,-2.08%,₱19.78M,594.20K,₱-8.50M,33.0,34.3,34.1,325
160,2024-04-05,33.7,-0.40,-1.17%,₱19.06M,562.50K,₱-393.59K,33.7,34.5,34.5,403
161,2024-04-04,34.1,-0.45,-1.30%,₱53.05M,1.55M,₱-29.62M,34.1,35.05,34.6,565
162,2024-04-03,34.55,-1.05,-2.95%,₱81.36M,2.33M,₱-45.85M,34.55,35.65,35.6,807
163,2024-04-02,35.6,-1.10,-3.00%,₱46.45M,1.29M,₱4.28M,35.6,36.75,36.7,532
164,2024-04-01,36.7,0.30,+0.82%,₱16.69M,454.50K,₱2.56M,36.5,36.85,36.85,312
165,2024-03-27,36.4,0.45,+1.25%,₱58.53M,1.60M,₱-5.67M,36.4,36.75,36.4,614
166,2024-03-26,35.95,0.50,+1.41%,₱65.62M,1.83M,₱-1.96M,35.05,36.3,35.05,516
167,2024-03-25,35.45,-0.25,-0.70%,₱27.26M,769.90K,₱-10.02M,35.0,36.0,35.75,828
168,2024-03-22,35.7,0.15,+0.42%,₱47.75M,1.35M,₱-5.02M,34.95,35.95,35.8,731
169,2024-03-21,35.55,0.25,+0.71%,₱67.58M,1.92M,₱-8.70M,34.75,35.95,35.6,688
170,2024-03-20,35.3,-0.70,-1.94%,₱90.83M,2.54M,₱-32.81M,35.2,36.4,36.15,825
171,2024-03-19,36.0,-2.20,-5.76%,₱132.76M,3.63M,₱-7.24M,35.85,38.5,38.1,1.34K
172,2024-03-18,38.2,0.15,+0.39%,₱46.96M,1.23M,₱-9.22M,38.15,38.8,38.3,736
173,2024-03-15,38.05,-2.45,-6.05%,₱241.61M,6.29M,₱-99.57M,37.95,40.45,40.45,937
174,2024-03-14,40.5,0.30,+0.75%,₱68.24M,1.70M,₱24.67M,39.6,40.5,40.2,940
175,2024-03-13,40.2,0.20,+0.50%,₱76.96M,1.92M,₱26.13M,39.75,40.4,40.0,823
176,2024-03-12,40.0,0.10,+0.25%,₱67.11M,1.68M,₱18.87M,39.5,40.45,39.75,831
177,2024-03-11,39.9,0.10,+0.25%,₱17.93M,451.20K,₱2.81M,39.4,39.9,39.8,434
178,2024-03-08,39.8,0.00,0.00%,₱48.33M,1.21M,₱8.74M,39.35,39.95,39.35,727
179,2024-03-07,39.8,0.15,+0.38%,₱19.43M,489.10K,₱133.02K,39.4,40.0,39.6,347
180,2024-03-06,39.65,0.25,+0.63%,₱67.06M,1.69M,₱-18.73M,39.2,39.8,39.5,983
181,2024-03-05,39.4,-0.45,-1.13%,₱29.61M,750.30K,₱2.17M,38.9,40.2,40.2,471
182,2024-03-04,39.85,0.35,+0.89%,₱66.07M,1.65M,₱23.60M,39.55,40.45,40.45,487
183,2024-03-01,39.5,-1.50,-3.66%,₱40.70M,1.02M,₱-6.03M,39.5,40.85,40.85,636
184,2024-02-29,41.0,1.30,+3.27%,₱220.81M,5.44M,₱95.69M,39.55,41.0,39.6,981
185,2024-02-28,39.7,0.10,+0.25%,₱60.65M,1.53M,₱27.43M,39.5,39.9,39.6,271
186,2024-02-27,39.6,-0.20,-0.50%,₱51.49M,1.30M,₱7.17M,39.45,40.0,39.55,497
187,2024-02-26,39.8,0.20,+0.51%,₱18.87M,474.50K,₱8.03M,39.55,40.0,39.65,359
188,2024-02-23,39.6,0.00,0.00%,₱61.96M,1.55M,₱-4.40M,39.6,40.15,39.85,444
189,2024-02-22,39.6,0.05,+0.13%,₱25.68M,648.80K,₱5.19M,39.4,39.75,39.55,253
190,2024-02-21,39.55,-0.05,-0.13%,₱48.47M,1.23M,₱9.44M,39.05,39.6,39.05,380
191,2024-02-20,39.6,0.55,+1.41%,₱32.89M,834.20K,₱16.71M,39.0,39.6,39.05,538
192,2024-02-19,39.05,-0.60,-1.51%,₱23.27M,593.00K,₱-691.34K,39.05,39.85,39.65,407
193,2024-02-16,39.65,-0.65,-1.61%,₱33.15M,830.40K,₱3.08M,39.6,40.65,40.3,451
194,2024-02-15,40.3,0.80,+2.03%,₱61.39M,1.52M,₱7.38M,39.6,40.6,39.6,643
195,2024-02-14,39.5,0.50,+1.28%,₱21.94M,557.20K,₱2.30M,38.8,39.5,38.8,319
196,2024-02-13,39.0,0.35,+0.91%,₱26.44M,677.10K,₱2.67M,38.7,39.3,38.7,325
197,2024-02-12,38.65,-0.40,-1.02%,₱40.20M,1.03M,₱-13.80M,38.6,39.6,39.05,767
198,2024-02-08,39.05,-0.50,-1.26%,₱42.18M,1.07M,₱1.25M,39.05,40.2,39.6,521
199,2024-02-07,39.55,-0.95,-2.35%,₱40.26M,1.01M,₱2.08M,39.55,40.85,40.5,380
200,2024-02-06,40.5,0.50,+1.25%,₱55.08M,1.36M,₱9.86M,39.2,40.5,40.1,347
201,2024-02-05,40.0,0.50,+1.27%,₱67.90M,1.70M,₱-11.10M,38.9,40.1,39.45,583
202,2024-02-02,39.5,0.50,+1.28%,₱58.74M,1.49M,₱-26.90M,39.0,39.5,39.0,331
203,2024-02-01,39.0,0.70,+1.83%,₱75.98M,1.95M,₱10.64M,38.35,39.3,38.95,769
204,2024-01-31,38.3,-0.80,-2.05%,₱89.60M,2.30M,₱-27.86M,38.3,39.55,39.0,1.11K
205,2024-01-30,39.1,1.60,+4.27%,₱231.29M,5.94M,₱-30.37M,37.5,39.45,37.5,1.16K
206,2024-01-29,37.5,-0.55,-1.45%,₱81.49M,2.16M,₱-8.55M,37.5,38.9,38.05,1.10K
207,2024-01-26,38.05,0.00,0.00%,₱102.19M,2.69M,₱11.29M,37.65,38.5,38.5,1.02K
208,2024-01-25,38.05,-0.65,-1.68%,₱96.17M,2.51M,₱-66.97M,38.0,39.3,39.0,802
209,2024-01-24,38.7,-0.40,-1.02%,₱105.69M,2.69M,₱-81.51M,38.7,39.65,39.45,802
