,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,10.38,0.00,0.00%,₱37.34M,3.60M,₱-2.12M,10.34,10.44,10.4,559
1,2024-11-27,10.38,-0.04,-0.38%,₱32.16M,3.09M,₱-3.82M,10.34,10.46,10.42,655
2,2024-11-26,10.42,0.04,+0.39%,₱35.94M,3.45M,₱-513.12K,10.38,10.48,10.4,493
3,2024-11-25,10.38,0.00,0.00%,₱27.97M,2.69M,₱-3.58M,10.36,10.46,10.38,547
4,2024-11-22,10.38,0.04,+0.39%,₱23.85M,2.30M,₱4.36M,10.34,10.4,10.34,507
5,2024-11-21,10.34,0.02,+0.19%,₱18.31M,1.77M,₱186.95K,10.32,10.4,10.34,521
6,2024-11-20,10.32,0.00,0.00%,₱56.88M,5.51M,₱23.64M,10.3,10.38,10.36,741
7,2024-11-19,10.32,-0.04,-0.39%,₱20.66M,2.00M,₱-11.92M,10.32,10.4,10.4,593
8,2024-11-18,10.36,0.30,+2.98%,₱33.57M,3.25M,₱-8.58M,10.14,10.4,10.3,986
9,2024-11-15,10.06,0.07,+0.70%,₱23.18M,2.30M,₱-716.58K,9.99,10.14,9.99,642
10,2024-11-14,9.99,-0.15,-1.48%,₱45.25M,4.53M,₱-2.10M,9.92,10.16,10.14,814
11,2024-11-13,10.14,-0.06,-0.59%,₱20.66M,2.03M,₱-4.08M,10.14,10.26,10.2,590
12,2024-11-12,10.2,-0.10,-0.97%,₱16.90M,1.65M,₱-1.72M,10.2,10.3,10.3,455
13,2024-11-11,10.3,0.10,+0.98%,₱24.41M,2.38M,₱-1.19M,10.1,10.3,10.2,461
14,2024-11-08,10.2,-0.08,-0.78%,₱23.01M,2.27M,₱-2.00M,10.0,10.3,10.26,625
15,2024-11-07,10.28,-0.04,-0.39%,₱21.95M,2.16M,₱-1.91M,10.06,10.32,10.32,620
16,2024-11-06,10.32,0.00,0.00%,₱7.93M,770.10K,₱-1.91M,10.26,10.32,10.32,414
17,2024-11-05,10.32,0.04,+0.39%,₱16.41M,1.59M,₱-630.08K,10.28,10.36,10.28,542
18,2024-11-04,10.28,-0.02,-0.19%,₱15.65M,1.52M,₱-2.68M,10.2,10.34,10.2,601
19,2024-10-31,10.3,-0.06,-0.58%,₱66.07M,6.41M,₱24.58M,10.14,10.36,10.36,943
20,2024-10-30,10.36,0.39,+3.91%,₱31.19M,3.06M,₱-2.61M,9.98,10.4,9.98,659
21,2024-10-29,9.97,-0.11,-1.09%,₱29.77M,2.97M,₱641.53K,9.96,10.1,10.1,683
22,2024-10-28,10.08,0.04,+0.40%,₱11.03M,1.10M,₱1.14M,9.99,10.1,10.04,506
23,2024-10-25,10.04,0.04,+0.40%,₱15.39M,1.54M,₱-72.63K,9.98,10.06,10.0,484
24,2024-10-24,10.0,-0.06,-0.60%,₱23.67M,2.37M,₱-2.66M,9.99,10.14,10.08,656
25,2024-10-23,10.06,0.02,+0.20%,₱32.33M,3.20M,₱-559.43K,10.04,10.16,10.1,715
26,2024-10-22,10.04,-0.10,-0.99%,₱18.53M,1.83M,₱173.43K,10.04,10.2,10.16,522
27,2024-10-21,10.14,-0.06,-0.59%,₱9.77M,957.90K,₱-419.07K,10.14,10.32,10.2,420
28,2024-10-18,10.2,0.02,+0.20%,₱18.87M,1.85M,₱422.12K,10.2,10.38,10.2,504
29,2024-10-17,10.18,-0.32,-3.05%,₱40.05M,3.88M,₱-2.15M,10.18,10.5,10.5,640
30,2024-10-16,10.5,0.34,+3.35%,₱75.84M,7.31M,₱43.87M,10.1,10.5,10.16,1.09K
31,2024-10-15,10.16,0.06,+0.59%,₱14.59M,1.44M,₱-3.45M,10.06,10.2,10.1,726
32,2024-10-14,10.1,0.02,+0.20%,₱10.12M,1.00M,₱-4.39M,10.0,10.18,10.08,489
33,2024-10-11,10.08,0.10,+1.00%,₱29.34M,2.92M,₱3.72M,9.98,10.1,10.0,437
34,2024-10-10,9.98,0.03,+0.30%,₱20.90M,2.09M,₱-6.19M,9.97,10.08,9.98,642
35,2024-10-09,9.95,-0.13,-1.29%,₱29.98M,2.99M,₱-3.18M,9.95,10.12,10.08,703
36,2024-10-08,10.08,-0.02,-0.20%,₱18.91M,1.87M,₱-134.70K,10.08,10.16,10.1,557
37,2024-10-07,10.1,0.10,+1.00%,₱29.26M,2.88M,₱11.13M,10.0,10.22,10.0,944
38,2024-10-04,10.0,0.00,0.00%,₱17.97M,1.79M,₱-2.43M,10.0,10.14,10.0,418
