,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,75.65,-1.35,-1.75%,₱108.84M,1.44M,₱4.32M,75.0,77.0,77.0,2.41K
1,2024-11-27,77.0,-0.65,-0.84%,₱112.75M,1.46M,₱-15.03M,76.65,77.4,76.9,1.51K
2,2024-11-26,77.65,-1.55,-1.96%,₱127.69M,1.65M,₱-15.27M,76.4,78.8,78.1,2.14K
3,2024-11-25,79.2,2.70,+3.53%,₱380.46M,4.85M,₱107.95M,75.0,79.2,76.3,2.79K
4,2024-11-22,76.5,-0.40,-0.52%,₱87.62M,1.15M,₱-2.97M,74.55,76.9,76.9,2.06K
5,2024-11-21,76.9,-0.60,-0.77%,₱123.29M,1.60M,₱34.00M,76.45,77.2,77.0,1.94K
6,2024-11-20,77.5,3.70,+5.01%,₱147.98M,1.93M,₱43.90M,73.8,77.5,73.8,2.31K
7,2024-11-19,73.8,-0.65,-0.87%,₱177.93M,2.41M,₱-37.03M,73.55,74.45,74.45,4.38K
8,2024-11-18,74.45,1.65,+2.27%,₱82.98M,1.12M,₱-16.65M,72.7,74.45,73.0,2.43K
9,2024-11-15,72.8,1.90,+2.68%,₱159.10M,2.19M,₱-8.25M,70.7,73.15,70.9,2.46K
10,2024-11-14,70.9,-2.30,-3.14%,₱113.58M,1.57M,₱-63.21M,70.9,73.7,73.2,1.65K
11,2024-11-13,73.2,-2.05,-2.72%,₱194.62M,2.64M,₱-55.82M,73.2,75.25,75.0,2.17K
12,2024-11-12,75.25,-0.70,-0.92%,₱141.12M,1.88M,₱38.90M,74.9,77.5,75.95,1.47K
13,2024-11-11,75.95,-0.55,-0.72%,₱97.79M,1.29M,₱-32.66M,75.55,76.55,76.5,1.75K
14,2024-11-08,76.5,0.50,+0.66%,₱83.60M,1.10M,₱-48.54M,75.15,76.9,76.0,1.91K
15,2024-11-07,76.0,-1.80,-2.31%,₱275.92M,3.64M,₱-91.79M,75.0,77.95,77.8,3.81K
16,2024-11-06,77.8,0.80,+1.04%,₱148.25M,1.91M,₱-16.31M,76.1,78.2,77.0,3.73K
17,2024-11-05,77.0,1.50,+1.99%,₱176.26M,2.29M,₱-45.53M,75.6,78.0,75.6,3.18K
18,2024-11-04,75.5,-0.50,-0.66%,₱194.05M,2.56M,₱-80.89M,75.0,76.6,76.6,4.08K
19,2024-10-31,76.0,-3.45,-4.34%,₱262.83M,3.41M,₱-73.19M,76.0,78.25,78.0,4.58K
20,2024-10-30,79.45,3.95,+5.23%,₱198.40M,2.57M,₱-32.01M,75.3,79.45,76.0,3.03K
21,2024-10-29,75.5,-3.20,-4.07%,₱272.88M,3.57M,₱-90.29M,75.5,78.85,78.8,3.00K
22,2024-10-28,78.7,1.70,+2.21%,₱87.89M,1.12M,₱9.52M,76.9,78.8,76.95,1.53K
23,2024-10-25,77.0,0.00,0.00%,₱188.52M,2.46M,₱-65.38M,76.05,77.75,77.0,3.79K
24,2024-10-24,77.0,-1.00,-1.28%,₱156.74M,2.04M,₱-36.09M,76.6,77.7,77.7,3.80K
25,2024-10-23,78.0,-1.00,-1.27%,₱232.16M,2.96M,₱-35.73M,78.0,79.85,79.2,2.78K
26,2024-10-22,79.0,-1.50,-1.86%,₱319.02M,4.01M,₱-154.51M,79.0,81.4,80.35,4.44K
27,2024-10-21,80.5,0.20,+0.25%,₱77.33M,961.50K,₱-4.21M,80.2,81.0,80.3,1.04K
28,2024-10-18,80.3,0.20,+0.25%,₱115.62M,1.44M,₱29.16M,80.0,81.5,81.35,1.94K
29,2024-10-17,80.1,-1.40,-1.72%,₱183.81M,2.28M,₱-50.24M,80.1,82.0,81.5,2.11K
30,2024-10-16,81.5,0.00,0.00%,₱254.49M,3.12M,₱32.30M,80.75,82.0,81.05,2.22K
31,2024-10-15,81.5,3.10,+3.95%,₱369.00M,4.56M,₱132.15M,78.85,81.5,78.85,4.11K
32,2024-10-14,78.4,-0.10,-0.13%,₱101.33M,1.29M,₱-34.74M,78.4,79.4,78.5,2.91K
33,2024-10-11,78.5,-0.55,-0.70%,₱121.75M,1.55M,₱54.67M,78.4,79.0,79.0,3.08K
34,2024-10-10,79.05,-0.85,-1.06%,₱160.87M,2.03M,₱13.62M,79.0,79.9,79.9,1.07K
35,2024-10-09,79.9,-0.10,-0.12%,₱171.81M,2.15M,₱5.44M,79.65,80.05,79.8,2.73K
36,2024-10-08,80.0,0.90,+1.14%,₱233.89M,2.94M,₱-14.83M,78.8,80.05,79.0,3.52K
