,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,2.04,0.01,+0.49%,₱37.29M,18.28M,₱-10.08M,2.03,2.06,2.03,281
1,2024-11-28,2.03,-0.03,-1.46%,₱34.38M,16.88M,₱-3.43M,2.02,2.06,2.06,407
2,2024-11-27,2.06,-0.03,-1.44%,₱28.05M,13.52M,₱2.16M,2.06,2.1,2.09,268
3,2024-11-26,2.09,-0.02,-0.95%,₱31.07M,14.86M,₱-1.33M,2.08,2.12,2.11,352
4,2024-11-25,2.11,-0.02,-0.94%,₱41.08M,19.43M,₱6.74M,2.1,2.14,2.13,332
5,2024-11-22,2.13,-0.06,-2.74%,₱33.38M,15.61M,₱-10.59M,2.12,2.19,2.19,462
6,2024-11-21,2.19,-0.01,-0.45%,₱20.62M,9.40M,₱-6.27M,2.18,2.2,2.2,225
7,2024-11-20,2.2,0.00,0.00%,₱24.64M,11.17M,₱-2.62M,2.2,2.23,2.2,256
8,2024-11-19,2.2,0.03,+1.38%,₱27.93M,12.70M,₱-228.97K,2.18,2.22,2.18,352
9,2024-11-18,2.17,0.06,+2.84%,₱17.59M,8.14M,₱-2.42M,2.1,2.19,2.11,272
10,2024-11-15,2.11,0.03,+1.44%,₱10.57M,5.01M,₱-1.65M,2.08,2.13,2.08,194
11,2024-11-14,2.08,-0.05,-2.35%,₱23.46M,11.20M,₱-4.20M,2.07,2.13,2.13,190
12,2024-11-13,2.13,-0.02,-0.93%,₱24.13M,11.26M,₱-2.99M,2.13,2.17,2.15,235
13,2024-11-12,2.15,0.04,+1.90%,₱28.27M,13.20M,₱-1.36M,2.11,2.15,2.12,427
14,2024-11-11,2.11,0.01,+0.48%,₱8.75M,4.16M,₱6.20M,2.08,2.13,2.1,195
15,2024-11-08,2.1,0.03,+1.45%,₱4.09M,1.95M,₱134.00K,2.08,2.13,2.13,149
16,2024-11-07,2.07,-0.06,-2.82%,₱27.01M,13.07M,₱8.78M,2.05,2.13,2.13,458
