,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,479.0,-2.20,-0.46%,₱123.01M,255.91K,₱-24.06M,479.0,485.0,481.2,1.05K
1,2024-11-28,481.2,-12.80,-2.59%,₱105.31M,218.08K,₱-35.84M,480.2,494.0,494.0,1.02K
2,2024-11-27,494.0,7.60,+1.56%,₱63.22M,128.42K,₱37.39M,486.8,494.0,490.0,928
3,2024-11-26,486.4,-10.40,-2.09%,₱87.66M,179.70K,₱-14.58M,485.0,494.2,494.2,1.37K
4,2024-11-25,496.8,10.80,+2.22%,₱658.01M,1.34M,₱47.10M,478.6,496.8,486.0,2.91K
5,2024-11-22,486.0,-8.00,-1.62%,₱58.48M,119.61K,₱-5.51M,486.0,494.0,494.0,1.25K
6,2024-11-21,494.0,-6.00,-1.20%,₱85.62M,174.27K,₱10.65M,484.2,497.0,497.0,1.94K
7,2024-11-20,500.0,21.00,+4.38%,₱122.57M,249.81K,₱46.66M,477.4,500.0,480.4,2.27K
8,2024-11-19,479.0,1.00,+0.21%,₱125.89M,262.83K,₱10.24M,475.0,482.0,482.0,1.95K
9,2024-11-18,478.0,-7.00,-1.44%,₱86.75M,181.13K,₱-26.42M,475.0,485.0,485.0,1.75K
10,2024-11-15,485.0,35.00,+7.78%,₱121.19M,254.61K,₱37.12M,455.0,485.0,455.0,1.53K
11,2024-11-14,450.0,-25.00,-5.26%,₱190.76M,421.20K,₱-90.80M,450.0,475.2,475.0,3.01K
12,2024-11-13,475.0,-10.20,-2.10%,₱70.31M,147.12K,₱-9.37M,475.0,489.2,485.0,892
13,2024-11-12,485.2,-3.80,-0.78%,₱135.50M,279.51K,₱14.53M,481.2,489.0,489.0,1.14K
14,2024-11-11,489.0,-3.00,-0.61%,₱21.03M,43.05K,₱-9.23M,485.0,490.0,488.0,442
15,2024-11-08,492.0,7.00,+1.44%,₱50.58M,104.08K,₱-11.69M,477.2,492.0,485.0,1.02K
16,2024-11-07,485.0,-13.00,-2.61%,₱146.67M,302.70K,₱-53.78M,475.2,499.0,498.8,1.18K
17,2024-11-06,498.0,-1.00,-0.20%,₱57.50M,115.45K,₱12.53M,492.0,499.0,499.0,807
18,2024-11-05,499.0,12.00,+2.46%,₱55.96M,113.25K,₱7.83M,486.2,499.0,487.0,685
19,2024-11-04,487.0,-3.00,-0.61%,₱53.84M,110.31K,₱-14.97M,486.2,493.8,490.0,1.15K
20,2024-10-31,490.0,-10.00,-2.00%,₱75.55M,153.82K,₱445.74K,490.0,500.0,500.0,1.20K
21,2024-10-30,500.0,10.00,+2.04%,₱137.61M,276.19K,₱20.80M,488.0,500.0,488.0,1.51K
22,2024-10-29,490.0,-2.60,-0.53%,₱89.86M,182.98K,₱-1.53M,486.2,499.8,492.6,1.18K
23,2024-10-28,492.6,6.60,+1.36%,₱62.80M,128.70K,₱16.74M,483.0,492.6,486.0,1.06K
24,2024-10-25,486.0,-8.00,-1.62%,₱34.41M,70.56K,₱-287.29K,486.0,492.6,492.6,869
25,2024-10-24,494.0,-1.00,-0.20%,₱91.69M,186.04K,₱5.76M,485.4,494.0,493.0,710
26,2024-10-23,495.0,2.00,+0.41%,₱49.62M,100.89K,₱7.74M,484.0,496.6,493.0,813
27,2024-10-22,493.0,-4.60,-0.92%,₱124.96M,252.37K,₱25.17M,493.0,499.6,497.0,2.67K
28,2024-10-21,497.6,-1.80,-0.36%,₱58.32M,117.66K,₱18.63M,491.2,499.4,499.4,1.31K
29,2024-10-18,499.4,5.20,+1.05%,₱47.71M,95.75K,₱14.42M,494.0,499.8,497.8,909
