,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,1990.0,40.00,+2.05%,₱9.95K,5,₱0,1990.0,1990.0,1990.0,1
1,2024-11-28,1950.0,-50.00,-2.50%,₱67.75K,35,₱19.00K,1900.0,1950.0,1900.0,4
2,2024-11-25,2000.0,188.00,+10.38%,₱10.00K,5,₱0,2000.0,2000.0,2000.0,1
3,2024-11-21,1812.0,2.00,+0.11%,₱81.52K,45,₱0,1810.0,1812.0,1810.0,2
4,2024-11-20,1810.0,-276.00,-13.23%,₱390.95K,215,₱362.00K,1810.0,2000.0,2000.0,6
5,2024-11-19,2086.0,286.00,+15.89%,₱46.43K,25,₱0,1800.0,2086.0,1800.0,2
6,2024-11-18,1800.0,0.00,0.00%,₱549.00K,305,₱0,1800.0,1800.0,1800.0,6
7,2024-11-15,1800.0,30.00,+1.69%,₱539.45K,300,₱-180.00K,1770.0,1800.0,1770.0,5
8,2024-11-14,1770.0,2.00,+0.11%,₱17.69K,10,₱17.69K,1768.0,1770.0,1768.0,2
9,2024-11-13,1768.0,-11.00,-0.62%,₱193.68K,110,₱0,1760.0,1768.0,1760.0,2
10,2024-11-12,1779.0,39.00,+2.24%,₱17.83M,10.35K,₱17.61M,1721.0,1779.0,1721.0,6
11,2024-11-11,1740.0,0.00,0.00%,₱174.00K,100,₱174.00K,1740.0,1740.0,1740.0,2
12,2024-11-08,1740.0,40.00,+2.35%,₱51.80K,30,₱0,1700.0,1740.0,1700.0,3
13,2024-11-07,1700.0,-40.00,-2.30%,₱17.00K,10,₱-17.00K,1700.0,1700.0,1700.0,2
14,2024-11-05,1740.0,-40.00,-2.25%,₱8.70K,5,₱0,1740.0,1740.0,1740.0,1
15,2024-10-30,1780.0,180.00,+11.25%,₱44.50K,25,₱0,1780.0,1780.0,1780.0,1
16,2024-10-29,1600.0,0.00,0.00%,₱504.00K,315,₱504.00K,1600.0,1600.0,1600.0,3
17,2024-10-23,1600.0,-89.00,-5.27%,₱33.34K,20,₱8.00K,1600.0,1689.0,1689.0,3
18,2024-10-22,1689.0,89.00,+5.56%,₱16.89K,10,₱0,1689.0,1689.0,1689.0,1
19,2024-10-21,1600.0,-70.00,-4.19%,₱8.00K,5,₱8.00K,1600.0,1600.0,1600.0,1
20,2024-10-17,1670.0,-20.00,-1.18%,₱116.90K,70,₱-116.90K,1670.0,1670.0,1670.0,1
21,2024-10-16,1690.0,10.00,+0.60%,₱16.90K,10,₱-8.45K,1690.0,1690.0,1690.0,2
22,2024-10-15,1680.0,70.00,+4.35%,₱42.00K,25,₱-16.80K,1680.0,1680.0,1680.0,3
23,2024-10-14,1610.0,60.00,+3.87%,₱1.61M,1.00K,₱1.61M,1610.0,1610.0,1610.0,14
24,2024-10-11,1550.0,-50.00,-3.13%,₱171.00K,110,₱155.00K,1550.0,1600.0,1600.0,3
25,2024-10-10,1600.0,-20.00,-1.23%,₱504.10K,315,₱488.10K,1600.0,1620.0,1620.0,5
26,2024-10-09,1620.0,-10.00,-0.61%,₱16.25K,10,₱0,1620.0,1629.0,1629.0,2
27,2024-10-08,1630.0,30.00,+1.88%,₱24.30K,15,₱-16.30K,1600.0,1630.0,1600.0,2
28,2024-10-07,1600.0,50.00,+3.23%,₱1.92M,1.20K,₱1.06M,1599.0,1600.0,1599.0,11
29,2024-10-04,1550.0,-49.00,-3.06%,₱23.25K,15,₱0,1550.0,1550.0,1550.0,1
30,2024-10-03,1599.0,-1.00,-0.06%,₱8.00K,5,₱0,1599.0,1599.0,1599.0,1
31,2024-10-02,1600.0,0.00,0.00%,₱8.00K,5,₱0,1600.0,1600.0,1600.0,1
32,2024-10-01,1600.0,100.00,+6.67%,₱902.00K,585,₱871.00K,1500.0,1600.0,1500.0,15
33,2024-09-30,1500.0,0.00,0.00%,₱45.40K,30,₱0,1500.0,1550.0,1550.0,3
34,2024-09-27,1500.0,20.00,+1.35%,₱300.00K,200,₱300.00K,1500.0,1500.0,1500.0,5
35,2024-09-26,1480.0,0.00,0.00%,₱44.50K,30,₱37.00K,1480.0,1500.0,1480.0,3
