,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,26.1,-0.90,-3.33%,₱24.45M,927.90K,₱-2.24M,26.1,27.25,27.0,403
1,2024-11-27,27.0,-0.10,-0.37%,₱14.41M,531.30K,₱-231.34K,27.0,27.35,27.1,172
2,2024-11-26,27.1,-0.40,-1.45%,₱15.49M,570.10K,₱-2.44M,27.05,27.6,27.5,212
3,2024-11-25,27.5,0.30,+1.10%,₱37.86M,1.38M,₱1.73M,27.15,27.55,27.2,424
4,2024-11-22,27.2,0.05,+0.18%,₱29.58M,1.09M,₱2.41M,27.0,27.3,27.15,212
5,2024-11-21,27.15,0.65,+2.45%,₱25.95M,960.10K,₱-2.20M,26.5,27.2,26.5,432
6,2024-11-20,26.5,-0.35,-1.30%,₱66.80M,2.53M,₱15.07M,25.9,26.85,26.85,570
7,2024-11-19,26.85,-0.25,-0.92%,₱15.15M,564.50K,₱-2.89M,26.65,27.3,27.2,283
8,2024-11-18,27.1,0.90,+3.44%,₱26.22M,973.30K,₱6.09M,26.2,27.1,26.2,685
9,2024-11-15,26.2,1.05,+4.17%,₱16.31M,624.20K,₱4.30M,25.2,26.2,25.25,352
10,2024-11-14,25.15,0.15,+0.60%,₱22.25M,887.70K,₱-5.44M,24.8,25.35,25.0,382
11,2024-11-13,25.0,-1.00,-3.85%,₱53.40M,2.09M,₱10.67M,25.0,26.0,26.0,523
12,2024-11-12,26.0,-0.05,-0.19%,₱10.13M,389.70K,₱1.42M,25.8,26.15,26.05,317
13,2024-11-11,26.05,0.55,+2.16%,₱28.73M,1.11M,₱9.77M,25.5,26.2,25.5,739
14,2024-11-08,25.5,0.00,0.00%,₱33.80M,1.32M,₱2.29M,25.45,25.9,25.55,453
15,2024-11-07,25.5,-0.60,-2.30%,₱94.15M,3.70M,₱11.58M,24.5,26.1,26.1,1.50K
16,2024-11-06,26.1,-0.35,-1.32%,₱22.88M,867.10K,₱-1.92M,26.1,26.65,26.5,484
17,2024-11-05,26.45,0.20,+0.76%,₱47.38M,1.79M,₱-410.75K,26.05,26.75,26.25,664
18,2024-11-04,26.25,0.00,0.00%,₱10.92M,416.20K,₱2.55M,26.1,26.4,26.25,345
19,2024-10-31,26.25,0.70,+2.74%,₱16.64M,639.90K,₱-392.13K,25.65,26.25,25.65,413
20,2024-10-30,25.55,-0.25,-0.97%,₱28.10M,1.09M,₱-9.76M,25.55,26.0,25.8,874
21,2024-10-29,25.8,-0.60,-2.27%,₱40.48M,1.56M,₱-15.32M,25.8,26.6,26.6,997
22,2024-10-28,26.4,0.10,+0.38%,₱8.79M,333.90K,₱-1.78M,26.15,26.75,26.3,379
23,2024-10-25,26.3,0.30,+1.15%,₱8.80M,334.50K,₱3.28M,26.0,26.45,26.0,323
24,2024-10-24,26.0,-0.90,-3.35%,₱54.09M,2.07M,₱-31.70M,25.85,26.9,26.9,758
25,2024-10-23,26.9,0.00,0.00%,₱42.98M,1.60M,₱-10.85M,26.4,26.95,26.9,600
26,2024-10-22,26.9,0.65,+2.48%,₱36.26M,1.36M,₱3.11M,26.25,27.0,26.25,515
27,2024-10-21,26.25,-0.35,-1.32%,₱129.64M,4.91M,₱-3.72M,26.15,26.8,26.6,1.03K
28,2024-10-18,26.6,-0.40,-1.48%,₱162.36M,6.05M,₱-35.06M,26.6,27.25,27.1,1.06K
29,2024-10-17,27.0,-0.50,-1.82%,₱20.15M,740.30K,₱-262.94K,27.0,27.5,27.2,475
30,2024-10-16,27.5,0.50,+1.85%,₱358.75M,13.05M,₱122.39M,26.9,27.8,27.05,836
31,2024-10-15,27.0,0.05,+0.19%,₱177.89M,6.61M,₱-39.72M,26.75,27.2,26.9,1.82K
32,2024-10-14,26.95,0.05,+0.19%,₱65.46M,2.43M,₱-18.84M,26.8,27.1,26.9,994
33,2024-10-11,26.9,-0.20,-0.74%,₱57.99M,2.15M,₱-15.62M,26.85,27.1,27.1,1.06K
34,2024-10-10,27.1,-0.80,-2.87%,₱124.25M,4.59M,₱-26.49M,26.7,27.9,27.9,2.44K
35,2024-10-09,27.9,-0.10,-0.36%,₱56.23M,2.02M,₱-13.83M,27.75,28.4,28.0,1.42K
36,2024-10-08,28.0,-0.40,-1.41%,₱41.59M,1.48M,₱15.46M,27.85,28.35,28.35,935
37,2024-10-07,28.4,1.20,+4.41%,₱178.51M,6.28M,₱52.17M,27.5,28.8,27.5,2.54K
38,2024-10-04,27.2,0.00,0.00%,₱54.48M,1.99M,₱143.36K,27.0,27.65,27.2,651
39,2024-10-03,27.2,0.05,+0.18%,₱64.08M,2.35M,₱-9.00M,27.05,27.75,27.15,669
40,2024-10-02,27.15,-0.20,-0.73%,₱21.96M,808.50K,₱-1.50M,27.0,27.3,27.25,393
41,2024-10-01,27.35,0.80,+3.01%,₱44.19M,1.62M,₱3.23M,26.8,27.6,26.8,566
42,2024-09-30,26.55,0.15,+0.57%,₱55.95M,2.10M,₱8.68M,26.55,26.95,26.8,825
43,2024-09-27,26.4,0.00,0.00%,₱65.65M,2.49M,₱16.39M,26.2,26.8,26.4,1.48K
44,2024-09-26,26.4,-0.25,-0.94%,₱131.64M,4.98M,₱-1.26M,26.1,26.95,26.8,2.12K
45,2024-09-25,26.65,0.05,+0.19%,₱46.36M,1.72M,₱4.74M,26.55,27.3,26.6,1.00K
46,2024-09-24,26.6,-0.30,-1.12%,₱225.77M,8.39M,₱-2.64M,26.6,27.45,26.9,2.23K
