,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,2.58,0.10,+4.03%,₱622.69K,245.00K,₱-95.98K,2.49,2.59,2.51,36
1,2024-11-28,2.48,0.05,+2.06%,₱639.82K,266.00K,₱59.25K,2.36,2.51,2.45,42
2,2024-11-27,2.43,-0.10,-3.95%,₱109.77K,45.00K,₱0,2.43,2.5,2.5,8
3,2024-11-25,2.53,0.04,+1.61%,₱32.27K,13.00K,₱0,2.47,2.53,2.48,8
4,2024-11-22,2.49,0.02,+0.81%,₱183.02K,73.00K,₱0,2.49,2.54,2.5,17
5,2024-11-21,2.47,-0.03,-1.20%,₱591.29K,240.00K,₱-46.11K,2.43,2.5,2.5,25
6,2024-11-20,2.5,0.00,0.00%,₱82.70K,33.00K,₱0,2.47,2.59,2.5,15
7,2024-11-19,2.5,-0.02,-0.79%,₱716.21K,283.00K,₱0,2.5,2.57,2.57,30
8,2024-11-18,2.52,-0.02,-0.79%,₱186.78K,74.00K,₱0,2.5,2.55,2.55,23
9,2024-11-15,2.54,-0.02,-0.78%,₱1.70M,686.00K,₱10.77K,2.4,2.57,2.48,84
10,2024-11-14,2.56,-0.04,-1.54%,₱222.21K,89.00K,₱0,2.45,2.58,2.5,27
11,2024-11-13,2.6,0.00,0.00%,₱465.98K,185.00K,₱0,2.5,2.6,2.6,40
12,2024-11-12,2.6,-0.02,-0.76%,₱320.96K,123.00K,₱0,2.6,2.66,2.62,19
13,2024-11-11,2.62,-0.08,-2.96%,₱383.60K,146.00K,₱-2.69K,2.6,2.7,2.7,21
14,2024-11-08,2.7,0.09,+3.45%,₱471.88K,178.00K,₱0,2.64,2.7,2.64,17
15,2024-11-07,2.61,-0.09,-3.33%,₱465.43K,176.00K,₱-26.14K,2.6,2.67,2.67,28
16,2024-11-06,2.7,0.01,+0.37%,₱541.28K,202.00K,₱0,2.66,2.7,2.69,22
17,2024-11-05,2.69,0.01,+0.37%,₱359.67K,134.00K,₱-100,2.65,2.71,2.68,20
18,2024-11-04,2.68,0.01,+0.37%,₱240.83K,90.00K,₱-18.76K,2.67,2.68,2.68,24
19,2024-10-31,2.67,0.10,+3.89%,₱490.08K,185.00K,₱-44.87K,2.59,2.68,2.59,32
20,2024-10-30,2.57,-0.02,-0.77%,₱404.46K,159.00K,₱-22.96K,2.51,2.59,2.59,31
21,2024-10-29,2.59,-0.01,-0.38%,₱309.34K,122.00K,₱33.16K,2.52,2.59,2.56,29
22,2024-10-28,2.6,0.00,0.00%,₱240.64K,93.00K,₱0,2.56,2.6,2.56,20
23,2024-10-25,2.6,0.01,+0.39%,₱556.21K,216.00K,₱5.16K,2.55,2.6,2.59,31
24,2024-10-24,2.59,-0.02,-0.77%,₱540.05K,208.00K,₱-7.78K,2.58,2.61,2.61,50
25,2024-10-23,2.61,-0.01,-0.38%,₱307.22K,118.00K,₱-2.59K,2.6,2.62,2.62,27
26,2024-10-22,2.62,-0.01,-0.38%,₱632.28K,242.00K,₱5.22K,2.6,2.68,2.68,38
27,2024-10-21,2.63,-0.01,-0.38%,₱434.79K,164.00K,₱-26.80K,2.63,2.68,2.68,39
28,2024-10-18,2.64,-0.04,-1.49%,₱2.08M,789.00K,₱-2.90K,2.61,2.68,2.68,72
29,2024-10-17,2.68,0.00,0.00%,₱319.19K,119.00K,₱13.37K,2.67,2.74,2.74,24
30,2024-10-16,2.68,-0.05,-1.83%,₱1.15M,426.00K,₱-21.51K,2.68,2.75,2.73,53
31,2024-10-15,2.73,-0.01,-0.36%,₱1.59M,588.00K,₱2.74K,2.7,2.74,2.74,72
32,2024-10-14,2.74,0.00,0.00%,₱313.18K,114.00K,₱-24.66K,2.74,2.76,2.76,22
33,2024-10-11,2.74,-0.02,-0.72%,₱487.21K,176.00K,₱0,2.74,2.8,2.79,36
34,2024-10-10,2.76,-0.04,-1.43%,₱514.90K,186.00K,₱-2.80K,2.76,2.8,2.8,26
35,2024-10-09,2.8,0.01,+0.36%,₱649.91K,233.00K,₱-8.37K,2.76,2.81,2.79,32
36,2024-10-08,2.79,-0.01,-0.36%,₱1.32M,472.00K,₱-294.00K,2.72,2.8,2.8,45
37,2024-10-07,2.8,0.06,+2.19%,₱816.47K,293.00K,₱18.89K,2.71,2.81,2.74,68
38,2024-10-04,2.74,0.00,0.00%,₱1.00M,371.00K,₱2.71K,2.7,2.74,2.71,45
39,2024-10-03,2.74,-0.01,-0.36%,₱315.32K,115.00K,₱2.75K,2.71,2.75,2.75,30
40,2024-10-02,2.75,-0.01,-0.36%,₱929.89K,339.00K,₱-27.35K,2.71,2.76,2.75,35
41,2024-10-01,2.76,-0.01,-0.36%,₱900.23K,325.00K,₱-48.96K,2.72,2.78,2.72,56
42,2024-09-30,2.77,0.07,+2.59%,₱654.53K,238.00K,₱19.34K,2.71,2.78,2.78,34
43,2024-09-27,2.7,-0.04,-1.46%,₱510.44K,187.00K,₱19.10K,2.7,2.75,2.75,38
44,2024-09-26,2.74,0.04,+1.48%,₱1.06M,391.00K,₱27.30K,2.69,2.75,2.7,60
45,2024-09-25,2.7,-0.04,-1.46%,₱1.10M,409.00K,₱27.05K,2.69,2.74,2.74,61
46,2024-09-24,2.74,0.03,+1.11%,₱919.86K,338.00K,₱-24.30K,2.7,2.75,2.7,73
47,2024-09-23,2.71,-0.10,-3.56%,₱3.02M,1.10M,₱272.00K,2.7,2.82,2.81,135
48,2024-09-20,2.81,0.04,+1.44%,₱5.10M,1.80M,₱-197.24K,2.76,2.88,2.78,177
49,2024-09-19,2.77,0.07,+2.59%,₱5.52M,2.00M,₱-17.04K,2.69,2.81,2.72,191
50,2024-09-18,2.7,0.20,+8.00%,₱4.91M,1.86M,₱28.91K,2.55,2.75,2.61,196
51,2024-09-17,2.5,0.11,+4.60%,₱4.97M,1.98M,₱-929.85K,2.4,2.6,2.4,275
