,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,2.97,-0.12,-3.88%,₱13.57M,4.52M,₱-1.23M,2.96,3.09,3.09,485
1,2024-11-28,3.09,0.02,+0.65%,₱2.78M,908.00K,₱1.14M,3.04,3.09,3.07,141
2,2024-11-27,3.07,-0.03,-0.97%,₱3.74M,1.21M,₱569.99K,3.07,3.11,3.08,148
3,2024-11-26,3.1,-0.04,-1.27%,₱1.80M,578.00K,₱404.34K,3.08,3.14,3.12,66
4,2024-11-25,3.14,0.03,+0.96%,₱5.18M,1.67M,₱1.02M,3.03,3.15,3.12,165
5,2024-11-22,3.11,0.00,0.00%,₱5.55M,1.78M,₱1.40M,3.1,3.13,3.1,151
6,2024-11-21,3.11,-0.08,-2.51%,₱6.06M,1.94M,₱120.85K,3.09,3.15,3.1,248
7,2024-11-20,3.19,0.00,0.00%,₱7.35M,2.34M,₱1.82M,3.07,3.2,3.11,337
8,2024-11-19,3.19,0.09,+2.90%,₱7.36M,2.36M,₱-404.55K,3.1,3.19,3.1,309
9,2024-11-18,3.1,-0.07,-2.21%,₱8.28M,2.67M,₱-178.27K,3.08,3.23,3.2,384
10,2024-11-15,3.17,0.00,0.00%,₱7.91M,2.51M,₱-257.21K,3.09,3.23,3.17,331
11,2024-11-14,3.17,-0.15,-4.52%,₱12.29M,3.90M,₱2.40M,3.09,3.39,3.39,388
12,2024-11-13,3.32,-0.03,-0.90%,₱2.15M,649.00K,₱791.56K,3.25,3.4,3.36,145
13,2024-11-12,3.35,-0.02,-0.59%,₱1.92M,573.00K,₱414.41K,3.28,3.4,3.4,102
14,2024-11-11,3.37,-0.06,-1.75%,₱3.60M,1.07M,₱1.18M,3.35,3.43,3.43,132
15,2024-11-08,3.43,0.08,+2.39%,₱4.03M,1.19M,₱579.94K,3.35,3.43,3.36,85
16,2024-11-07,3.35,-0.06,-1.76%,₱9.14M,2.73M,₱-2.08M,3.28,3.47,3.43,281
17,2024-11-06,3.41,0.03,+0.89%,₱4.68M,1.38M,₱203.65K,3.38,3.42,3.4,120
18,2024-11-05,3.38,0.01,+0.30%,₱4.84M,1.43M,₱-1.30M,3.37,3.43,3.38,154
19,2024-11-04,3.37,-0.05,-1.46%,₱1.95M,577.00K,₱11.91K,3.33,3.43,3.43,112
20,2024-10-31,3.42,0.03,+0.88%,₱2.10M,619.00K,₱907.76K,3.32,3.43,3.43,106
21,2024-10-30,3.39,0.00,0.00%,₱2.87M,849.00K,₱1.09M,3.37,3.4,3.39,112
22,2024-10-29,3.39,-0.06,-1.74%,₱2.70M,799.00K,₱274.18K,3.32,3.45,3.45,119
23,2024-10-28,3.45,0.10,+2.99%,₱3.30M,978.00K,₱427.31K,3.35,3.45,3.37,201
24,2024-10-25,3.35,0.05,+1.52%,₱4.34M,1.30M,₱907.01K,3.3,3.36,3.36,129
