,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,0.0075,0.0000,0.00%,₱120.30K,16.00M,₱0,0.0075,0.0076,0.0076,5
1,2024-11-28,0.0075,0.0001,+1.35%,₱7.50K,1.00M,₱0,0.0075,0.0075,0.0075,1
2,2024-11-27,0.0074,-0.0001,-1.33%,₱112.30K,15.00M,₱0,0.0074,0.0075,0.0075,4
3,2024-11-26,0.0075,-0.0007,-8.54%,₱15.00K,2.00M,₱0,0.0075,0.0075,0.0075,1
4,2024-11-22,0.0082,0.0004,+5.13%,₱238.30K,29.00M,₱0,0.0082,0.0083,0.0082,5
5,2024-11-21,0.0078,0.0003,+4.00%,₱216.50K,29.00M,₱0,0.0074,0.0078,0.0075,10
6,2024-11-20,0.0075,-0.0005,-6.25%,₱90.80K,12.00M,₱8.30K,0.0075,0.0083,0.0075,3
7,2024-11-19,0.008,-0.0002,-2.44%,₱773.30K,96.00M,₱0,0.0079,0.0082,0.0082,18
8,2024-11-18,0.0082,0.0000,0.00%,₱188.90K,23.00M,₱0,0.0081,0.0084,0.0081,7
9,2024-11-15,0.0082,0.0001,+1.23%,₱32.70K,4.00M,₱0,0.0081,0.0082,0.0082,4
10,2024-11-14,0.0081,-0.0002,-2.41%,₱188.10K,23.00M,₱-114.30K,0.0081,0.0082,0.0082,9
11,2024-11-13,0.0083,-0.0001,-1.19%,₱232.50K,28.00M,₱0,0.0082,0.0085,0.0084,10
12,2024-11-12,0.0084,-0.0001,-1.18%,₱212.20K,25.00M,₱-85.00K,0.0084,0.0085,0.0085,6
13,2024-11-11,0.0085,-0.0001,-1.16%,₱637.50K,75.00M,₱0,0.0085,0.0085,0.0085,6
14,2024-11-08,0.0086,0.0000,0.00%,₱352.50K,41.00M,₱0,0.0085,0.0086,0.0086,6
15,2024-11-07,0.0086,-0.0004,-4.44%,₱77.80K,9.00M,₱0,0.0086,0.0087,0.0087,4
16,2024-11-06,0.009,-0.0003,-3.23%,₱352.80K,39.00M,₱0,0.009,0.0093,0.0093,13
17,2024-11-05,0.0093,0.0005,+5.68%,₱2.48M,271.00M,₱0,0.0088,0.0093,0.0088,46
18,2024-11-04,0.0088,0.0003,+3.53%,₱1.17M,135.00M,₱0,0.0085,0.0088,0.0085,37
