,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,9.3,0.00,0.00%,₱1.40M,151.60K,₱0,9.2,9.3,9.25,7
1,2024-11-27,9.3,0.00,0.00%,₱1.22M,131.00K,₱0,9.25,9.3,9.3,11
2,2024-11-26,9.3,0.10,+1.09%,₱1.14M,123.90K,₱0,9.2,9.3,9.2,12
3,2024-11-25,9.2,0.04,+0.44%,₱929.92K,101.20K,₱0,9.1,9.2,9.1,2
4,2024-11-22,9.16,0.10,+1.10%,₱128.64K,14.00K,₱0,9.16,9.2,9.2,2
5,2024-11-21,9.06,-0.04,-0.44%,₱33.60K,3.70K,₱0,9.06,9.1,9.1,3
6,2024-11-20,9.1,0.05,+0.55%,₱64.27K,7.10K,₱0,8.7,9.1,8.7,4
7,2024-11-19,9.05,-0.05,-0.55%,₱90.93K,10.00K,₱0,9.05,9.2,9.2,5
8,2024-11-18,9.1,-0.06,-0.66%,₱90.62K,10.00K,₱0,9.05,9.16,9.16,6
9,2024-11-15,9.16,-0.14,-1.51%,₱9.17K,1.00K,₱0,9.16,9.3,9.3,5
10,2024-11-14,9.3,0.00,0.00%,₱469.31K,51.00K,₱0,9.2,9.35,9.2,7
11,2024-11-13,9.3,0.05,+0.54%,₱979.80K,105.90K,₱0,9.2,9.3,9.25,11
12,2024-11-12,9.25,-0.05,-0.54%,₱317.76K,34.20K,₱0,9.25,9.35,9.3,12
13,2024-11-11,9.3,0.15,+1.64%,₱218.28K,23.60K,₱-3.70K,9.12,9.3,9.16,11
14,2024-11-08,9.15,0.03,+0.33%,₱1.05M,114.50K,₱0,9.15,9.3,9.3,18
15,2024-11-07,9.12,-0.18,-1.94%,₱1.27M,138.40K,₱0,9.12,9.3,9.3,15
16,2024-11-06,9.3,0.05,+0.54%,₱314.76K,34.00K,₱264.55K,9.25,9.3,9.25,9
17,2024-11-05,9.25,0.18,+1.98%,₱582.75K,63.80K,₱0,9.1,9.25,9.1,19
18,2024-11-04,9.07,-0.13,-1.41%,₱91.99K,10.10K,₱-8.15K,9.06,9.2,9.19,9
19,2024-10-31,9.2,0.00,0.00%,₱28.52K,3.10K,₱0,9.2,9.2,9.2,3
20,2024-10-30,9.2,0.01,+0.11%,₱60.69K,6.60K,₱0,9.19,9.2,9.19,6
21,2024-10-29,9.19,0.09,+0.99%,₱315.68K,34.50K,₱0,9.11,9.2,9.17,17
22,2024-10-28,9.1,0.00,0.00%,₱45.05K,5.00K,₱0,9.0,9.1,9.0,4
23,2024-10-25,9.1,-0.06,-0.66%,₱3.64K,400,₱3.64K,9.1,9.1,9.1,2
