,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,2.46,0.05,+2.07%,₱152.62K,63.00K,₱0,2.4,2.47,2.46,20
1,2024-11-28,2.41,-0.05,-2.03%,₱1.93M,798.00K,₱26.77K,2.34,2.48,2.46,69
2,2024-11-27,2.46,-0.03,-1.20%,₱483.38K,196.00K,₱-96.02K,2.46,2.49,2.49,20
3,2024-11-26,2.49,0.01,+0.40%,₱226.43K,91.00K,₱0,2.48,2.5,2.5,18
4,2024-11-25,2.48,-0.01,-0.40%,₱154.13K,62.00K,₱0,2.47,2.5,2.5,12
5,2024-11-22,2.49,0.00,0.00%,₱568.68K,229.00K,₱-2.47K,2.47,2.49,2.49,37
6,2024-11-21,2.49,0.02,+0.81%,₱279.45K,112.00K,₱0,2.46,2.51,2.48,16
7,2024-11-20,2.47,-0.02,-0.80%,₱266.28K,107.00K,₱125.00K,2.46,2.5,2.5,25
8,2024-11-19,2.49,0.01,+0.40%,₱273.73K,110.00K,₱-10.00K,2.48,2.5,2.5,32
9,2024-11-18,2.48,0.02,+0.81%,₱754.87K,304.00K,₱7.47K,2.47,2.5,2.47,34
10,2024-11-15,2.46,-0.01,-0.40%,₱2.03M,820.00K,₱2.46K,2.45,2.54,2.53,62
11,2024-11-14,2.47,-0.04,-1.59%,₱2.94M,1.19M,₱-334.25K,2.47,2.5,2.5,60
12,2024-11-13,2.51,-0.01,-0.40%,₱779.15K,311.00K,₱-112.50K,2.5,2.53,2.51,47
13,2024-11-12,2.52,-0.02,-0.79%,₱28.07M,11.05M,₱-106.73K,2.52,2.57,2.54,50
14,2024-11-11,2.54,-0.03,-1.17%,₱1.02M,399.00K,₱17.97K,2.54,2.61,2.58,36
15,2024-11-08,2.57,0.02,+0.78%,₱1.16M,453.00K,₱0,2.54,2.58,2.58,25
16,2024-11-07,2.55,-0.03,-1.16%,₱15.50M,5.97M,₱0,2.55,2.61,2.6,89
17,2024-11-06,2.58,0.03,+1.18%,₱4.22M,1.64M,₱206.40K,2.56,2.6,2.56,87
18,2024-11-05,2.55,0.05,+2.00%,₱931.62K,369.00K,₱-259.15K,2.5,2.55,2.51,54
19,2024-11-04,2.5,-0.02,-0.79%,₱804.21K,321.00K,₱-137.83K,2.5,2.54,2.54,50
20,2024-10-31,2.52,0.03,+1.20%,₱572.81K,228.00K,₱-125.91K,2.49,2.56,2.49,49
21,2024-10-30,2.49,-0.02,-0.80%,₱3.42M,1.38M,₱-166.63K,2.47,2.51,2.51,111
22,2024-10-29,2.51,-0.03,-1.18%,₱5.13M,2.04M,₱-710.82K,2.5,2.57,2.54,125
23,2024-10-28,2.54,-0.01,-0.39%,₱3.44M,1.35M,₱-1.42M,2.54,2.55,2.55,76
24,2024-10-25,2.55,-0.05,-1.92%,₱3.87M,1.51M,₱25.80K,2.54,2.62,2.6,92
25,2024-10-24,2.6,-0.02,-0.76%,₱1.62M,623.00K,₱-883.00K,2.58,2.67,2.67,62
26,2024-10-23,2.62,-0.04,-1.50%,₱2.08M,791.00K,₱-231.18K,2.62,2.66,2.65,95
27,2024-10-22,2.66,-0.01,-0.37%,₱2.30M,861.00K,₱-367.86K,2.66,2.68,2.66,84
28,2024-10-21,2.67,-0.03,-1.11%,₱1.34M,501.00K,₱0,2.66,2.74,2.7,77
29,2024-10-18,2.7,0.01,+0.37%,₱784.07K,293.00K,₱-106.80K,2.65,2.7,2.68,47
