,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,30.9,0.00,0.00%,₱23.95M,790.20K,₱761.29K,29.85,31.3,30.45,691
1,2024-11-27,30.9,-0.50,-1.59%,₱21.32M,689.30K,₱1.37M,30.25,31.55,31.25,464
2,2024-11-26,31.4,0.90,+2.95%,₱34.60M,1.11M,₱10.51M,30.4,31.7,30.6,643
3,2024-11-25,30.5,0.50,+1.67%,₱25.38M,834.70K,₱-3.75M,30.0,30.8,30.45,438
4,2024-11-22,30.0,-0.40,-1.32%,₱23.61M,787.30K,₱-914.01K,29.8,30.45,30.4,318
5,2024-11-21,30.4,0.20,+0.66%,₱24.35M,801.40K,₱5.85M,30.2,30.9,30.2,464
6,2024-11-20,30.2,0.35,+1.17%,₱37.56M,1.25M,₱8.58M,29.8,30.3,30.0,542
7,2024-11-19,29.85,-0.15,-0.50%,₱21.77M,727.90K,₱-13.64M,29.75,30.25,29.95,854
8,2024-11-18,30.0,0.60,+2.04%,₱29.71M,991.40K,₱3.79M,29.45,30.0,29.45,547
9,2024-11-15,29.4,0.10,+0.34%,₱41.84M,1.40M,₱-13.37M,29.3,30.15,29.3,780
10,2024-11-14,29.3,-0.60,-2.01%,₱29.90M,1.02M,₱3.95M,29.0,30.2,29.9,1.42K
11,2024-11-13,29.9,-1.70,-5.38%,₱41.29M,1.38M,₱-17.02M,29.5,31.6,31.6,1.42K
12,2024-11-12,31.6,-0.10,-0.32%,₱27.37M,872.20K,₱-7.37M,30.85,31.8,31.7,993
13,2024-11-11,31.7,-0.30,-0.94%,₱10.55M,333.20K,₱2.22M,31.25,32.1,32.0,445
14,2024-11-08,32.0,1.05,+3.39%,₱62.12M,1.95M,₱-21.05M,30.25,32.35,30.9,1.15K
15,2024-11-07,30.95,-0.80,-2.52%,₱59.69M,1.93M,₱-6.55M,30.25,32.0,32.0,803
16,2024-11-06,31.75,0.00,0.00%,₱9.16M,288.20K,₱917.98K,31.55,31.95,31.75,384
17,2024-11-05,31.75,0.10,+0.32%,₱24.13M,761.40K,₱-10.13M,31.5,32.35,31.65,793
18,2024-11-04,31.65,-0.95,-2.91%,₱37.87M,1.18M,₱-13.26M,31.65,32.6,32.55,859
19,2024-10-31,32.6,0.70,+2.19%,₱58.58M,1.80M,₱21.39M,31.75,32.75,31.9,1.08K
20,2024-10-30,31.9,-0.10,-0.31%,₱43.68M,1.38M,₱5.36M,31.25,32.0,32.0,1.25K
21,2024-10-29,32.0,-0.95,-2.88%,₱103.60M,3.24M,₱-14.69M,31.3,32.95,32.95,1.76K
22,2024-10-28,32.95,-0.05,-0.15%,₱35.67M,1.09M,₱7.11M,32.5,32.95,32.95,933
23,2024-10-25,33.0,0.65,+2.01%,₱150.70M,4.59M,₱20.41M,32.2,33.0,32.35,1.11K
24,2024-10-24,32.35,-0.55,-1.67%,₱16.21M,501.30K,₱148.88K,32.15,32.85,32.85,576
25,2024-10-23,32.9,0.10,+0.30%,₱7.25M,220.80K,₱2.33M,32.6,32.95,32.8,310
26,2024-10-22,32.8,-0.15,-0.46%,₱78.53M,2.40M,₱10.17M,32.25,33.2,32.8,871
27,2024-10-21,32.95,-0.05,-0.15%,₱13.28M,403.20K,₱-4.73M,32.75,33.25,33.0,386
28,2024-10-18,33.0,-0.20,-0.60%,₱142.73M,4.33M,₱256.63K,32.6,33.65,33.25,876
29,2024-10-17,33.2,-1.25,-3.63%,₱55.30M,1.65M,₱5.18M,33.2,34.3,34.3,963
30,2024-10-16,34.45,1.45,+4.39%,₱485.00M,14.17M,₱222.85M,33.0,34.45,33.0,1.29K
31,2024-10-15,33.0,0.50,+1.54%,₱98.00M,2.98M,₱-8.53M,32.3,33.2,32.3,2.17K
32,2024-10-14,32.5,0.50,+1.56%,₱58.80M,1.80M,₱-1.15M,32.0,32.85,32.0,1.59K
33,2024-10-11,32.0,-0.55,-1.69%,₱68.36M,2.13M,₱-6.52M,31.4,32.8,32.7,1.50K
34,2024-10-10,32.55,-0.25,-0.76%,₱38.88M,1.19M,₱-1.54M,32.2,33.0,32.9,911
35,2024-10-09,32.8,-0.60,-1.80%,₱49.67M,1.50M,₱5.77M,32.7,33.6,33.4,1.31K
36,2024-10-08,33.4,-0.45,-1.33%,₱111.77M,3.34M,₱34.23M,33.2,33.65,33.65,1.74K
