,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,26.15,-0.45,-1.69%,₱579.43K,22.10K,₱-66.75K,26.15,26.7,26.35,18
1,2024-11-27,26.6,-0.30,-1.12%,₱4.41M,165.70K,₱11.52K,25.95,27.0,27.0,55
2,2024-11-26,26.9,0.25,+0.94%,₱724.95K,27.00K,₱67.34K,26.55,26.95,26.55,33
3,2024-11-25,26.65,-0.30,-1.11%,₱1.54M,57.90K,₱229.07K,26.5,26.9,26.5,31
4,2024-11-22,26.95,-0.10,-0.37%,₱1.81M,67.40K,₱36.30K,26.6,27.1,27.0,33
5,2024-11-21,27.05,0.05,+0.19%,₱1.77M,65.60K,₱-102.78K,26.6,27.1,26.8,45
6,2024-11-20,27.0,0.30,+1.12%,₱353.43K,13.10K,₱0,26.7,27.0,26.7,19
7,2024-11-19,26.7,-0.45,-1.66%,₱672.38K,25.00K,₱-56.02K,26.6,27.1,27.0,29
8,2024-11-18,27.15,0.30,+1.12%,₱7.98M,296.30K,₱1.09M,26.6,27.25,26.7,75
9,2024-11-15,26.85,1.20,+4.68%,₱5.47M,207.20K,₱3.92M,25.5,26.85,25.5,75
10,2024-11-14,25.65,-0.85,-3.21%,₱19.46M,751.20K,₱4.59M,25.25,26.5,26.45,211
11,2024-11-13,26.5,-0.50,-1.85%,₱15.79M,593.50K,₱6.78M,26.4,27.0,27.0,130
12,2024-11-12,27.0,-0.10,-0.37%,₱6.96M,257.80K,₱2.39M,26.55,27.5,27.2,83
13,2024-11-11,27.1,0.15,+0.56%,₱9.60M,355.20K,₱4.49M,26.55,27.2,26.55,134
14,2024-11-08,26.95,0.00,0.00%,₱5.90M,220.30K,₱-77.89K,26.55,26.95,26.95,64
15,2024-11-07,26.95,-0.65,-2.36%,₱18.35M,680.90K,₱4.67M,26.55,28.0,28.0,239
16,2024-11-06,27.6,-0.45,-1.60%,₱20.15M,719.80K,₱-2.69M,27.6,28.25,28.1,439
17,2024-11-05,28.05,0.65,+2.37%,₱41.82M,1.51M,₱-5.79M,27.0,28.05,27.1,426
