,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,2.77,-0.02,-0.72%,₱641.10K,230.00K,₱0,2.77,2.83,2.81,25
1,2024-11-27,2.79,0.04,+1.45%,₱5.23M,1.81M,₱-407.10K,2.78,2.95,2.8,71
2,2024-11-26,2.75,-0.07,-2.48%,₱4.15M,1.49M,₱-342.12K,2.71,2.85,2.83,95
3,2024-11-25,2.82,0.04,+1.44%,₱375.09K,133.00K,₱0,2.8,2.83,2.8,14
4,2024-11-22,2.78,0.01,+0.36%,₱5.24M,1.86M,₱1.30M,2.78,2.86,2.82,72
5,2024-11-21,2.77,-0.01,-0.36%,₱1.03M,371.00K,₱-28.00K,2.77,2.8,2.8,43
6,2024-11-20,2.78,-0.02,-0.71%,₱254.79K,92.00K,₱0,2.76,2.79,2.76,14
7,2024-11-19,2.8,0.00,0.00%,₱577.67K,207.00K,₱-8.42K,2.76,2.81,2.8,25
8,2024-11-18,2.8,0.00,0.00%,₱618.51K,221.00K,₱-75.75K,2.78,2.81,2.78,29
9,2024-11-15,2.8,0.01,+0.36%,₱2.06M,736.00K,₱-1.12M,2.78,2.8,2.79,25
10,2024-11-14,2.79,-0.03,-1.06%,₱2.26M,823.00K,₱-578.88K,2.72,2.81,2.81,47
11,2024-11-13,2.82,0.07,+2.55%,₱1.05M,371.00K,₱-180.13K,2.8,2.86,2.86,32
12,2024-11-12,2.75,-0.14,-4.84%,₱19.82M,7.08M,₱6.52M,2.75,2.99,2.85,166
13,2024-11-11,2.89,-0.11,-3.67%,₱5.59M,1.91M,₱153.70K,2.86,3.01,3.0,103
14,2024-11-08,3.0,0.02,+0.67%,₱3.49M,1.15M,₱15.09K,2.98,3.08,2.98,78
15,2024-11-07,2.98,-0.17,-5.40%,₱16.29M,5.46M,₱292.04K,2.9,3.1,3.1,213
16,2024-11-06,3.15,-0.07,-2.17%,₱3.99M,1.28M,₱155.50K,3.1,3.27,3.23,76
17,2024-11-05,3.22,0.04,+1.26%,₱6.27M,1.96M,₱3.97M,3.15,3.23,3.15,68
18,2024-11-04,3.18,-0.12,-3.64%,₱7.72M,2.39M,₱333.99K,3.16,3.33,3.27,227
19,2024-10-31,3.3,-0.03,-0.90%,₱2.92M,881.00K,₱295.13K,3.28,3.35,3.32,80
20,2024-10-30,3.33,0.00,0.00%,₱7.20M,2.13M,₱505.74K,3.33,3.48,3.35,148
21,2024-10-29,3.33,0.01,+0.30%,₱2.73M,817.00K,₱102.86K,3.28,3.39,3.32,124
22,2024-10-28,3.32,-0.04,-1.19%,₱2.62M,791.00K,₱640.60K,3.29,3.36,3.31,69
23,2024-10-25,3.36,-0.02,-0.59%,₱1.58M,469.00K,₱236.00K,3.32,3.38,3.38,44
24,2024-10-24,3.38,-0.12,-3.43%,₱3.04M,891.00K,₱0,3.38,3.5,3.5,186
25,2024-10-23,3.5,0.08,+2.34%,₱27.53M,7.89M,₱6.90M,3.42,3.51,3.42,381
26,2024-10-22,3.42,0.06,+1.79%,₱15.25M,4.48M,₱3.39M,3.31,3.44,3.36,294
27,2024-10-21,3.36,0.06,+1.82%,₱13.41M,3.98M,₱3.16M,3.25,3.44,3.32,254
28,2024-10-18,3.3,0.10,+3.12%,₱32.85M,9.88M,₱783.62K,3.2,3.42,3.2,522
29,2024-10-17,3.2,0.09,+2.89%,₱7.39M,2.33M,₱959.92K,3.1,3.2,3.15,153
30,2024-10-16,3.11,0.02,+0.65%,₱5.44M,1.73M,₱-3.15K,3.07,3.18,3.07,95
31,2024-10-15,3.09,-0.01,-0.32%,₱1.50M,483.00K,₱0,3.06,3.12,3.09,34
32,2024-10-14,3.1,0.07,+2.31%,₱1.01M,324.00K,₱0,3.06,3.12,3.11,46
33,2024-10-11,3.03,-0.03,-0.98%,₱1.97M,645.00K,₱0,3.0,3.11,3.0,62
34,2024-10-10,3.06,-0.03,-0.97%,₱3.71M,1.23M,₱-895.31K,3.0,3.13,3.09,82
35,2024-10-09,3.09,-0.03,-0.96%,₱911.05K,295.00K,₱34.18K,3.07,3.12,3.12,82
36,2024-10-08,3.12,-0.01,-0.32%,₱5.60M,1.81M,₱196.38K,3.07,3.12,3.1,70
37,2024-10-07,3.13,0.00,0.00%,₱1.38M,444.00K,₱47.13K,3.1,3.15,3.1,37
38,2024-10-04,3.13,-0.03,-0.95%,₱4.02M,1.30M,₱-169.63K,3.06,3.16,3.16,90
39,2024-10-03,3.16,-0.02,-0.63%,₱5.42M,1.68M,₱436.74K,3.1,3.25,3.2,116
40,2024-10-02,3.18,0.01,+0.32%,₱6.51M,2.04M,₱3.09K,3.15,3.23,3.17,109
41,2024-10-01,3.17,-0.01,-0.31%,₱3.24M,1.04M,₱189.35K,3.08,3.18,3.18,68
42,2024-09-30,3.18,-0.01,-0.31%,₱1.83M,581.00K,₱558.06K,3.13,3.19,3.19,66
43,2024-09-27,3.19,0.14,+4.59%,₱4.11M,1.29M,₱-165.85K,3.14,3.2,3.14,118
44,2024-09-26,3.05,-0.10,-3.17%,₱7.54M,2.40M,₱530.08K,3.05,3.26,3.2,152
45,2024-09-25,3.15,0.16,+5.35%,₱61.35M,19.24M,₱385.96K,2.95,3.3,2.99,363
46,2024-09-24,2.99,0.04,+1.36%,₱2.32M,792.00K,₱-9.00K,2.91,2.99,2.95,47
47,2024-09-23,2.95,-0.04,-1.34%,₱5.47M,1.82M,₱-565.05K,2.95,3.04,3.0,70
48,2024-09-20,2.99,0.13,+4.55%,₱6.78M,2.28M,₱-86.05K,2.93,3.0,2.94,124
49,2024-09-19,2.86,0.04,+1.42%,₱4.73M,1.64M,₱258.28K,2.8,2.95,2.82,58
50,2024-09-18,2.82,-0.05,-1.74%,₱2.93M,1.02M,₱-1.01M,2.82,2.9,2.88,46
51,2024-09-17,2.87,-0.06,-2.05%,₱396.50K,137.00K,₱-11.82K,2.87,2.94,2.94,20
52,2024-09-16,2.93,0.14,+5.02%,₱8.26M,2.84M,₱61.70K,2.84,2.93,2.84,111
53,2024-09-13,2.79,0.00,0.00%,₱5.30M,1.89M,₱-543.26K,2.79,2.85,2.81,83
54,2024-09-12,2.79,0.00,0.00%,₱1.20M,429.00K,₱243.03K,2.78,2.82,2.8,36
55,2024-09-11,2.79,-0.01,-0.36%,₱237.15K,85.00K,₱-30.69K,2.79,2.79,2.79,13
56,2024-09-10,2.8,0.00,0.00%,₱1.08M,386.00K,₱-252.00K,2.75,2.82,2.8,42
57,2024-09-09,2.8,0.00,0.00%,₱637.37K,228.00K,₱0,2.73,2.8,2.74,18
58,2024-09-06,2.8,0.00,0.00%,₱1.37M,490.00K,₱0,2.73,2.82,2.8,33
59,2024-09-05,2.8,0.00,0.00%,₱1.45M,522.00K,₱-266.35K,2.69,2.81,2.8,52
60,2024-09-04,2.8,0.04,+1.45%,₱864.40K,312.00K,₱-544.14K,2.7,2.8,2.71,20
61,2024-09-03,2.76,0.06,+2.22%,₱2.17M,802.00K,₱0,2.66,2.79,2.7,35
62,2024-09-02,2.7,-0.11,-3.91%,₱3.25M,1.19M,₱83.10K,2.7,2.8,2.8,63
63,2024-08-30,2.81,0.00,0.00%,₱1.01M,356.00K,₱-132.82K,2.8,2.83,2.82,17
64,2024-08-29,2.81,-0.02,-0.71%,₱560.09K,199.00K,₱0,2.8,2.83,2.83,12
65,2024-08-28,2.83,0.01,+0.35%,₱396.94K,140.00K,₱0,2.81,2.87,2.81,24
66,2024-08-27,2.82,0.00,0.00%,₱2.74M,965.00K,₱16.92K,2.75,2.89,2.82,40
67,2024-08-22,2.82,0.00,0.00%,₱1.50M,532.00K,₱140.50K,2.81,2.83,2.81,41
68,2024-08-21,2.82,-0.04,-1.40%,₱742.31K,264.00K,₱0,2.8,2.85,2.81,20
69,2024-08-20,2.86,0.01,+0.35%,₱3.45M,1.22M,₱673.91K,2.78,2.86,2.85,65
70,2024-08-19,2.85,0.08,+2.89%,₱5.97M,2.10M,₱183.68K,2.8,2.86,2.8,100
71,2024-08-16,2.77,0.04,+1.47%,₱1.02M,371.00K,₱90.34K,2.7,2.79,2.72,56
72,2024-08-15,2.73,0.06,+2.25%,₱3.05M,1.12M,₱-1.49M,2.66,2.74,2.67,39
73,2024-08-14,2.67,0.00,0.00%,₱2.42M,908.00K,₱16.00K,2.66,2.7,2.66,27
74,2024-08-13,2.67,0.03,+1.14%,₱1.47M,551.00K,₱42.86K,2.65,2.74,2.66,26
75,2024-08-12,2.64,-0.08,-2.94%,₱894.69K,337.00K,₱0,2.64,2.73,2.73,39
76,2024-08-09,2.72,0.10,+3.82%,₱6.79M,2.50M,₱0,2.64,2.73,2.64,101
77,2024-08-08,2.62,0.02,+0.77%,₱1.66M,634.00K,₱28.93K,2.6,2.63,2.6,64
78,2024-08-07,2.6,0.00,0.00%,₱293.08K,113.00K,₱-49.40K,2.56,2.6,2.6,18
79,2024-08-06,2.6,0.02,+0.78%,₱1.02M,396.00K,₱79.82K,2.56,2.6,2.58,47
80,2024-08-05,2.58,-0.07,-2.64%,₱5.21M,2.03M,₱1.36M,2.55,2.62,2.61,91
81,2024-08-02,2.65,-0.03,-1.12%,₱1.77M,670.00K,₱-162.15K,2.62,2.68,2.68,50
82,2024-08-01,2.68,0.08,+3.08%,₱2.66M,1.00M,₱-195.47K,2.61,2.7,2.64,117
83,2024-07-31,2.6,0.00,0.00%,₱1.49M,573.00K,₱254.54K,2.56,2.64,2.56,48
84,2024-07-30,2.6,0.01,+0.39%,₱1.83M,704.00K,₱-110.87K,2.57,2.63,2.6,59
85,2024-07-29,2.59,-0.09,-3.36%,₱4.34M,1.66M,₱-109.59K,2.51,2.7,2.7,135
86,2024-07-26,2.68,0.01,+0.37%,₱1.75M,658.00K,₱-929.72K,2.65,2.68,2.65,64
87,2024-07-25,2.67,-0.08,-2.91%,₱10.84M,4.05M,₱-2.82M,2.65,2.75,2.75,185
