,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,23.2,-0.80,-3.33%,₱649.16K,27.40K,₱0,23.2,24.0,23.95,14
1,2024-11-28,24.0,0.00,0.00%,₱333.36K,13.90K,₱0,23.0,24.8,24.8,9
2,2024-11-27,24.0,0.85,+3.67%,₱1.57M,67.70K,₱0,23.0,24.9,24.9,28
3,2024-11-26,23.15,-1.25,-5.12%,₱1.87M,77.80K,₱0,23.15,24.3,24.25,16
4,2024-11-25,24.4,-0.40,-1.61%,₱512.32K,21.00K,₱0,24.3,24.95,24.95,6
5,2024-11-21,24.8,0.00,0.00%,₱2.78M,112.00K,₱0,24.8,24.85,24.85,12
6,2024-11-20,24.8,-0.20,-0.80%,₱109.50K,4.40K,₱0,24.8,25.0,25.0,11
7,2024-11-19,25.0,0.00,0.00%,₱257.51K,10.30K,₱0,25.0,25.05,25.0,15
8,2024-11-18,25.0,-1.30,-4.94%,₱1.35M,53.80K,₱0,25.0,25.05,25.05,25
9,2024-11-15,26.3,1.25,+4.99%,₱51.30K,2.00K,₱0,25.1,26.4,26.4,5
10,2024-11-14,25.05,-1.25,-4.75%,₱172.58K,6.60K,₱0,25.05,26.3,26.3,10
11,2024-11-13,26.3,0.25,+0.96%,₱1.85M,71.20K,₱0,26.05,26.3,26.05,6
12,2024-11-12,26.05,-0.35,-1.33%,₱2.62M,100.50K,₱0,26.05,26.3,26.05,10
13,2024-11-11,26.4,0.00,0.00%,₱2.64K,100,₱0,26.4,26.4,26.4,1
14,2024-11-08,26.4,0.40,+1.54%,₱2.79M,106.50K,₱0,26.0,26.6,26.6,13
15,2024-11-07,26.0,-0.10,-0.38%,₱1.82M,70.10K,₱0,25.8,26.1,26.1,21
16,2024-11-06,26.1,-0.75,-2.79%,₱83.64K,3.20K,₱-13.07K,26.1,26.75,26.2,8
17,2024-11-05,26.85,0.45,+1.70%,₱4.18M,158.20K,₱-66.75K,26.4,26.9,26.4,26
18,2024-11-04,26.4,-0.50,-1.86%,₱3.44M,130.20K,₱0,26.4,26.8,26.4,17
19,2024-10-31,26.9,0.00,0.00%,₱2.69K,100,₱0,26.9,26.9,26.9,1
20,2024-10-30,26.9,0.30,+1.13%,₱126.45K,4.70K,₱0,26.9,26.95,26.95,15
21,2024-10-29,26.6,-0.25,-0.93%,₱1.45M,55.00K,₱-1.18M,26.3,26.6,26.3,10
22,2024-10-25,26.85,0.05,+0.19%,₱235.98K,8.80K,₱-67.13K,26.5,26.9,26.5,11
23,2024-10-24,26.8,0.60,+2.29%,₱354.42K,13.50K,₱0,26.2,26.8,26.25,12
24,2024-10-23,26.2,0.05,+0.19%,₱1.72M,65.70K,₱0,26.2,26.2,26.2,14
25,2024-10-22,26.15,-0.75,-2.79%,₱2.13M,81.40K,₱0,26.0,27.05,27.05,23
26,2024-10-21,26.9,-0.10,-0.37%,₱383.47K,14.50K,₱0,26.3,26.9,26.35,12
27,2024-10-18,27.0,0.85,+3.25%,₱380.30K,14.10K,₱0,26.2,27.05,26.2,12
28,2024-10-17,26.15,-0.35,-1.32%,₱2.12M,79.20K,₱-67.50K,26.15,27.05,27.05,33
29,2024-10-16,26.5,-0.10,-0.38%,₱462.46K,17.20K,₱-268.70K,26.4,27.0,26.5,12
30,2024-10-15,26.6,-0.40,-1.48%,₱336.00K,12.60K,₱0,26.6,27.0,27.0,11
31,2024-10-14,27.0,0.80,+3.05%,₱3.76M,139.10K,₱-134.91K,26.15,27.85,26.7,44
32,2024-10-11,26.2,-0.15,-0.57%,₱1.30M,49.90K,₱0,26.0,26.35,26.35,27
33,2024-10-10,26.35,0.00,0.00%,₱917.54K,34.70K,₱0,26.2,26.75,26.2,10
34,2024-10-09,26.35,-0.45,-1.68%,₱1.42M,53.00K,₱0,26.3,26.95,26.8,25
