,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,3.9,0.10,+2.63%,₱144.16K,37.00K,₱0,3.82,3.9,3.82,15
1,2024-11-28,3.8,0.00,0.00%,₱275.40K,72.00K,₱0,3.78,3.9,3.8,20
2,2024-11-27,3.8,-0.10,-2.56%,₱16.00M,4.32M,₱-15.74M,3.7,3.9,3.9,61
3,2024-11-26,3.9,0.00,0.00%,₱46.60K,12.00K,₱0,3.86,3.9,3.86,5
4,2024-11-25,3.9,0.01,+0.26%,₱274.96K,71.00K,₱0,3.82,3.9,3.9,19
5,2024-11-22,3.89,-0.01,-0.26%,₱574.79K,148.00K,₱-390.00K,3.81,3.9,3.9,17
6,2024-11-21,3.9,0.02,+0.52%,₱116.22K,30.00K,₱54.30K,3.81,3.96,3.81,13
7,2024-11-20,3.88,-0.10,-2.51%,₱86.36K,22.00K,₱0,3.88,3.98,3.91,9
8,2024-11-19,3.98,0.10,+2.58%,₱617.39K,158.00K,₱-26.21K,3.8,3.98,3.88,35
9,2024-11-18,3.88,0.00,0.00%,₱159.74K,41.00K,₱-50.58K,3.88,3.9,3.9,19
10,2024-11-15,3.88,0.08,+2.11%,₱865.49K,225.00K,₱-515.42K,3.76,3.89,3.89,38
11,2024-11-14,3.8,-0.08,-2.06%,₱1.96M,521.00K,₱-1.49K,3.74,3.9,3.84,44
12,2024-11-13,3.88,0.09,+2.37%,₱2.40M,640.00K,₱754.27K,3.72,3.88,3.88,68
13,2024-11-12,3.79,-0.02,-0.52%,₱1.76M,462.00K,₱-1.47M,3.79,3.89,3.82,68
14,2024-11-11,3.81,-0.04,-1.04%,₱705.68K,184.00K,₱0,3.81,3.87,3.87,19
15,2024-11-08,3.85,0.00,0.00%,₱653.73K,171.00K,₱-516.62K,3.8,3.87,3.85,39
16,2024-11-07,3.85,-0.04,-1.03%,₱831.93K,217.00K,₱-407.71K,3.81,3.9,3.85,28
17,2024-11-06,3.89,0.00,0.00%,₱750.02K,193.00K,₱-521.03K,3.87,3.89,3.89,37
18,2024-11-05,3.89,-0.15,-3.71%,₱275.29K,71.00K,₱-3.96K,3.75,4.0,4.0,31
19,2024-11-04,4.04,0.04,+1.00%,₱4.43M,1.10M,₱-3.21M,4.0,4.04,4.03,112
20,2024-10-31,4.0,0.05,+1.27%,₱3.51M,879.00K,₱-2.57M,3.95,4.0,3.98,85
21,2024-10-30,3.95,0.00,0.00%,₱8.34M,2.11M,₱-8.14M,3.95,3.96,3.95,77
22,2024-10-29,3.95,0.00,0.00%,₱5.01M,1.27M,₱-4.50M,3.93,3.99,3.99,82
23,2024-10-28,3.95,0.00,0.00%,₱2.15M,545.00K,₱-1.87M,3.93,3.99,3.95,61
24,2024-10-25,3.95,0.00,0.00%,₱3.74M,947.00K,₱-3.51M,3.94,3.97,3.94,55
25,2024-10-24,3.95,0.00,0.00%,₱5.10M,1.29M,₱-4.30M,3.91,3.96,3.95,72
26,2024-10-23,3.95,0.11,+2.86%,₱7.52M,1.92M,₱-5.19M,3.88,3.97,3.88,189
27,2024-10-22,3.84,0.06,+1.59%,₱303.26K,79.00K,₱0,3.8,3.85,3.85,12
28,2024-10-21,3.78,0.03,+0.80%,₱172.12K,45.00K,₱7.56K,3.78,3.85,3.85,19
