,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,13.16,-0.44,-3.24%,₱84.28M,6.37M,₱-23.66M,13.04,13.6,13.6,1.28K
1,2024-11-27,13.6,-0.26,-1.88%,₱24.47M,1.79M,₱-581.26K,13.58,13.8,13.8,439
2,2024-11-26,13.86,-0.04,-0.29%,₱8.60M,621.20K,₱-1.10M,13.76,13.9,13.88,362
3,2024-11-25,13.9,0.24,+1.76%,₱26.05M,1.89M,₱1.37M,13.56,13.9,13.66,362
4,2024-11-22,13.66,-0.02,-0.15%,₱16.21M,1.19M,₱-5.24M,13.6,13.7,13.7,476
5,2024-11-21,13.68,-0.12,-0.87%,₱33.36M,2.43M,₱-14.18M,13.66,13.86,13.82,777
6,2024-11-20,13.8,0.00,0.00%,₱39.84M,2.88M,₱-18.16M,13.78,13.88,13.82,493
7,2024-11-19,13.8,0.10,+0.73%,₱44.34M,3.21M,₱-23.46M,13.78,13.9,13.78,495
8,2024-11-18,13.7,-0.04,-0.29%,₱40.23M,2.92M,₱1.87M,13.68,14.04,13.84,546
9,2024-11-15,13.74,0.10,+0.73%,₱33.11M,2.40M,₱-14.50M,13.7,14.0,13.7,1.06K
10,2024-11-14,13.64,-0.74,-5.15%,₱94.14M,6.81M,₱-56.72M,13.6,14.5,14.44,1.05K
11,2024-11-13,14.38,-0.02,-0.14%,₱25.46M,1.77M,₱-20.42M,14.34,14.7,14.42,521
12,2024-11-12,14.4,-0.48,-3.23%,₱29.29M,2.02M,₱-24.54M,14.3,14.8,14.64,486
13,2024-11-11,14.88,0.04,+0.27%,₱13.29M,901.90K,₱-377.15K,14.6,14.88,14.84,596
14,2024-11-08,14.84,-0.16,-1.07%,₱10.75M,724.90K,₱-1.34M,14.68,15.1,15.0,549
15,2024-11-07,15.0,-0.50,-3.23%,₱63.57M,4.28M,₱-14.43M,14.42,15.5,15.4,1.89K
16,2024-11-06,15.5,0.00,0.00%,₱7.13M,459.50K,₱-858.49K,15.46,15.8,15.8,313
17,2024-11-05,15.5,0.10,+0.65%,₱35.50M,2.30M,₱508.85K,15.3,15.58,15.4,350
18,2024-11-04,15.4,0.02,+0.13%,₱13.63M,890.00K,₱-1.35M,15.1,15.76,15.38,540
19,2024-10-31,15.38,-0.24,-1.54%,₱11.62M,751.50K,₱-5.94M,15.38,15.88,15.88,545
20,2024-10-30,15.62,-0.18,-1.14%,₱11.36M,728.40K,₱-3.00M,15.4,15.82,15.82,376
21,2024-10-29,15.8,-0.20,-1.25%,₱45.00M,2.85M,₱-4.93M,15.74,16.08,16.08,677
22,2024-10-28,16.0,0.10,+0.63%,₱9.06M,566.60K,₱2.85M,15.92,16.02,15.92,216
23,2024-10-25,15.9,-0.12,-0.75%,₱17.41M,1.09M,₱-5.31M,15.88,16.12,16.0,561
24,2024-10-24,16.02,-0.08,-0.50%,₱22.98M,1.44M,₱1.49M,15.84,16.12,16.1,286
25,2024-10-23,16.1,0.06,+0.37%,₱68.15M,4.22M,₱19.95M,16.0,16.22,16.04,594
26,2024-10-22,16.04,-0.08,-0.50%,₱24.76M,1.54M,₱-6.92M,15.92,16.24,16.1,440
27,2024-10-21,16.12,-0.20,-1.23%,₱21.05M,1.30M,₱-3.42M,16.08,16.36,16.3,516
28,2024-10-18,16.32,0.06,+0.37%,₱19.80M,1.22M,₱-250.54K,16.1,16.36,16.26,384
29,2024-10-17,16.26,-0.48,-2.87%,₱90.36M,5.48M,₱3.25M,16.26,16.66,16.5,894
30,2024-10-16,16.74,0.74,+4.62%,₱436.32M,26.42M,₱88.70M,15.92,16.74,15.98,1.26K
31,2024-10-15,16.0,0.04,+0.25%,₱67.94M,4.25M,₱-44.08M,15.9,16.06,15.92,888
32,2024-10-14,15.96,0.10,+0.63%,₱20.69M,1.29M,₱-1.59M,15.8,16.06,15.86,722
33,2024-10-11,15.86,-0.14,-0.88%,₱16.63M,1.05M,₱5.92M,15.74,16.1,16.0,1.01K
34,2024-10-10,16.0,0.00,0.00%,₱9.11M,570.10K,₱474.11K,15.92,16.12,16.1,513
35,2024-10-09,16.0,0.10,+0.63%,₱40.51M,2.53M,₱6.87M,15.9,16.06,15.9,827
36,2024-10-08,15.9,-0.20,-1.24%,₱34.46M,2.15M,₱-5.96M,15.9,16.14,16.1,686
37,2024-10-07,16.1,0.34,+2.16%,₱126.22M,7.82M,₱3.19M,15.82,16.28,15.84,2.51K
38,2024-10-04,15.76,0.10,+0.64%,₱36.53M,2.32M,₱-9.46M,15.7,15.84,15.8,597
39,2024-10-03,15.66,0.06,+0.38%,₱38.66M,2.46M,₱-4.53M,15.62,15.84,15.62,698
40,2024-10-02,15.6,0.04,+0.26%,₱47.65M,3.05M,₱5.75M,15.5,15.7,15.56,484
41,2024-10-01,15.56,-0.16,-1.02%,₱55.63M,3.56M,₱-1.92M,15.5,15.8,15.7,802
42,2024-09-30,15.72,-0.20,-1.26%,₱24.91M,1.58M,₱-6.90M,15.6,15.94,15.94,635
43,2024-09-27,15.92,-0.18,-1.12%,₱27.97M,1.74M,₱-7.07M,15.92,16.26,16.1,648
44,2024-09-26,16.1,0.24,+1.51%,₱56.41M,3.53M,₱-489.28K,15.8,16.16,15.8,805
45,2024-09-25,15.86,-0.20,-1.25%,₱31.25M,1.97M,₱-12.48M,15.7,16.14,16.06,739
46,2024-09-24,16.06,0.10,+0.63%,₱87.15M,5.42M,₱-52.20M,15.88,16.46,15.98,955
47,2024-09-23,15.96,0.26,+1.66%,₱47.55M,2.98M,₱-12.58M,15.8,16.06,15.8,826
48,2024-09-20,15.7,-0.20,-1.26%,₱57.13M,3.59M,₱-29.89M,15.7,16.12,15.98,653
49,2024-09-19,15.9,-0.18,-1.12%,₱32.58M,2.04M,₱-6.52M,15.82,16.1,16.0,684
50,2024-09-18,16.08,0.48,+3.08%,₱60.95M,3.83M,₱18.80M,15.52,16.08,15.6,1.01K
51,2024-09-17,15.6,0.50,+3.31%,₱64.30M,4.16M,₱-17.00M,15.08,15.62,15.14,1.14K
52,2024-09-16,15.1,-0.16,-1.05%,₱8.47M,560.60K,₱-3.08M,15.04,15.26,15.26,284
53,2024-09-13,15.26,0.06,+0.39%,₱13.46M,885.30K,₱-360.88K,15.1,15.26,15.14,507
54,2024-09-12,15.2,0.16,+1.06%,₱12.97M,854.40K,₱427.80K,15.06,15.28,15.16,461
55,2024-09-11,15.04,-0.18,-1.18%,₱12.89M,850.30K,₱-3.04M,15.02,15.28,15.24,380
56,2024-09-10,15.22,0.50,+3.40%,₱45.64M,3.02M,₱8.71M,14.8,15.3,14.84,669
57,2024-09-09,14.72,-0.16,-1.08%,₱30.90M,2.11M,₱-11.22M,14.5,14.86,14.62,703
