,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,35.8,-0.40,-1.10%,₱8.93M,248.80K,₱-5.06M,35.75,36.55,36.15,291
1,2024-11-27,36.2,-0.20,-0.55%,₱10.38M,285.90K,₱-5.16M,36.15,36.6,36.5,317
2,2024-11-26,36.4,0.50,+1.39%,₱5.94M,162.40K,₱-2.12M,36.0,37.0,36.0,155
3,2024-11-25,35.9,-0.80,-2.18%,₱32.52M,901.90K,₱-22.98M,35.9,37.3,36.8,315
4,2024-11-22,36.7,0.20,+0.55%,₱3.14M,85.70K,₱-555.65K,36.5,37.2,36.9,129
5,2024-11-21,36.5,0.00,0.00%,₱9.49M,259.30K,₱-6.24M,36.3,37.15,36.5,260
6,2024-11-20,36.5,-0.90,-2.41%,₱5.71M,155.90K,₱621.14K,36.2,37.7,37.7,157
7,2024-11-19,37.4,0.40,+1.08%,₱7.42M,198.20K,₱-2.61M,37.0,37.6,37.0,180
8,2024-11-18,37.0,-0.30,-0.80%,₱9.49M,254.40K,₱-4.10M,36.85,37.65,37.3,300
9,2024-11-15,37.3,0.80,+2.19%,₱7.82M,211.80K,₱1.72M,36.7,37.3,37.1,171
10,2024-11-14,36.5,-0.80,-2.14%,₱21.80M,593.60K,₱-10.46M,36.0,37.5,37.1,286
11,2024-11-13,37.3,-0.20,-0.53%,₱8.08M,218.00K,₱-410.40K,36.6,37.9,37.9,201
12,2024-11-12,37.5,-0.10,-0.27%,₱5.14M,136.90K,₱-2.06M,37.35,37.75,37.7,176
13,2024-11-11,37.6,0.90,+2.45%,₱4.75M,127.30K,₱-252.07K,36.7,37.6,36.7,195
14,2024-11-08,36.7,-0.10,-0.27%,₱15.98M,434.50K,₱-12.20M,36.6,36.95,36.8,399
15,2024-11-07,36.8,-1.00,-2.65%,₱29.86M,810.00K,₱-11.80M,36.0,38.15,37.75,671
16,2024-11-06,37.8,-0.60,-1.56%,₱15.79M,417.50K,₱-6.58M,37.5,38.5,38.5,359
17,2024-11-05,38.4,0.10,+0.26%,₱11.09M,289.30K,₱-7.46M,38.25,38.45,38.4,317
18,2024-11-04,38.3,-0.70,-1.79%,₱11.46M,297.60K,₱-5.96M,38.3,39.0,39.0,443
19,2024-10-31,39.0,0.55,+1.43%,₱5.24M,134.50K,₱-1.47M,38.4,39.9,38.4,172
20,2024-10-30,38.45,-0.30,-0.77%,₱11.26M,291.30K,₱-7.40M,38.4,39.8,38.75,264
21,2024-10-29,38.75,-0.85,-2.15%,₱24.12M,620.00K,₱-13.14M,38.45,39.65,39.65,563
22,2024-10-28,39.6,0.20,+0.51%,₱6.21M,157.30K,₱-4.06M,39.35,39.6,39.45,221
23,2024-10-25,39.4,0.30,+0.77%,₱4.71M,119.20K,₱-2.64M,39.15,40.25,39.15,148
24,2024-10-24,39.1,-0.55,-1.39%,₱17.80M,452.40K,₱-7.93M,39.0,39.85,39.7,401
25,2024-10-23,39.65,-0.50,-1.25%,₱17.99M,450.90K,₱-7.34M,39.65,40.4,40.2,497
26,2024-10-22,40.15,0.15,+0.37%,₱7.09M,175.50K,₱-3.38M,40.0,40.7,40.7,253
