,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,32.0,0.00,0.00%,₱25.07M,785.50K,₱1.75M,31.75,32.0,32.0,269
1,2024-11-27,32.0,0.00,0.00%,₱40.55M,1.27M,₱8.59M,31.8,32.1,32.05,376
2,2024-11-26,32.0,0.15,+0.47%,₱53.86M,1.68M,₱-2.63M,31.9,32.15,32.0,451
3,2024-11-25,31.85,0.10,+0.31%,₱65.96M,2.07M,₱21.61M,31.75,32.0,31.75,670
4,2024-11-22,31.75,0.00,0.00%,₱47.69M,1.50M,₱10.13M,31.6,32.0,31.8,527
5,2024-11-21,31.75,-0.15,-0.47%,₱138.37M,4.35M,₱35.18M,31.7,32.0,31.95,680
6,2024-11-20,31.9,-0.10,-0.31%,₱43.19M,1.36M,₱-9.19M,31.65,32.5,32.0,643
7,2024-11-19,32.0,0.25,+0.79%,₱48.20M,1.51M,₱5.57M,31.8,32.1,31.9,644
8,2024-11-18,31.75,0.05,+0.16%,₱43.73M,1.37M,₱-10.71M,31.7,32.0,31.8,733
9,2024-11-15,31.7,0.50,+1.60%,₱64.33M,2.03M,₱4.24M,31.25,31.95,31.25,991
10,2024-11-14,31.2,-0.40,-1.27%,₱62.03M,1.98M,₱5.17M,31.2,31.75,31.65,755
11,2024-11-13,31.6,-0.15,-0.47%,₱40.00M,1.27M,₱6.92M,31.45,31.75,31.75,565
12,2024-11-12,31.75,-0.10,-0.31%,₱55.57M,1.76M,₱-1.70M,31.35,31.85,31.85,710
13,2024-11-11,31.85,-0.05,-0.16%,₱56.86M,1.79M,₱-14.23M,31.65,32.0,32.0,586
14,2024-11-08,31.9,-0.05,-0.16%,₱51.87M,1.62M,₱-4.44M,31.8,32.25,32.25,509
15,2024-11-07,31.95,-0.25,-0.78%,₱52.94M,1.66M,₱-1.79M,31.85,32.45,32.25,600
16,2024-11-06,32.2,-0.70,-2.13%,₱27.41M,845.70K,₱1.91M,32.15,32.95,32.95,546
17,2024-11-05,32.9,0.50,+1.54%,₱33.84M,1.03M,₱19.89M,32.5,32.9,32.5,681
18,2024-11-04,32.4,-0.10,-0.31%,₱34.96M,1.07M,₱8.34M,32.4,32.75,32.55,655
19,2024-10-31,32.5,0.65,+2.04%,₱53.13M,1.65M,₱15.82M,31.85,32.5,32.0,568
20,2024-10-30,31.85,-0.10,-0.31%,₱39.50M,1.25M,₱-305.45K,31.45,31.85,31.85,668
21,2024-10-29,31.95,-0.20,-0.62%,₱89.87M,2.81M,₱-29.98M,31.55,32.45,32.2,1.11K
22,2024-10-28,32.15,-1.50,-4.46%,₱132.78M,4.15M,₱-15.09M,31.05,32.35,31.2,1.84K
23,2024-10-25,33.65,-0.10,-0.30%,₱160.45M,4.74M,₱-22.38M,33.65,34.2,33.95,1.32K
24,2024-10-24,33.75,-0.50,-1.46%,₱149.92M,4.43M,₱-12.95M,33.6,34.25,34.25,1.08K
25,2024-10-23,34.25,0.25,+0.74%,₱67.69M,1.98M,₱-10.22M,34.0,34.4,34.2,558
26,2024-10-22,34.0,-0.10,-0.29%,₱86.80M,2.55M,₱3.15M,33.95,34.4,34.4,1.09K
27,2024-10-21,34.1,-0.30,-0.87%,₱89.93M,2.62M,₱-25.84M,34.1,34.6,34.5,987
28,2024-10-18,34.4,0.20,+0.58%,₱81.12M,2.36M,₱2.75M,34.3,34.5,34.45,940
29,2024-10-17,34.2,0.20,+0.59%,₱153.77M,4.46M,₱-905.40K,34.2,34.8,34.35,1.33K
30,2024-10-16,34.0,0.00,0.00%,₱238.09M,6.96M,₱-34.24M,34.0,34.65,34.45,1.85K
31,2024-10-15,34.0,-0.25,-0.73%,₱179.31M,5.23M,₱14.98M,34.0,34.8,34.3,1.76K
32,2024-10-14,34.25,0.25,+0.74%,₱55.39M,1.62M,₱-6.94M,34.0,34.35,34.05,562
33,2024-10-11,34.0,0.00,0.00%,₱35.24M,1.04M,₱-608.80K,33.9,34.2,34.0,687
34,2024-10-10,34.0,-0.05,-0.15%,₱32.57M,956.60K,₱852.50K,33.9,34.35,34.2,563
35,2024-10-09,34.05,-0.30,-0.87%,₱16.96M,496.50K,₱-1.35M,34.0,34.45,34.35,462
36,2024-10-08,34.35,-0.05,-0.15%,₱25.29M,735.70K,₱4.82K,34.25,34.45,34.4,476
37,2024-10-07,34.4,0.65,+1.93%,₱81.38M,2.37M,₱32.41M,33.7,34.5,33.7,1.44K
38,2024-10-04,33.75,0.10,+0.30%,₱35.29M,1.04M,₱-5.12M,33.6,34.1,33.65,591
39,2024-10-03,33.65,0.15,+0.45%,₱14.97M,445.10K,₱-619.03K,33.45,33.8,33.8,435
40,2024-10-02,33.5,-0.30,-0.89%,₱9.49M,282.20K,₱-3.13M,33.45,33.8,33.45,361
