,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,85.5,1.65,+1.97%,₱7.56M,89.41K,₱-2.93M,83.0,85.5,83.85,249
1,2024-11-27,83.85,-2.70,-3.12%,₱8.22M,97.52K,₱-2.04M,83.5,86.5,86.3,150
2,2024-11-26,86.55,-2.45,-2.75%,₱5.75M,66.03K,₱-2.12M,86.15,88.25,88.2,289
3,2024-11-25,89.0,4.50,+5.33%,₱72.08M,819.51K,₱36.48M,84.55,89.0,84.65,796
4,2024-11-22,84.5,0.50,+0.60%,₱14.67M,173.58K,₱5.62M,83.6,84.9,84.0,302
5,2024-11-21,84.0,-1.00,-1.18%,₱34.32M,406.32K,₱3.45M,83.55,85.15,85.0,647
6,2024-11-20,85.0,0.35,+0.41%,₱71.01M,831.68K,₱-26.29M,84.0,87.0,84.0,2.11K
7,2024-11-19,84.65,2.65,+3.23%,₱34.51M,413.13K,₱-6.06M,82.5,84.9,82.8,1.16K
8,2024-11-18,82.0,1.00,+1.23%,₱24.37M,298.26K,₱-7.38M,81.0,82.3,82.0,1.18K
9,2024-11-15,81.0,1.00,+1.25%,₱107.08M,1.32M,₱-22.58M,79.6,82.2,80.0,1.55K
10,2024-11-14,80.0,0.90,+1.14%,₱38.86M,491.71K,₱-12.03M,77.5,82.8,79.1,1.79K
11,2024-11-13,79.1,-0.95,-1.19%,₱36.76M,468.97K,₱-7.44M,75.85,80.95,80.9,843
12,2024-11-12,80.05,-6.45,-7.46%,₱85.50M,1.06M,₱-55.32M,80.0,85.95,85.0,1.65K
13,2024-11-11,86.5,0.50,+0.58%,₱31.37M,367.37K,₱-42.73K,84.65,87.0,86.5,1.49K
14,2024-11-08,86.0,-1.15,-1.32%,₱35.62M,417.18K,₱-8.97M,84.5,87.15,87.15,1.05K
15,2024-11-07,87.15,-4.85,-5.27%,₱48.10M,545.44K,₱-15.58M,87.0,92.1,92.1,889
16,2024-11-06,92.0,0.20,+0.22%,₱48.05M,522.21K,₱18.05M,91.9,92.5,91.9,737
17,2024-11-05,91.8,0.10,+0.11%,₱20.59M,224.41K,₱1.16M,91.3,92.05,91.7,404
18,2024-11-04,91.7,-0.35,-0.38%,₱3.43M,37.31K,₱-723.30K,91.5,92.5,92.5,198
19,2024-10-31,92.05,-0.90,-0.97%,₱22.86M,248.58K,₱-10.81M,91.2,93.0,93.0,656
20,2024-10-30,92.95,0.95,+1.03%,₱4.93M,53.43K,₱-550.28K,91.75,94.05,92.0,307
21,2024-10-29,92.0,-2.05,-2.18%,₱38.45M,417.28K,₱-12.31M,91.8,94.5,94.0,944
22,2024-10-28,94.05,0.75,+0.80%,₱4.65M,49.72K,₱-1.41M,92.0,94.05,92.0,199
23,2024-10-25,93.3,0.80,+0.86%,₱26.91M,290.35K,₱-14.60M,91.8,95.0,92.5,590
24,2024-10-24,92.5,-2.50,-2.63%,₱16.82M,181.25K,₱-3.22M,92.2,95.85,95.85,516
25,2024-10-23,95.0,0.50,+0.53%,₱4.38M,46.26K,₱-1.03M,94.0,95.8,94.55,247
26,2024-10-22,94.5,-1.40,-1.46%,₱23.43M,247.62K,₱-6.59M,94.2,95.85,95.85,746
27,2024-10-21,95.9,-1.70,-1.74%,₱26.10M,270.56K,₱-8.10M,95.55,97.5,97.5,591
28,2024-10-18,97.6,-1.55,-1.56%,₱12.79M,130.36K,₱-2.35M,97.55,99.3,99.15,445
29,2024-10-17,99.15,2.15,+2.22%,₱251.04M,2.53M,₱14.49M,97.0,99.3,97.0,1.20K
30,2024-10-16,97.0,-1.20,-1.22%,₱80.49M,823.90K,₱-24.68M,96.15,98.9,97.8,1.74K
31,2024-10-15,98.2,4.20,+4.47%,₱215.64M,2.22M,₱78.19M,94.0,98.2,94.0,2.78K
32,2024-10-14,94.0,-0.20,-0.21%,₱34.42M,366.87K,₱-8.96M,92.35,94.3,94.0,549
33,2024-10-11,94.2,-0.70,-0.74%,₱38.20M,409.32K,₱8.58M,91.6,94.5,94.5,977
34,2024-10-10,94.9,3.90,+4.29%,₱79.38M,842.48K,₱15.40M,91.0,94.95,91.0,1.55K
35,2024-10-09,91.0,-4.30,-4.51%,₱172.35M,1.87M,₱-40.55M,90.75,95.3,95.25,2.38K
36,2024-10-08,95.3,-3.40,-3.44%,₱73.48M,765.34K,₱-2.33M,95.1,98.0,98.0,1.08K
