,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,3.89,0.04,+1.04%,₱46.69K,12.00K,₱0,3.85,3.9,3.9,11
1,2024-11-28,3.85,-0.05,-1.28%,₱2.56M,670.00K,₱995.66K,3.8,3.87,3.87,44
2,2024-11-27,3.9,-0.04,-1.02%,₱7.84K,2.00K,₱0,3.9,3.94,3.94,2
3,2024-11-26,3.94,-0.01,-0.25%,₱39.24K,10.00K,₱-23.64K,3.9,3.94,3.9,6
4,2024-11-25,3.95,0.03,+0.77%,₱177.61K,45.00K,₱0,3.9,3.95,3.9,10
5,2024-11-22,3.92,0.01,+0.26%,₱450.27K,115.00K,₱-31.28K,3.91,3.92,3.92,17
6,2024-11-21,3.91,-0.05,-1.26%,₱225.68K,58.00K,₱0,3.87,3.98,3.97,13
7,2024-11-20,3.96,0.01,+0.25%,₱547.42K,139.00K,₱7.80K,3.86,3.97,3.92,16
8,2024-11-19,3.95,0.00,0.00%,₱7.90K,2.00K,₱0,3.95,3.95,3.95,2
9,2024-11-18,3.95,0.07,+1.80%,₱239.07K,61.00K,₱-35.55K,3.89,3.95,3.9,22
10,2024-11-15,3.88,0.06,+1.57%,₱189.81K,49.00K,₱0,3.82,3.97,3.83,20
11,2024-11-14,3.82,-0.11,-2.80%,₱191.54K,50.00K,₱11.46K,3.82,3.95,3.93,10
12,2024-11-13,3.93,0.11,+2.88%,₱97.09K,25.00K,₱0,3.82,3.94,3.82,7
13,2024-11-12,3.82,-0.08,-2.05%,₱353.51K,91.00K,₱-15.68K,3.82,3.93,3.9,15
14,2024-11-11,3.9,0.04,+1.04%,₱93.49K,24.00K,₱0,3.83,3.9,3.83,7
15,2024-11-08,3.86,0.04,+1.05%,₱123.72K,32.00K,₱0,3.82,3.92,3.86,9
16,2024-11-07,3.82,-0.08,-2.05%,₱745.82K,193.00K,₱7.80K,3.82,3.94,3.94,32
17,2024-11-06,3.9,0.00,0.00%,₱102.25K,26.00K,₱-11.70K,3.9,3.95,3.9,11
18,2024-11-05,3.9,-0.04,-1.02%,₱266.00K,68.00K,₱7.80K,3.9,3.95,3.9,18
19,2024-11-04,3.94,-0.01,-0.25%,₱62.84K,16.00K,₱0,3.9,3.94,3.93,12
20,2024-10-31,3.95,0.05,+1.28%,₱314.19K,80.00K,₱-7.80K,3.9,3.97,3.97,19
21,2024-10-30,3.9,-0.05,-1.27%,₱212.71K,54.00K,₱0,3.88,3.95,3.94,12
22,2024-10-29,3.95,0.07,+1.80%,₱112.44K,29.00K,₱7.76K,3.86,3.95,3.88,16
23,2024-10-28,3.88,-0.05,-1.27%,₱157.20K,40.00K,₱51.32K,3.88,3.95,3.93,13
24,2024-10-25,3.93,0.03,+0.77%,₱595.96K,152.00K,₱-3.94K,3.9,3.94,3.93,26
25,2024-10-24,3.9,-0.06,-1.52%,₱194.78K,50.00K,₱0,3.86,3.97,3.97,18
26,2024-10-23,3.96,-0.01,-0.25%,₱837.94K,212.00K,₱0,3.86,3.97,3.97,18
27,2024-10-22,3.97,0.09,+2.32%,₱709.77K,182.00K,₱-3.90K,3.88,3.99,3.9,23
28,2024-10-21,3.88,-0.05,-1.27%,₱188.91K,48.00K,₱-7.88K,3.88,4.0,3.92,25
29,2024-10-18,3.93,0.05,+1.29%,₱1.17M,297.00K,₱-306.58K,3.9,3.94,3.92,36
30,2024-10-17,3.88,-0.02,-0.51%,₱418.86K,107.00K,₱-101.73K,3.88,3.94,3.9,22
31,2024-10-16,3.9,0.05,+1.30%,₱260.50K,67.00K,₱7.77K,3.85,3.95,3.85,28
32,2024-10-15,3.85,0.01,+0.26%,₱234.59K,61.00K,₱0,3.81,3.85,3.84,19
33,2024-10-14,3.84,0.01,+0.26%,₱376.08K,98.00K,₱0,3.83,3.84,3.83,12
34,2024-10-11,3.83,0.02,+0.52%,₱140.24K,37.00K,₱0,3.78,3.83,3.8,8
35,2024-10-10,3.81,-0.02,-0.52%,₱507.56K,133.00K,₱-362.77K,3.8,3.83,3.83,14
36,2024-10-09,3.83,0.05,+1.32%,₱156.02K,41.00K,₱-19.00K,3.78,3.84,3.78,9
37,2024-10-08,3.78,0.00,0.00%,₱178.09K,47.00K,₱3.78K,3.78,3.8,3.78,11
38,2024-10-07,3.78,0.02,+0.53%,₱670.54K,177.00K,₱56.74K,3.76,3.8,3.76,32
39,2024-10-04,3.76,-0.04,-1.05%,₱647.37K,171.00K,₱0,3.76,3.81,3.81,32
40,2024-10-03,3.8,0.10,+2.70%,₱3.58M,969.00K,₱47.79K,3.65,3.85,3.68,101
41,2024-10-02,3.7,-0.12,-3.14%,₱2.80M,746.00K,₱75.63K,3.7,3.88,3.82,135
42,2024-10-01,3.82,0.04,+1.06%,₱395.39K,104.00K,₱3.87K,3.78,3.87,3.87,22
43,2024-09-30,3.78,-0.03,-0.79%,₱807.71K,213.00K,₱11.38K,3.78,3.81,3.81,64
44,2024-09-27,3.81,0.00,0.00%,₱448.20K,117.00K,₱15.48K,3.81,3.87,3.87,33
45,2024-09-26,3.81,0.00,0.00%,₱1.07M,278.00K,₱0,3.81,3.88,3.88,26
46,2024-09-25,3.81,0.01,+0.26%,₱787.16K,207.00K,₱15.12K,3.78,3.81,3.81,23
47,2024-09-24,3.8,0.03,+0.80%,₱2.87M,755.00K,₱-1.79M,3.76,3.81,3.77,31
48,2024-09-23,3.77,-0.04,-1.05%,₱1.18M,310.00K,₱-300.80K,3.75,3.81,3.81,52
49,2024-09-20,3.81,0.01,+0.26%,₱752.84K,198.00K,₱0,3.77,3.82,3.8,31
50,2024-09-19,3.8,0.00,0.00%,₱893.86K,235.00K,₱0,3.78,3.82,3.81,21
51,2024-09-18,3.8,-0.01,-0.26%,₱668.36K,176.00K,₱-3.80K,3.75,3.81,3.81,18
52,2024-09-17,3.81,0.01,+0.26%,₱1.88M,496.00K,₱-73.83K,3.74,3.81,3.8,52
53,2024-09-16,3.8,-0.07,-1.81%,₱182.72K,48.00K,₱11.34K,3.78,3.83,3.81,31
54,2024-09-13,3.87,-0.01,-0.26%,₱1.53M,401.00K,₱15.12K,3.7,3.87,3.85,66
55,2024-09-12,3.88,0.03,+0.78%,₱2.14M,553.00K,₱775.57K,3.85,3.89,3.86,38
56,2024-09-11,3.85,-0.02,-0.52%,₱1.83M,472.00K,₱-148.40K,3.83,3.9,3.87,49
57,2024-09-10,3.87,0.01,+0.26%,₱5.08M,1.32M,₱-3.10M,3.82,3.87,3.85,55
58,2024-09-09,3.86,-0.02,-0.52%,₱1.17M,303.00K,₱42.36K,3.85,3.88,3.87,40
59,2024-09-06,3.88,0.02,+0.52%,₱1.18M,305.00K,₱-30.96K,3.86,3.88,3.87,32
60,2024-09-05,3.86,0.01,+0.26%,₱801.58K,208.00K,₱0,3.84,3.86,3.85,32
61,2024-09-04,3.85,-0.01,-0.26%,₱601.85K,156.00K,₱257.93K,3.85,3.88,3.88,27
62,2024-09-03,3.86,-0.03,-0.77%,₱1.67M,433.00K,₱11.55K,3.85,3.89,3.89,42
63,2024-09-02,3.89,-0.01,-0.26%,₱719.12K,185.00K,₱3.88K,3.88,3.9,3.9,38
64,2024-08-30,3.9,0.00,0.00%,₱1.58M,407.00K,₱111.84K,3.88,3.9,3.9,58
65,2024-08-29,3.9,0.05,+1.30%,₱1.82M,467.00K,₱68.90K,3.86,3.9,3.87,49
66,2024-08-28,3.85,-0.01,-0.26%,₱942.32K,245.00K,₱11.55K,3.81,3.86,3.86,28
67,2024-08-27,3.86,0.06,+1.58%,₱590.15K,154.00K,₱15.20K,3.8,3.86,3.8,24
68,2024-08-22,3.8,-0.04,-1.04%,₱505.98K,132.00K,₱0,3.79,3.94,3.89,30
69,2024-08-21,3.84,0.00,0.00%,₱611.58K,160.00K,₱-120.78K,3.76,3.87,3.8,17
