,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,880.0,1.00,+0.11%,₱172.14M,196.29K,₱-84.30M,871.5,888.5,879.5,1.76K
1,2024-11-27,879.0,-22.00,-2.44%,₱158.38M,178.92K,₱-30.21M,876.0,902.0,901.0,2.61K
2,2024-11-26,901.0,19.00,+2.15%,₱133.52M,148.13K,₱-8.56M,888.0,907.5,888.0,1.55K
3,2024-11-25,882.0,-1.00,-0.11%,₱701.61M,789.13K,₱-207.28M,882.0,922.5,884.0,2.98K
4,2024-11-22,883.0,-21.00,-2.32%,₱290.68M,328.12K,₱-185.47M,882.0,908.0,908.0,2.51K
5,2024-11-21,904.0,-55.50,-5.78%,₱312.05M,343.33K,₱-109.72M,904.0,926.5,920.0,2.15K
6,2024-11-20,959.5,63.50,+7.09%,₱130.77M,139.38K,₱-10.06M,891.0,959.5,904.0,1.01K
7,2024-11-19,896.0,-9.00,-0.99%,₱187.30M,208.60K,₱-111.53M,896.0,910.0,905.0,1.42K
8,2024-11-18,905.0,30.00,+3.43%,₱139.79M,155.05K,₱-43.72M,878.5,913.5,885.0,1.53K
9,2024-11-15,875.0,-1.00,-0.11%,₱296.57M,337.94K,₱-122.00M,870.5,894.0,877.0,2.68K
10,2024-11-14,876.0,-24.00,-2.67%,₱566.97M,646.09K,₱-99.73M,872.5,901.0,900.0,3.27K
11,2024-11-13,900.0,-17.00,-1.85%,₱322.38M,356.67K,₱-993.80K,900.0,917.0,917.0,2.93K
12,2024-11-12,917.0,2.00,+0.22%,₱294.49M,321.19K,₱1.40M,910.0,926.5,920.0,2.43K
13,2024-11-11,915.0,-1.00,-0.11%,₱274.82M,301.42K,₱-57.25M,902.5,923.0,916.0,3.28K
14,2024-11-08,916.0,-24.00,-2.55%,₱341.35M,370.18K,₱-213.58M,915.5,940.0,940.0,3.60K
15,2024-11-07,940.0,-22.00,-2.29%,₱350.06M,373.05K,₱-89.26M,929.0,962.0,962.0,2.45K
16,2024-11-06,962.0,0.00,0.00%,₱180.79M,187.84K,₱-28.10M,957.5,965.0,962.0,1.38K
17,2024-11-05,962.0,3.00,+0.31%,₱186.74M,195.15K,₱-30.47M,945.0,962.0,945.0,2.35K
18,2024-11-04,959.0,18.00,+1.91%,₱172.54M,182.41K,₱4.27M,927.0,961.5,941.0,2.36K
19,2024-10-31,941.0,-21.50,-2.23%,₱202.51M,214.34K,₱-78.38M,941.0,960.0,960.0,1.60K
20,2024-10-30,962.5,-3.00,-0.31%,₱207.58M,216.71K,₱-56.82M,943.0,967.0,962.0,2.68K
21,2024-10-29,965.5,1.50,+0.16%,₱191.55M,199.34K,₱-111.10M,947.5,970.0,969.5,1.65K
22,2024-10-28,964.0,1.00,+0.10%,₱141.98M,147.07K,₱-22.15M,956.0,977.0,963.0,2.21K
23,2024-10-25,963.0,8.00,+0.84%,₱76.50M,79.57K,₱25.86M,955.5,967.5,957.5,1.10K
24,2024-10-24,955.0,-5.00,-0.52%,₱99.35M,104.05K,₱-11.87M,951.0,959.5,951.5,1.31K
25,2024-10-23,960.0,4.00,+0.42%,₱113.74M,119.02K,₱-1.70M,946.5,964.0,956.5,1.34K
26,2024-10-22,956.0,-6.00,-0.62%,₱215.68M,225.00K,₱-39.35M,954.0,966.5,960.0,2.70K
27,2024-10-21,962.0,0.00,0.00%,₱92.82M,96.50K,₱-27.22M,959.5,969.5,969.5,1.33K
28,2024-10-18,962.0,0.00,0.00%,₱138.72M,144.08K,₱-11.40M,959.0,974.0,969.0,1.17K
29,2024-10-17,962.0,-9.00,-0.93%,₱100.29M,103.61K,₱-37.59M,962.0,984.0,984.0,672
30,2024-10-16,971.0,-18.00,-1.82%,₱147.59M,150.69K,₱-22.02M,971.0,990.0,990.0,1.20K
31,2024-10-15,989.0,30.00,+3.13%,₱186.95M,190.17K,₱62.96M,962.0,990.0,962.0,1.82K
