,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,88.0,0.00,0.00%,₱7.33M,83.42K,₱-1.73M,87.5,88.0,87.65,243
1,2024-11-28,88.0,0.00,0.00%,₱6.06M,69.06K,₱1.07M,87.1,88.0,88.0,189
2,2024-11-27,88.0,0.00,0.00%,₱6.76M,77.02K,₱-2.00M,87.3,88.0,88.0,278
3,2024-11-26,88.0,0.00,0.00%,₱5.89M,67.05K,₱-2.23M,87.0,88.0,88.0,259
4,2024-11-25,88.0,0.00,0.00%,₱22.47M,256.78K,₱-3.84M,86.35,88.0,88.0,485
5,2024-11-22,88.0,0.00,0.00%,₱8.12M,92.90K,₱-1.47M,87.0,88.0,88.0,413
6,2024-11-21,88.0,0.00,0.00%,₱8.65M,98.94K,₱-1.62M,86.1,88.0,87.8,359
7,2024-11-20,88.0,0.00,0.00%,₱13.96M,158.87K,₱-631.19K,87.0,88.75,88.75,289
8,2024-11-19,88.0,0.65,+0.74%,₱6.77M,77.46K,₱-2.52M,86.65,88.0,87.35,341
9,2024-11-18,87.35,0.35,+0.40%,₱8.88M,101.83K,₱-2.48M,86.9,87.75,87.0,370
10,2024-11-15,87.0,0.00,0.00%,₱13.96M,160.54K,₱-1.92M,86.0,87.5,86.5,350
11,2024-11-14,87.0,-0.40,-0.46%,₱37.13M,431.20K,₱1.88M,84.55,87.4,87.4,757
12,2024-11-13,87.4,0.00,0.00%,₱11.47M,131.52K,₱-2.39M,86.7,87.4,87.4,434
13,2024-11-12,87.4,-0.60,-0.68%,₱11.68M,133.75K,₱-3.08M,87.0,88.45,88.0,469
14,2024-11-11,88.0,0.00,0.00%,₱14.25M,162.28K,₱-3.01M,87.35,88.0,88.0,324
15,2024-11-08,88.0,-0.80,-0.90%,₱26.98M,307.07K,₱-10.71M,87.0,88.75,88.75,360
16,2024-11-07,88.8,0.10,+0.11%,₱20.95M,238.83K,₱-699.75K,86.4,88.8,88.7,603
17,2024-11-06,88.7,0.00,0.00%,₱8.51M,96.13K,₱-997.79K,88.15,88.75,88.7,371
