,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,26.4,-0.10,-0.38%,₱254.62M,9.54M,₱-86.60M,26.4,27.45,26.6,2.29K
1,2024-11-28,26.5,-0.50,-1.85%,₱190.58M,7.11M,₱-62.20M,26.5,27.4,27.2,2.15K
2,2024-11-27,27.0,-0.45,-1.64%,₱115.15M,4.20M,₱-3.30M,27.0,28.3,27.5,1.89K
3,2024-11-26,27.45,-0.15,-0.54%,₱167.83M,6.04M,₱-26.20M,27.45,28.2,27.95,1.84K
4,2024-11-25,27.6,0.10,+0.36%,₱437.42M,15.81M,₱-70.58M,27.6,28.35,27.6,1.76K
5,2024-11-22,27.5,-0.50,-1.79%,₱162.92M,5.87M,₱-59.08M,27.5,28.45,28.4,2.50K
6,2024-11-21,28.0,-1.20,-4.11%,₱128.14M,4.53M,₱-64.19M,28.0,28.8,28.8,1.95K
7,2024-11-20,29.2,0.60,+2.10%,₱171.13M,5.97M,₱20.62M,27.85,29.2,28.6,2.19K
8,2024-11-19,28.6,0.60,+2.14%,₱271.86M,9.59M,₱37.15M,27.8,28.8,28.2,2.33K
9,2024-11-18,28.0,1.00,+3.70%,₱240.88M,8.66M,₱27.24M,27.25,28.0,27.45,2.24K
10,2024-11-15,27.0,0.90,+3.45%,₱214.30M,7.96M,₱-32.95M,26.35,27.4,26.35,2.40K
11,2024-11-14,26.1,-0.90,-3.33%,₱412.90M,15.69M,₱-217.76M,26.1,27.4,27.4,3.67K
12,2024-11-13,27.0,-0.10,-0.37%,₱342.80M,12.65M,₱-171.99M,26.65,27.5,27.15,2.82K
13,2024-11-12,27.1,-0.80,-2.87%,₱396.30M,14.42M,₱-235.47M,27.1,28.7,28.0,2.75K
14,2024-11-11,27.9,-0.70,-2.45%,₱350.82M,12.52M,₱-197.09M,27.8,28.8,28.8,2.77K
15,2024-11-08,28.6,0.40,+1.42%,₱363.63M,12.76M,₱-125.05M,28.1,28.9,28.4,4.22K
