,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,1297.0,-2.00,-0.15%,₱155.42M,119.56K,₱-41.59M,1297.0,1311.0,1300.0,1.47K
1,2024-11-28,1299.0,9.00,+0.70%,₱152.06M,117.35K,₱-41.06M,1290.0,1308.0,1292.0,2.00K
2,2024-11-27,1290.0,-34.00,-2.57%,₱228.38M,175.28K,₱-44.17M,1290.0,1324.0,1324.0,1.75K
3,2024-11-26,1324.0,24.00,+1.85%,₱173.94M,131.97K,₱-14.08M,1305.0,1330.0,1316.0,1.69K
4,2024-11-25,1300.0,-50.00,-3.70%,₱421.72M,322.60K,₱-121.06M,1300.0,1356.0,1355.0,2.53K
5,2024-11-22,1350.0,1.00,+0.07%,₱40.46M,29.90K,₱-36.85K,1350.0,1364.0,1350.0,907
6,2024-11-21,1349.0,-1.00,-0.07%,₱87.39M,64.85K,₱-34.13M,1336.0,1365.0,1350.0,1.00K
7,2024-11-20,1350.0,17.00,+1.28%,₱98.83M,73.44K,₱8.47M,1335.0,1350.0,1350.0,984
8,2024-11-19,1333.0,1.00,+0.08%,₱87.42M,65.45K,₱-44.49M,1331.0,1350.0,1333.0,1.41K
9,2024-11-18,1332.0,-12.00,-0.89%,₱89.37M,66.90K,₱-58.32M,1331.0,1348.0,1344.0,1.86K
10,2024-11-15,1344.0,44.00,+3.38%,₱192.87M,144.44K,₱-59.60M,1304.0,1375.0,1310.0,2.52K
11,2024-11-14,1300.0,-35.00,-2.62%,₱161.17M,122.79K,₱-38.11M,1300.0,1364.0,1340.0,3.36K
12,2024-11-13,1335.0,-5.00,-0.37%,₱252.26M,188.22K,₱-30.92M,1335.0,1361.0,1360.0,2.40K
13,2024-11-12,1340.0,-59.00,-4.22%,₱201.93M,149.19K,₱-132.51M,1340.0,1398.0,1385.0,2.83K
14,2024-11-11,1399.0,-1.00,-0.07%,₱41.68M,30.02K,₱-21.92M,1380.0,1400.0,1400.0,921
15,2024-11-08,1400.0,-3.00,-0.21%,₱156.40M,111.86K,₱-47.85M,1389.0,1424.0,1404.0,1.76K
16,2024-11-07,1403.0,-10.00,-0.71%,₱108.71M,77.74K,₱-7.62M,1380.0,1415.0,1414.0,1.50K
17,2024-11-06,1413.0,-7.00,-0.49%,₱44.54M,31.45K,₱-20.26M,1407.0,1430.0,1420.0,859
