,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,36.8,-0.10,-0.27%,₱147.75K,4.00K,₱-11.07K,36.5,37.25,37.25,15
1,2024-11-28,36.9,0.70,+1.93%,₱587.86K,16.00K,₱18.35K,36.1,36.95,36.1,20
2,2024-11-27,36.2,-0.30,-0.82%,₱1.53M,41.40K,₱-791.01K,36.2,37.45,37.45,53
3,2024-11-26,36.5,-0.50,-1.35%,₱1.28M,34.70K,₱-88.41K,36.5,37.1,37.1,46
4,2024-11-25,37.0,0.10,+0.27%,₱758.63K,20.40K,₱-18.46K,36.8,37.5,37.5,19
5,2024-11-22,36.9,-0.35,-0.94%,₱1.23M,33.40K,₱-137.03K,36.8,37.2,37.15,54
6,2024-11-21,37.25,0.20,+0.54%,₱1.70M,45.60K,₱306.21K,37.15,37.7,37.15,58
7,2024-11-20,37.05,0.10,+0.27%,₱906.82K,24.50K,₱-36.90K,36.8,37.1,36.8,31
8,2024-11-19,36.95,0.40,+1.09%,₱1.96M,53.90K,₱44.04K,36.1,36.95,36.5,42
9,2024-11-18,36.55,-0.25,-0.68%,₱1.60M,43.50K,₱-523.22K,36.4,37.0,36.8,76
10,2024-11-15,36.8,0.80,+2.22%,₱2.22M,60.50K,₱494.07K,35.7,36.9,35.7,60
11,2024-11-14,36.0,-0.65,-1.77%,₱4.62M,128.20K,₱220.04K,35.7,36.65,36.65,83
12,2024-11-13,36.65,-0.35,-0.95%,₱3.64M,99.70K,₱-20.48K,36.0,37.95,36.95,114
13,2024-11-12,37.0,-0.45,-1.20%,₱3.47M,93.30K,₱-36.78K,37.0,37.75,37.35,89
14,2024-11-11,37.45,0.00,0.00%,₱1.18M,31.40K,₱303.58K,37.3,37.9,37.5,51
15,2024-11-08,37.45,-0.05,-0.13%,₱3.55M,95.80K,₱-528.54K,36.8,37.5,37.5,63
16,2024-11-07,37.5,-0.70,-1.83%,₱6.27M,166.40K,₱-63.98K,37.2,38.8,38.8,138
17,2024-11-06,38.2,0.15,+0.39%,₱2.75M,71.90K,₱588.14K,38.0,38.3,38.1,75
18,2024-11-05,38.05,-0.05,-0.13%,₱2.44M,64.40K,₱94.69K,37.55,38.05,38.0,68
19,2024-11-04,38.1,0.05,+0.13%,₱945.67K,24.80K,₱-72.55K,38.0,38.35,38.1,43
20,2024-10-31,38.05,0.30,+0.79%,₱2.79M,73.60K,₱72.03K,37.5,38.25,38.25,98
21,2024-10-30,37.75,1.20,+3.28%,₱4.76M,128.00K,₱326.16K,36.8,37.75,36.9,195
22,2024-10-29,36.55,-2.40,-6.16%,₱33.43M,892.20K,₱974.93K,36.5,40.9,39.1,509
23,2024-10-28,38.95,-2.10,-5.12%,₱54.69M,1.39M,₱35.54M,38.6,42.4,41.3,407
24,2024-10-25,41.05,0.30,+0.74%,₱3.33M,80.90K,₱813.32K,40.5,42.5,40.5,145
25,2024-10-24,40.75,-0.60,-1.45%,₱4.33M,105.90K,₱471.96K,40.7,41.85,41.4,204
26,2024-10-23,41.35,-0.95,-2.25%,₱6.00M,143.40K,₱1.56M,41.3,42.5,42.5,228
27,2024-10-22,42.3,0.10,+0.24%,₱4.05M,95.60K,₱148.50K,42.2,42.5,42.2,132
28,2024-10-21,42.2,0.40,+0.96%,₱5.77M,136.80K,₱1.39M,41.85,42.5,41.95,110
29,2024-10-18,41.8,0.20,+0.48%,₱6.94M,167.00K,₱1.49M,41.35,41.95,41.6,164
30,2024-10-17,41.6,-1.30,-3.03%,₱16.33M,388.20K,₱3.90M,41.55,43.7,43.2,386
31,2024-10-16,42.9,-0.15,-0.35%,₱14.13M,326.10K,₱1.41M,42.6,43.8,43.0,328
32,2024-10-15,43.05,0.90,+2.14%,₱21.27M,496.40K,₱3.08M,42.0,43.15,42.2,527
33,2024-10-14,42.15,1.55,+3.82%,₱19.66M,468.60K,₱2.95M,40.75,42.4,40.95,353
34,2024-10-11,40.6,-0.50,-1.22%,₱7.05M,172.70K,₱1.10M,40.55,41.4,41.2,213
35,2024-10-10,41.1,1.90,+4.85%,₱24.01M,588.60K,₱2.45M,39.2,41.65,39.2,579
36,2024-10-09,39.2,0.00,0.00%,₱5.03M,128.90K,₱464.24K,38.8,39.2,39.2,189
37,2024-10-08,39.2,-0.05,-0.13%,₱5.47M,140.70K,₱-101.90K,38.8,39.2,39.0,188
38,2024-10-07,39.25,0.70,+1.82%,₱18.30M,466.40K,₱-10.81M,38.55,39.55,38.55,268
39,2024-10-04,38.55,-0.65,-1.66%,₱10.91M,282.40K,₱-1.78M,38.3,39.1,39.1,263
40,2024-10-03,39.2,-0.10,-0.25%,₱10.61M,268.40K,₱-3.92M,39.0,39.95,39.3,273
41,2024-10-02,39.3,0.25,+0.64%,₱7.18M,184.00K,₱-874.20K,38.9,39.4,39.0,247
42,2024-10-01,39.05,0.60,+1.56%,₱8.18M,209.80K,₱-2.03M,38.2,39.45,38.5,314
43,2024-09-30,38.45,0.45,+1.18%,₱4.24M,110.40K,₱523.89K,38.0,38.45,38.0,130
44,2024-09-27,38.0,-0.25,-0.65%,₱11.78M,307.70K,₱-7.74M,38.0,38.6,38.25,305
45,2024-09-26,38.25,-0.15,-0.39%,₱6.79M,176.60K,₱-960.37K,38.25,38.6,38.25,251
46,2024-09-25,38.4,-1.00,-2.54%,₱10.72M,276.80K,₱-502.92K,38.3,39.55,39.45,344
47,2024-09-24,39.4,-0.10,-0.25%,₱25.05M,627.30K,₱-5.19M,39.3,41.0,39.5,609
48,2024-09-23,39.5,1.20,+3.13%,₱36.10M,915.20K,₱-11.23M,38.3,40.25,38.4,716
49,2024-09-20,38.3,1.05,+2.82%,₱24.93M,654.60K,₱-12.72M,37.0,38.3,37.2,371
50,2024-09-19,37.25,1.15,+3.19%,₱22.55M,612.60K,₱-4.79M,36.15,37.5,36.2,462
51,2024-09-18,36.1,0.60,+1.69%,₱7.99M,222.40K,₱-3.35M,35.4,36.45,35.5,176
52,2024-09-17,35.5,0.30,+0.85%,₱2.09M,59.10K,₱17.39K,35.25,35.75,35.5,82
53,2024-09-16,35.2,0.00,0.00%,₱1.84M,52.10K,₱-595.35K,35.2,35.5,35.2,121
54,2024-09-13,35.2,0.00,0.00%,₱3.08M,87.40K,₱-652.06K,35.2,35.4,35.4,107
55,2024-09-12,35.2,0.00,0.00%,₱2.78M,79.20K,₱-836.00K,34.85,35.4,35.2,137
56,2024-09-11,35.2,-0.10,-0.28%,₱2.20M,62.50K,₱-211.47K,35.05,35.85,35.85,116
57,2024-09-10,35.3,0.60,+1.73%,₱12.17M,342.30K,₱-3.60M,34.85,35.8,35.0,285
58,2024-09-09,34.7,0.00,0.00%,₱6.24M,180.20K,₱-3.00M,34.0,35.0,34.7,246
59,2024-09-06,34.7,0.70,+2.06%,₱10.77M,315.80K,₱-945.95K,33.8,34.7,34.0,154
60,2024-09-05,34.0,0.00,0.00%,₱4.73M,138.60K,₱-1.52M,34.0,34.2,34.1,122
61,2024-09-04,34.0,0.00,0.00%,₱1.76M,51.80K,₱-537.12K,33.8,34.15,34.15,88
62,2024-09-03,34.0,0.50,+1.49%,₱2.77M,81.50K,₱-1.36M,33.6,34.15,34.0,129
63,2024-09-02,33.5,0.00,0.00%,₱1.23M,36.70K,₱-308.70K,33.45,34.0,33.5,63
64,2024-08-30,33.5,0.10,+0.30%,₱1.38M,40.90K,₱-1.00M,33.45,34.2,33.45,52
65,2024-08-29,33.4,-0.95,-2.77%,₱1.66M,49.60K,₱-219.95K,33.05,34.2,33.75,89
66,2024-08-28,34.35,-0.15,-0.43%,₱10.39M,308.60K,₱-2.12M,33.0,34.4,34.2,142
67,2024-08-27,34.5,-0.40,-1.15%,₱1.67M,48.20K,₱-641.37K,34.5,35.0,35.0,76
68,2024-08-22,34.9,0.00,0.00%,₱8.57M,245.60K,₱-915.75K,33.85,35.25,34.9,96
69,2024-08-21,34.9,0.55,+1.60%,₱2.70M,78.30K,₱1.25M,33.8,34.9,34.25,96
70,2024-08-20,34.35,0.00,0.00%,₱2.33M,67.50K,₱-1.18M,34.35,34.75,34.45,109
71,2024-08-19,34.35,0.75,+2.23%,₱2.36M,69.40K,₱-629.30K,33.7,34.4,33.7,105
72,2024-08-16,33.6,0.80,+2.44%,₱3.79M,112.90K,₱-1.30M,32.8,33.75,32.8,100
73,2024-08-15,32.8,-0.20,-0.61%,₱11.95M,366.20K,₱-6.76M,32.45,33.0,33.0,212
74,2024-08-14,33.0,-0.95,-2.80%,₱11.30M,339.80K,₱-7.96M,32.55,33.95,33.95,393
75,2024-08-13,33.95,-1.80,-5.03%,₱5.81M,171.20K,₱-4.62M,33.4,35.0,35.0,161
76,2024-08-12,35.75,1.70,+4.99%,₱2.92M,84.20K,₱-1.17M,34.0,35.75,34.05,114
77,2024-08-09,34.05,-0.60,-1.73%,₱2.55M,73.60K,₱-695.44K,34.05,35.0,35.0,93
78,2024-08-08,34.65,0.10,+0.29%,₱2.04M,58.60K,₱-798.24K,34.6,35.0,35.0,66
79,2024-08-07,34.55,0.05,+0.14%,₱1.57M,45.50K,₱-311.75K,34.55,35.95,35.5,45
80,2024-08-06,34.5,-0.45,-1.29%,₱962.78K,27.50K,₱-463.54K,34.5,35.95,34.95,69
81,2024-08-05,34.95,-0.80,-2.24%,₱3.50M,100.60K,₱-1.04M,34.5,35.55,35.25,197
82,2024-08-02,35.75,-0.25,-0.69%,₱2.21M,61.50K,₱-416.88K,35.75,36.0,36.0,60
83,2024-08-01,36.0,-0.05,-0.14%,₱669.77K,18.60K,₱-151.21K,36.0,36.2,36.2,28
84,2024-07-31,36.05,0.05,+0.14%,₱874.95K,24.30K,₱-226.91K,35.6,36.2,35.6,57
85,2024-07-30,36.0,-0.05,-0.14%,₱12.59M,349.70K,₱-4.12M,35.8,36.1,36.05,146
86,2024-07-29,36.05,-0.05,-0.14%,₱3.57M,98.90K,₱-789.93K,36.0,36.3,36.15,103
87,2024-07-26,36.1,0.10,+0.28%,₱1.55M,42.70K,₱-371.86K,36.0,36.4,36.0,76
88,2024-07-25,36.0,0.00,0.00%,₱4.96M,137.30K,₱-1.28M,36.0,36.25,36.25,112
89,2024-07-23,36.0,0.00,0.00%,₱2.45M,68.10K,₱-591.35K,36.0,36.4,36.05,72
90,2024-07-22,36.0,-0.10,-0.28%,₱2.67M,74.00K,₱-703.22K,36.0,36.7,36.65,82
91,2024-07-19,36.1,0.05,+0.14%,₱2.87M,79.00K,₱-137.28K,36.0,36.7,36.3,121
92,2024-07-18,36.05,1.05,+3.00%,₱8.73M,242.60K,₱-1.90M,35.2,36.3,35.2,259
93,2024-07-17,35.0,0.20,+0.57%,₱3.99M,114.10K,₱-1.06M,34.8,35.2,34.8,129
94,2024-07-16,34.8,0.30,+0.87%,₱1.78M,51.00K,₱21.45K,34.5,35.0,34.5,110
