,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-28,80.5,-1.50,-1.83%,₱155.42M,1.93M,₱-106.44M,80.25,82.1,82.1,1.97K
1,2024-11-27,82.0,-2.65,-3.13%,₱59.28M,720.17K,₱-29.85M,81.4,85.0,85.0,2.03K
2,2024-11-26,84.65,2.50,+3.04%,₱81.29M,960.14K,₱3.96M,83.0,85.4,83.0,1.91K
3,2024-11-25,82.15,-0.85,-1.02%,₱145.98M,1.77M,₱-43.38M,82.15,85.0,83.5,1.26K
4,2024-11-22,83.0,-2.00,-2.35%,₱131.32M,1.57M,₱-56.59M,82.65,86.25,85.1,3.04K
5,2024-11-21,85.0,-3.00,-3.41%,₱115.87M,1.35M,₱-44.38M,85.0,88.8,88.0,2.73K
6,2024-11-20,88.0,-0.20,-0.23%,₱151.60M,1.73M,₱3.44M,86.25,89.05,89.05,2.34K
7,2024-11-19,88.2,2.50,+2.92%,₱207.53M,2.36M,₱-3.89M,85.85,89.1,86.05,3.32K
8,2024-11-18,85.7,3.35,+4.07%,₱109.00M,1.28M,₱-3.68M,82.55,86.5,83.8,2.54K
9,2024-11-15,82.35,2.85,+3.58%,₱149.11M,1.81M,₱-74.23M,80.05,83.0,80.5,2.89K
10,2024-11-14,79.5,-5.90,-6.91%,₱449.05M,5.56M,₱-184.93M,78.65,86.05,86.0,6.32K
11,2024-11-13,85.4,-5.35,-5.90%,₱662.77M,7.53M,₱-150.76M,85.4,92.0,90.75,5.05K
12,2024-11-12,90.75,-5.20,-5.42%,₱180.62M,1.97M,₱-62.43M,90.25,96.4,96.0,2.71K
13,2024-11-11,95.95,-2.55,-2.59%,₱103.08M,1.08M,₱-51.05M,94.95,99.05,98.5,2.87K
14,2024-11-08,98.5,1.55,+1.60%,₱62.64M,637.82K,₱2.68M,96.9,99.15,97.05,2.10K
15,2024-11-07,96.95,-3.95,-3.91%,₱94.31M,969.15K,₱-55.15M,96.95,100.9,100.9,2.58K
16,2024-11-06,100.9,-0.10,-0.10%,₱66.03M,658.77K,₱20.26M,98.6,101.3,101.2,2.40K
17,2024-11-05,101.0,2.95,+3.01%,₱169.37M,1.69M,₱-2.88M,98.0,101.0,98.0,2.75K
18,2024-11-04,98.05,0.35,+0.36%,₱74.58M,760.46K,₱1.16M,97.4,99.05,99.0,3.56K
19,2024-10-31,97.7,-2.30,-2.30%,₱80.27M,816.29K,₱-27.03M,97.7,100.7,100.7,2.62K
20,2024-10-30,100.0,0.00,0.00%,₱164.30M,1.64M,₱-19.28M,98.8,102.1,99.5,2.29K
21,2024-10-29,100.0,-1.00,-0.99%,₱114.73M,1.15M,₱13.29M,99.1,100.9,100.0,1.87K
22,2024-10-28,101.0,1.50,+1.51%,₱95.22M,952.93K,₱-3.77M,98.8,101.0,99.5,1.80K
23,2024-10-25,99.5,1.50,+1.53%,₱71.47M,719.45K,₱16.09M,97.7,100.0,98.5,1.27K
24,2024-10-24,98.0,-2.10,-2.10%,₱54.54M,554.94K,₱-12.16M,98.0,100.1,100.1,1.39K
25,2024-10-23,100.1,-0.90,-0.89%,₱61.72M,615.25K,₱23.60M,99.2,101.5,101.0,1.22K
26,2024-10-22,101.0,1.65,+1.66%,₱224.53M,2.24M,₱-115.41M,99.2,101.5,99.35,2.21K
27,2024-10-21,99.35,0.85,+0.86%,₱24.06M,242.18K,₱131.24K,99.0,99.8,99.0,853
28,2024-10-18,98.5,-1.50,-1.50%,₱121.19M,1.23M,₱-26.29M,98.3,100.1,100.0,2.43K
29,2024-10-17,100.0,-1.30,-1.28%,₱268.95M,2.70M,₱-89.32M,98.1,102.0,101.2,3.65K
30,2024-10-16,101.3,-2.10,-2.03%,₱190.79M,1.88M,₱-29.05M,100.4,103.5,103.5,1.77K
31,2024-10-15,103.4,0.40,+0.39%,₱80.77M,782.66K,₱22.32M,102.7,103.5,103.0,1.17K
32,2024-10-14,103.0,1.50,+1.48%,₱52.18M,508.17K,₱-9.42M,101.3,103.3,101.5,1.17K
33,2024-10-11,101.5,-1.90,-1.84%,₱114.21M,1.12M,₱36.49M,101.1,103.7,103.4,2.73K
34,2024-10-10,103.4,0.40,+0.39%,₱117.01M,1.14M,₱7.56M,102.1,103.5,103.0,2.31K
35,2024-10-09,103.0,0.00,0.00%,₱169.61M,1.65M,₱-16.02M,101.6,103.2,103.0,3.18K
36,2024-10-08,103.0,-0.60,-0.58%,₱114.06M,1.10M,₱37.53M,102.9,104.1,103.9,1.15K
37,2024-10-07,103.6,0.10,+0.10%,₱161.97M,1.56M,₱39.66M,103.0,104.0,104.0,1.83K
38,2024-10-04,103.5,2.50,+2.48%,₱77.83M,756.14K,₱34.23M,101.1,103.5,101.1,1.53K
39,2024-10-03,101.0,-2.40,-2.32%,₱134.81M,1.32M,₱21.29M,100.9,103.8,103.3,2.17K
40,2024-10-02,103.4,-0.50,-0.48%,₱65.91M,637.18K,₱9.29M,102.8,103.9,103.7,1.18K
41,2024-10-01,103.9,0.20,+0.19%,₱169.01M,1.63M,₱40.35M,103.2,104.4,103.5,1.83K
42,2024-09-30,103.7,-0.80,-0.77%,₱402.53M,3.88M,₱105.72M,103.0,104.5,104.5,2.24K
43,2024-09-27,104.5,0.50,+0.48%,₱275.06M,2.64M,₱124.44M,103.9,104.9,104.0,1.66K
44,2024-09-26,104.0,-0.20,-0.19%,₱484.42M,4.65M,₱289.78M,103.5,105.0,104.3,2.28K
45,2024-09-25,104.2,2.20,+2.16%,₱430.69M,4.18M,₱77.98M,100.3,104.3,102.2,4.19K
46,2024-09-24,102.0,-0.50,-0.49%,₱236.46M,2.32M,₱82.85M,101.0,102.5,102.5,2.94K
47,2024-09-23,102.5,1.50,+1.49%,₱239.05M,2.33M,₱97.74M,101.3,103.5,101.3,3.38K
48,2024-09-20,101.0,1.95,+1.97%,₱545.03M,5.33M,₱212.10M,99.35,104.2,99.35,5.39K
49,2024-09-19,99.05,1.55,+1.59%,₱430.42M,4.35M,₱108.76M,97.6,99.8,97.9,3.77K
50,2024-09-18,97.5,2.90,+3.07%,₱288.34M,2.97M,₱54.73M,94.8,98.15,94.8,3.55K
51,2024-09-17,94.6,1.80,+1.94%,₱182.32M,1.93M,₱26.27M,93.5,95.5,93.5,2.02K
52,2024-09-16,92.8,1.10,+1.20%,₱88.09M,947.00K,₱-4.03M,92.0,93.6,92.0,1.28K
53,2024-09-13,91.7,0.60,+0.66%,₱76.16M,829.75K,₱-16.68M,91.25,92.45,92.0,1.30K
54,2024-09-12,91.1,-0.70,-0.76%,₱122.47M,1.34M,₱-13.24M,91.1,92.55,91.8,1.69K
55,2024-09-11,91.8,-0.20,-0.22%,₱214.63M,2.34M,₱19.19M,91.0,93.7,93.7,2.32K
56,2024-09-10,92.0,1.30,+1.43%,₱390.90M,4.18M,₱5.52M,91.9,95.05,91.9,3.47K
