,Date,Close,Change,Change Percent,Volume,Shares,Net Foreign,Low,High,Open,Trades
0,2024-11-29,1.55,0.00,0.00%,₱134.36K,87.00K,₱-44.66K,1.54,1.55,1.55,22
1,2024-11-28,1.55,-0.02,-1.27%,₱551.56K,361.00K,₱-216.92K,1.5,1.57,1.57,31
2,2024-11-27,1.57,-0.10,-5.99%,₱4.28M,2.76M,₱-676.68K,1.52,1.62,1.62,140
3,2024-11-26,1.67,0.05,+3.09%,₱1.34M,813.00K,₱-26.06K,1.62,1.67,1.64,35
4,2024-11-25,1.62,0.00,0.00%,₱2.30M,1.42M,₱-732.61K,1.61,1.63,1.62,43
5,2024-11-22,1.62,0.01,+0.62%,₱2.58M,1.59M,₱8.10K,1.61,1.65,1.61,32
6,2024-11-21,1.61,-0.02,-1.23%,₱2.99M,1.85M,₱90.62K,1.6,1.65,1.65,68
7,2024-11-20,1.63,-0.03,-1.81%,₱2.94M,1.80M,₱-1.00M,1.63,1.67,1.66,80
8,2024-11-19,1.66,0.00,0.00%,₱648.71K,389.00K,₱89.69K,1.66,1.68,1.68,44
9,2024-11-18,1.66,0.00,0.00%,₱1.51M,911.00K,₱-272.33K,1.63,1.7,1.67,77
10,2024-11-15,1.66,0.04,+2.47%,₱1.47M,891.00K,₱11.49K,1.62,1.67,1.62,63
11,2024-11-14,1.62,0.05,+3.18%,₱4.23M,2.65M,₱-443.35K,1.5,1.64,1.57,108
12,2024-11-13,1.57,-0.02,-1.26%,₱713.44K,459.00K,₱17.23K,1.55,1.57,1.55,29
13,2024-11-12,1.59,-0.01,-0.63%,₱649.86K,421.00K,₱18.76K,1.53,1.61,1.53,40
14,2024-11-11,1.6,-0.01,-0.62%,₱74.05K,46.00K,₱0,1.59,1.63,1.63,17
15,2024-11-08,1.61,0.05,+3.21%,₱2.14M,1.36M,₱-674.84K,1.55,1.61,1.55,49
16,2024-11-07,1.56,-0.04,-2.50%,₱4.12M,2.66M,₱100.84K,1.51,1.6,1.6,107
17,2024-11-06,1.6,-0.04,-2.44%,₱2.88M,1.79M,₱1.60K,1.58,1.64,1.64,54
18,2024-11-05,1.64,0.01,+0.61%,₱642.82K,392.00K,₱1.64K,1.62,1.75,1.62,31
19,2024-11-04,1.63,-0.01,-0.61%,₱814.82K,498.00K,₱-8.15K,1.62,1.64,1.64,35
20,2024-10-31,1.64,-0.04,-2.38%,₱2.82M,1.71M,₱103.80K,1.63,1.68,1.68,74
21,2024-10-30,1.68,-0.02,-1.18%,₱461.84K,275.00K,₱126.00K,1.67,1.68,1.68,10
22,2024-10-29,1.7,-0.05,-2.86%,₱1.26M,739.00K,₱58.16K,1.68,1.74,1.72,55
23,2024-10-28,1.75,-0.02,-1.13%,₱281.32K,162.00K,₱29.42K,1.72,1.77,1.77,26
24,2024-10-25,1.77,0.01,+0.57%,₱364.61K,207.00K,₱96.94K,1.73,1.77,1.76,30
25,2024-10-24,1.76,-0.01,-0.56%,₱1.60M,919.00K,₱187.16K,1.73,1.78,1.77,49
26,2024-10-23,1.77,-0.02,-1.12%,₱911.11K,517.00K,₱100.93K,1.74,1.8,1.8,65
27,2024-10-22,1.79,0.04,+2.29%,₱2.30M,1.28M,₱118.65K,1.76,1.81,1.76,101
28,2024-10-21,1.75,0.04,+2.34%,₱8.27M,4.58M,₱-2.67M,1.72,1.85,1.74,164
29,2024-10-18,1.71,-0.01,-0.58%,₱2.29M,1.35M,₱35.70K,1.67,1.74,1.74,53
30,2024-10-17,1.72,-0.02,-1.15%,₱1.63M,949.00K,₱-465.12K,1.69,1.77,1.76,64
31,2024-10-16,1.74,0.00,0.00%,₱686.71K,393.00K,₱0,1.73,1.78,1.73,41
32,2024-10-15,1.74,0.00,0.00%,₱1.02M,589.00K,₱-32.84K,1.7,1.75,1.72,75
33,2024-10-14,1.74,0.04,+2.35%,₱880.20K,517.00K,₱-32.53K,1.68,1.74,1.7,61
34,2024-10-11,1.7,0.00,0.00%,₱1.48M,885.00K,₱-302.40K,1.64,1.7,1.7,93
35,2024-10-10,1.7,-0.02,-1.16%,₱2.92M,1.69M,₱-1.07M,1.69,1.76,1.76,76
36,2024-10-09,1.72,-0.06,-3.37%,₱1.72M,993.00K,₱33.18K,1.72,1.77,1.77,81
37,2024-10-08,1.78,0.05,+2.89%,₱4.51M,2.57M,₱110.30K,1.69,1.79,1.72,124
38,2024-10-07,1.73,0.00,0.00%,₱1.46M,844.00K,₱330.24K,1.72,1.75,1.73,99
39,2024-10-04,1.73,0.01,+0.58%,₱6.29M,3.69M,₱-1.83M,1.66,1.74,1.72,165
40,2024-10-03,1.72,0.13,+8.18%,₱14.88M,8.75M,₱-343.74K,1.59,1.85,1.6,311
41,2024-10-02,1.59,-0.01,-0.63%,₱564.78K,357.00K,₱0,1.58,1.6,1.6,33
42,2024-10-01,1.6,0.00,0.00%,₱1.51M,948.00K,₱-672.57K,1.58,1.61,1.6,46
43,2024-09-30,1.6,0.00,0.00%,₱1.43M,899.00K,₱-153.41K,1.57,1.62,1.61,70
44,2024-09-27,1.6,0.00,0.00%,₱1.27M,797.00K,₱-939.96K,1.57,1.61,1.6,94
45,2024-09-26,1.6,0.01,+0.63%,₱1.57M,988.00K,₱-35.19K,1.56,1.62,1.62,64
46,2024-09-25,1.59,-0.02,-1.24%,₱1.28M,814.00K,₱133.88K,1.56,1.6,1.6,53
47,2024-09-24,1.61,0.00,0.00%,₱4.01M,2.49M,₱-2.38M,1.58,1.64,1.62,97
48,2024-09-23,1.61,0.02,+1.26%,₱5.24M,3.29M,₱-2.44M,1.55,1.62,1.6,102
49,2024-09-20,1.59,0.06,+3.92%,₱5.45M,3.48M,₱27.89K,1.51,1.6,1.55,135
